keyword,freq
하다,9595
맛있다,9175
먹다,8483
좋다,8152
있다,3439
김밥,3066
도시락,2480
먹기,2266
간편하다,2210
같다,1789
자다,1752
이다,1632
간단하다,1450
않다,1433
재다,1322
괜찮다,1291
보다,1148
자주,1096
들다,1087
다이어트,1068
좋아하다,974
아이,934
냉동,887
없다,879
되다,874
편하다,845
시키다,797
점심,797
많다,791
아침,766
생각,742
적다,652
사다,627
적당하다,569
돌리다,556
식사,497
감사하다,495
반찬,491
넘다,479
나다,476
양도,475
제일,470
재료,449
매콤,428
가끔,428
소스,425
든든하다,423
별로,419
짜다,418
데우다,409
양은,409
가슴,407
참치,399
받다,398
그냥,390
불고기,390
싶다,390
아니다,386
드리다,376
계란,375
처음,366
고객,365
잇다,359
가지,350
싸다,348
볶음밥,346
곤약,342
만들다,339
하나,338
한번,334
만족하다,328
구성,328
최고,326
회사,322
식단,320
사보다,314
아기,311
그렇다,308
느낌,307
급하다,306
다른,298
고기,296
넣다,292
저렴하다,291
입맛,290
빠르다,289
보고,289
종류,287
살짝,287
기대,286
되어다,286
건강하다,285
해봤다,283
치즈,283
항상,277
사먹다,275
비빔밥,271
맞다,269
아쉽다,266
두다,263
가성,255
칼로리,255
야채,254
종종,251
들어가다,250
할인,249
유부,248
김치,246
추가,246
맵다,243
해결,243
전자렌지,241
전자레인지,240
간이,240
귀찮다,239
대용,236
다양하다,232
가볍다,225
덮다,223
오다,220
해보다,218
약간,210
비싸다,209
챙기다,209
무난,206
가다,203
계속,199
딱이다,198
양념,195
고소하다,194
바쁘다,194
의사,191
부담,190
차다,189
만족스럽다,189
이용,187
적지,187
우엉,186
비건,186
최애,185
식감,185
아들,184
메뉴,183
주다,182
남편,179
잡채,176
담백하다,176
꼬마,175
비상,173
나쁘다,169
간편식,168
신선하다,168
나물,167
매다,167
부드럽다,164
굳다,164
냄새,163
궁금하다,162
두부,162
살이,159
다음,158
세트,158
만해,155
나오다,155
묵은지,155
편이,153
다시,152
해주다,152
준비,151
저당,151
편리하다,147
모르다,147
바로,146
커리,146
작다,145
관리,144
매번,143
편의점,143
일해,143
쏘다,142
치킨,142
가장,141
간도,141
조합,141
위해,140
느끼하다,138
넉넉하다,137
크다,136
건강,135
어묵,134
살다,133
돼다,133
달다,133
시간,132
믿다,130
느껴지다,129
오징어,128
제육,128
카레,127
부족하다,127
깔끔하다,126
보이다,125
방학,125
자극,124
간식,124
알차다,123
뚝딱,122
이번,122
김치볶음밥,122
대비,121
고추장,119
감다,119
안녕하다,118
마음,118
어울리다,118
굿굿,117
충분하다,117
배부르다,117
딱딱하다,115
타다,112
먹이다,112
볶음,111
낮다,111
혼자,109
늘다,109
완전,109
저녁,108
품질,108
단지,108
비비다,106
생각나다,106
모두,105
음식,104
나서다,104
놓다,104
문의,104
필요하다,103
버리다,103
기대하다,101
여기,101
때우다,101
닭갈비,101
렌지,100
알다,100
소고기,99
은근,99
아침식사,99
새벽,99
높다,98
덥다,97
내용물,97
기다,97
예정,96
포만,96
사과,96
비상식량,95
달달,95
당근,95
오믈렛,94
단백질,94
명란,94
느끼다,93
일반,92
조리,92
말씀,92
쟁여두,91
찾다,91
씹히다,90
먹음,90
주말,90
강하다,89
이상,89
역시,88
감자,88
부분,86
기한,86
푸드,86
시리즈,85
보내다,85
품절,85
컵밥,84
빼다,84
맛없다,84
감사,83
비다,83
씹다,82
개인,82
유통,82
마이,82
볶다,82
말다,81
사서,81
간편,81
소중하다,80
짜지다,79
촉촉하다,79
야하다,79
비리다,79
걱정,78
거의,78
더욱,77
비밀,77
먼저,76
이렇다,76
잡다,76
불편하다,76
찍다,75
여러가지,75
일단,75
짭짤하다,75
도움,75
떡갈비,75
갈다,75
내용,74
키트,74
개선,74
듬뿍,74
단무지,74
버터,74
베이컨,74
라이,73
꺼내다,73
땡초,73
마요네즈,73
안되다,72
푸다,72
배고프다,72
기름,72
밥알,71
식품,71
지다,71
제공,71
불편,71
한우,71
실하다,69
싫다,69
냉장고,69
전체,69
현미,69
고등어,69
외출,69
계란후라이,68
심심하다,68
다르다,67
놀라다,67
안나,66
고르다,66
센터,66
새롭다,66
다만,66
돈까스,65
보관,65
어떻다,65
간장,65
찌다,64
파다,64
땡기다,64
여행,64
싱겁다,63
솥밥,63
몇번,62
해당,62
신랑,62
곁들이다,62
즐기다,62
차돌,62
가족,62
착하다,61
기본,61
나름,61
냉장,61
와사비,61
갈릭,61
짬뽕,61
전달,60
최선,60
쉬다,60
노력,59
터지다,59
조절,58
낫다,58
속이다,58
영양,58
오뚜기,58
채소,57
엄마,57
나은,57
예전,57
자취,56
해동,56
조화,56
애용,56
용기,56
질리,55
사람,55
감칠맛,55
운동,55
겨자,55
뭔가,54
남기다,54
확인,54
중이,54
크기,54
해먹,53
대해,53
의견,53
부서,53
저번,53
스테이크,53
만들기,53
남다,53
라면,52
구비,52
평이,52
쎄다,52
힘들다,52
여러,52
언제,52
숯불,51
녹다,51
차갑다,51
소풍,51
쿠폰,50
참기름,50
따뜻하다,50
쓰다,49
대요,49
자체,49
가져가다,49
경우,49
치마,49
사무실,48
강추,48
부탁드리다,48
간단,48
국물,48
취향,48
려고,48
우리,47
퍽퍽,47
발생,47
행복,47
냉동식품,46
번거롭다,46
올리다,46
특유,46
떡볶이,46
말씀드리다,46
함박스테이크,46
당뇨,46
기분,45
그대로,45
나가다,45
훌륭하다,45
끼니,45
비슷하다,45
기르다,45
해드리다,45
메다,45
가능하다,44
이름,44
평소,44
기준,44
샐러드,44
굽다,44
깍두기,44
가득,44
콩나물,44
틀리다,44
비닐,43
펴다,43
떨어지다,43
안내,43
두번째,43
들어서다,43
써다,43
존맛,43
세다,43
새우,43
점심식사,42
하루,42
죄송하다,42
문제,42
요리,42
무엇,42
입히다,42
어우러지다,42
전혀,42
애기,41
완성,41
바라다,41
그릇,41
낙지,41
파스타,41
재주,40
물이,40
먹어주다,39
고해,39
배다,39
쟁여놓,39
맛집,39
끄다,39
선택,39
서다,39
생기다,39
찢어지다,39
식히다,39
팔다,38
불닭,38
원래,38
매일,38
드릴,38
그닥,38
꾸준하다,38
배달,38
이제,38
재미,38
닭다리,38
귀리,38
뜯다,37
중간,37
용이,37
닭고기,37
아침밥,37
쟁여템,37
건지다,37
실망,37
진심,37
참고,37
대중,37
성인,37
병아리,37
조림,37
보통,36
부르다,36
아이템,36
짧다,36
담다,36
빠지다,36
성분,36
뜨겁다,36
이기다,36
뿌리다,36
나누다,36
호불호,36
콘치,36
베이비,36
필요,35
고민,35
소세지,35
어렵다,35
이르다,35
몇개,35
덕분,35
마켓,35
날씨,35
여름,35
조르다,35
달걀,34
부실하다,34
구이,34
출근,34
채우다,34
토핑,34
통해,34
지단,34
나트륨,33
장점,33
심하다,33
안전하다,33
밸런스,33
기대다,33
신장,33
무조건,32
좀더,32
크게,32
한식,32
대신,32
얇다,32
신경,32
스타일,32
사항,32
다이어터,32
삼겹,32
소식,31
맛남,31
섞이다,31
질리다,31
불맛,31
기도,31
공감,31
섞다,31
밉다,31
슴슴,31
시작,31
서비스,31
어리다,30
떼다,30
편입,30
저희,30
주시,30
신기하다,30
문해,30
개다,30
맛보다,30
여기다,30
다니다,30
요청,30
행사,30
부모님,30
딱좋다,30
보기,30
단호박,30
단백,30
이상하다,30
대패,30
덜다,29
해물,29
힘드다,29
당연하다,29
진하다,29
따르다,29
대안,29
야식,29
적히다,29
주신,29
과정,29
유용하다,29
안좋다,29
금방,29
만두,29
빠에야,29
국밥,29
미역국,29
직장,28
다시다,28
세지,28
직장인,28
균형,28
약하다,28
취나물,28
유지,28
신속하다,28
필요없다,28
여행가,28
겠다,28
늦다,28
달콤하다,28
가루,28
삼겹살,28
장조림,28
양반,28
지인,27
솔직하다,27
경험,27
적당,27
눅눅하다,27
필수,27
큼직하다,27
추하다,27
잡곡,27
마르다,27
식량,26
검토,26
나머지,26
장난,26
미치다,26
도전,26
가요,26
해도,26
스럽다,26
시도,26
익다,26
마싯다,26
밥맛,26
섭취,26
돼지,26
일상,26
커서,26
데리야끼,26
평범하다,26
단맛,26
판매,26
삼각김밥,26
알리오,26
맛살,26
차이,25
적절하다,25
비추다,25
담당,25
차려,25
이유,25
원하다,25
점검,25
벌써,25
비도,25
돈카츠,25
오르다,25
인분,25
기름기,25
깊이,25
부치다,25
특별하다,25
이유식,25
제대로,24
래미,24
직접,24
시래기,24
아쉬움,24
답변,24
싫어하다,24
자르다,24
돌다,24
숟가락,24
사면,24
퍼지다,24
먹거리,24
부적,24
레인보우,24
리오,24
깔다,24
아프다,24
케어,24
인하다,23
올라가다,23
주변,23
단점,23
육아,23
학원,23
당일,23
풍부하다,23
알맞다,23
사고,23
냉동고,23
우선,23
오히려,23
하니,23
우기,23
고슬고슬하다,23
덜하다,23
마늘,23
호기심,23
유관,23
어른,23
랍스터,23
인스턴트,22
기억,22
꼼꼼하다,22
기숙사,22
실패,22
제법,22
열다,22
한편,22
듭니,22
사실,22
토마토,22
함량,22
확실하다,22
먹이,22
할라피뇨,22
비빔,22
한성,22
프리미엄,22
만하,21
치다,21
순삭,21
얹다,21
계란말이,21
따다,21
매력,21
사이즈,21
이면,21
아깝다,21
별미,21
자꾸,21
혼밥,21
점심때,21
만큼,21
지난번,21
동안,21
건더기,21
주사,21
죽다,21
속도,21
마지막,21
개월,21
올리브,21
점심시간,21
요가,21
돼지고기,21
어디,21
찜닭,21
팥죽,21
바삭,20
당면,20
간만,20
뜨다,20
애매하다,20
완벽하다,20
달라,20
수준,20
혹시,20
워낙,20
풍족하다,20
일식,20
일품,20
조리법,20
도리,20
얼른,20
동일하다,20
인기,20
걸리다,20
남자,20
마트,20
햇반,20
함박,20
컵라면,20
금액,20
맞추다,20
박스,20
최근,20
내다,20
최상,20
빨르다,20
살리다,20
시즌,20
저렴,20
성하다,19
가기,19
생강,19
매하,19
톡톡,19
깜짝,19
대한,19
가능성,19
평타,19
상황,19
런가,19
이나,19
방법,19
단골,19
발견,19
안타깝다,19
쫄깃,19
의향,19
끼용,19
얼다,19
대충,19
버섯,19
줄이다,19
오이,19
생선,19
얼큰하다,19
통닭,19
요것,19
수령,19
일도,19
혈당,19
시금치,19
장염,19
미역,19
그리다,18
굉장하다,18
길다,18
편안하다,18
매각,18
딸아이,18
간간,18
물기,18
이적,18
유일하다,18
놀다,18
줄다,18
플라스틱,18
용하다,18
조각,18
허다,18
출출하다,18
거기,18
영양성분,18
안해,18
가로,18
겪다,18
거부,18
청양,18
짠맛,18
주기,18
누누,18
그리팅,18
이예,17
잡히다,17
식다,17
설명,17
포함,17
보이,17
후다닥,17
강화하다,17
제입,17
불향,17
슴슴하,17
절대,17
일이,17
적극,17
돈가스,17
전이,17
속세,17
내주다,17
시중,17
식전,17
크림,17
대체,17
갑자기,17
관심,17
인사,17
풀무원,17
성수동,17
호박죽,17
아가,17
양념장,16
비교,16
고프다,16
세상,16
전부,16
기온,16
요건,16
쟁여둬,16
점점,16
놀래다,16
반영,16
대부분,16
짭잘하다,16
다해,16
누구,16
스윗,16
굴림,16
다소,16
쓸다,16
물리,16
특이하다,16
요새,16
미트볼,16
큐브,16
기다리다,16
끼치다,16
이후,16
조화롭다,16
라이스,16
색다르다,16
휴일,16
죽이다,16
친구,15
중독,15
규동,15
기간,15
괜츈,15
비주,15
탄수화물,15
제격,15
고급,15
사두,15
대박,15
활용,15
식구,15
가면,15
중요하다,15
수도,15
비율,15
요긴,15
수분,15
여성,15
궁합,15
고가,15
꿀맛,15
요게,15
지지,15
물리다,15
봉지,15
장바구니,15
질겨,15
들어오다,15
가보다,15
요트,15
별루,15
합리,15
미리,15
입다,15
부가,15
추후,15
지속,15
일가,15
기전,15
프로,15
이만,15
다가,15
