keyword,freq
하다,9595
맛있다,9175
먹다,8483
좋다,8152
있다,3439
김밥,3066
도시락,2480
먹기,2266
간편하다,2210
같다,1789
자다,1752
이다,1632
간단하다,1450
않다,1433
재다,1322
괜찮다,1291
보다,1148
자주,1096
들다,1087
다이어트,1068
좋아하다,974
아이,934
냉동,887
없다,879
되다,874
편하다,845
시키다,797
점심,797
많다,791
아침,766
생각,742
적다,652
사다,627
적당하다,569
돌리다,556
식사,497
감사하다,495
반찬,491
넘다,479
나다,476
양도,475
제일,470
재료,449
매콤,428
가끔,428
소스,425
든든하다,423
별로,419
짜다,418
데우다,409
양은,409
가슴,407
참치,399
받다,398
그냥,390
불고기,390
싶다,390
아니다,386
드리다,376
계란,375
처음,366
고객,365
잇다,359
가지,350
싸다,348
볶음밥,346
곤약,342
만들다,339
하나,338
한번,334
만족하다,328
구성,328
최고,326
회사,322
식단,320
사보다,314
아기,311
그렇다,308
느낌,307
급하다,306
다른,298
고기,296
넣다,292
저렴하다,291
입맛,290
빠르다,289
보고,289
종류,287
살짝,287
기대,286
되어다,286
건강하다,285
해봤다,283
치즈,283
항상,277
사먹다,275
비빔밥,271
맞다,269
아쉽다,266
두다,263
