token,freq
도시락,555
도시락은,90
도시락을,65
김밥,62
점심,62
반찬,50
닭가슴살,49
만든,45
완성,43
소풍,42
좋아하는,40
함께,39
계란,38
만들어,38
열심히,38
샐러드,36
소스,36
주먹밥,35
피크닉,31
도시락으로,30
매일,30
도시락이,29
도시락통,29
아침,29
재료,29
남편,28
싸서,27
하루,27
레시피,26
다이어트,25
링크,25
만들었어요,25
오이,25
치즈,25
단백질,24
도시락에,24
엄마가,24
가을,23
간장,23
도먹걸,23
목요일,23
시간,23
주문,23
식단,22
만들고,21
않고,21
월요일,21
김치,20
볶음밥,20
스푼,20
아침에,20
넣은,19
당근,19
도시락도,19
볶음,19
양배추,19
유부초밥,19
인분,19
참기름,19
계란말이,18
남편이,18
다양한,18
따뜻한,18
시간이,18
엄마표,18
없어서,18
했는데,18
화이팅,18
과일,17
그럼,17
넣어서,17
단무지,17
대파,17
소세지,17
스팸,17
양념,17
양파,17
이번주,17
행복한,17
간식,16
날씨가,16
대신,16
배추김치,16
사실,16
저녁,16
직장인,16
클릭,16
김치볶음밥,15
동물복지,15
따뜻하게,15
마지막,15
먹기,15
벌써,15
보내세요,15
사용한,15
설탕,15
야채,15
일찍,15
전에,15
주말,15
치킨,15
하루도,15
내가,14
당일,14
덮밥,14
두부,14
멸치볶음,14
보니,14
소고기,14
얼른,14
일어나,14
큐브닭가슴살,14
파스타,14
후추,14
나는,13
다녀와,13
돈까스,13
든든한,13
매콤한,13
밑반찬,13
상추,13
생각보다,13
소금,13
실리콘,13
싸는,13
썰어,13
쏘락,13
아직,13
알룰로스,13
예쁘게,13
있고,13
재료는,13
점심도시락,13
준비했어요,13
크게,13
ㅋㅋㅋ,12
가득한,12
감기,12
같아서,12
건강,12
국물,12
굴소스,12
귀여운,12
댓글,12
덕분에,12
두부조림,12
마요네즈,12
만들어서,12
무생채,12
바라요,12
버섯,12
보내시길,12
부드러운,12
불고기,12
새우,12
샌드위치,12
오후,12
이번엔,12
잡곡밥,12
저당,12
저희,12
좋고,12
초간단,12
토마토,12
팬에,12
하면,12
가는,11
건강한,11
기분,11
날씨,11
달걀,11
들고,11
레시피는,11
마무리,11
