token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
집밥,115,118,5,9.856617006955139,0.7285380653301303,4.2532069623931985
오늘의,95,100,6,9.761853102353294,0.4235663757402039,3.3206104784312696
점심,82,94,6,9.988525418557543,0.4637588873845762,2.915470931757567
홈쿡,46,46,3,30.131122279431978,0.471227317729246,2.688957770787457
도시락메뉴,67,67,4,12.340810740333827,0.5357782842208108,2.3501363136422513
남편도시락,67,69,6,11.101268124484912,0.46513826622114574,2.257894879887061
반찬,48,63,2,17.047560025727453,0.6923960414587538,2.1631825897735704
다이어트도시락,53,54,1,14.183035617998101,0.7626049615578026,2.0252863002743395
김밥,43,64,3,17.48768546566901,0.48699022007111137,1.9718897213489726
한식,31,31,3,25.606571327938568,0.5084861635900965,1.7871946040435316
닭가슴살,31,63,4,16.3114604843308,0.9353640349390074,1.748844663465489
오늘의도시락,49,50,5,13.656904773208355,0.5914083446339523,1.748354927056318
레시피,26,33,2,23.35102425539388,0.8286791024171124,1.6648296207777817
좋은,29,30,2,22.10788181530772,0.9106211321257801,1.6632389684742663
식단,37,46,1,16.660243037230963,0.7500570642903653,1.641222721597839
간단한요리,5,5,2,36.22254873574131,0.8553952839340083,1.6199020032141216
쉬운요리,5,5,2,36.22254873574131,0.8553952839340083,1.6199020032141216
요리,34,36,2,19.579102049454757,0.7061322706240964,1.6113561833108287
안주,6,10,2,34.67587428461383,0.8200580230508792,1.588570357224843
마늘,5,5,2,35.72723779343801,0.847483499930549,1.5822943168053678
소풍도시락,46,52,3,13.889494523847777,0.2893883726585028,1.5670114096999208
200ml,5,5,2,35.72723779343801,0.8062767893381758,1.5633814988765864
간단레시피,6,6,2,34.637792485851016,0.8304418349249446,1.5403074793507767
종이컵,6,6,2,34.45298632582693,0.8472525430954152,1.5353461857204855
다이어트식단,22,24,2,24.269696462218246,0.8945203296280569,1.532779663503028
도시락기록,42,42,3,16.664954161021537,0.256370817341552,1.5043520009861837
다이어트요리,6,6,2,34.06165108397139,0.8255344618401932,1.4985340886613123
재료,20,20,2,24.60967956748711,0.8738373976168942,1.4402669580207288
집밥레시피,10,10,2,29.603554203577865,0.9999999999999571,1.4350674043647005
건강식단,8,8,2,31.919798136564452,0.778905859311764,1.411343095319537
도시락스타그램,35,35,3,18.831913368600503,0.3236257953238776,1.3998996175357117
살짝,30,33,2,17.292303464485293,0.7912949888560646,1.3439163876107814
건강식,19,20,2,24.28526021795699,0.7634717181443976,1.339395686603835
잘라,8,8,2,29.547229696001885,0.9397084870144374,1.322398497709842
노릇하게,5,6,2,31.778304984757952,0.8002283192939074,1.3023282857239458
음식,18,19,2,24.606880047543942,0.7051697710199573,1.2941319420539272
자취요리,17,17,2,25.182372894543022,0.7194328749442314,1.2869842457213492
썰어,13,13,2,25.07630459739889,0.8104395245323803,1.1592120504601024
알룰로스,9,9,2,27.16464710829619,0.7793527571180828,1.1259300701598722
대파,9,11,2,26.42051657529924,0.677808712840123,1.0534878043378524
10월,35,37,5,12.28182283498944,0.44608371875570957,1.0320024720121246
도시락반찬,29,29,3,17.169844929233918,0.2795935021855125,1.0222795251821657
동물복지,8,16,4,24.28944509981734,0.784389598344781,0.9912808353210762
소풍,38,45,3,10.229954627405212,0.25254760882975785,0.9871444751289565
아침,24,24,6,16.905391060642792,0.6506010006583874,0.9715893663146835
큐브닭가슴살,6,11,4,25.967843304866665,0.7212570983596022,0.9584907517677413
가지,13,23,2,19.600047656393357,0.9114186620046112,0.9559504912096686
집밥요리,19,19,3,20.999585289115558,0.4112371543894069,0.9397406018369802
드셔보시길,5,5,2,26.729252655696744,0.7642604971453055,0.9268707321394026
밥,43,46,0,5.1406173674514735,0.5477898872352404,0.9259605853129551
큐브닭가슴살요리,7,7,4,25.500366819078877,0.7144118113105136,0.9008277546745296
동물복지닭가슴살,7,7,4,25.500366819078877,0.7144118113105136,0.9008277546745296
닭가슴살요리,7,7,4,25.500366819078874,0.7144118113105136,0.9008277546745295
직장인점심,23,23,3,18.357878965979697,0.3583491550466824,0.8965217489793563
집밥도시락,20,21,3,19.40775968117167,0.42291811464232104,0.8890795268921368
맛있는,30,33,2,11.14758930019002,0.702811607399392,0.8818015853700598
오이,14,20,2,18.890391535904048,0.8760922981039683,0.8812069736902852
우리,29,31,3,13.744886560170364,0.4149350711623219,0.8746674093654172
미리,18,18,2,18.220094727524295,0.7109793212642159,0.846085906499485
닭가슴살도시락,6,6,4,25.159556650259386,0.7299769545473334,0.8440270093360214
집밥메뉴,19,19,3,19.648945877884305,0.39147053705694246,0.8380196854323019
피크닉,25,38,4,12.841990917924498,0.5192936135105944,0.8370095938412507
닭가슴살레시피,5,5,4,26.281013539017273,0.6324527545633932,0.8356269365543075
동물복지IFF큐브닭가슴살,5,5,4,26.281013539017273,0.6324527545633932,0.8356269365543075
하림닭가슴살,5,5,4,26.281013539017273,0.6324527545633932,0.8356269365543075
하림,5,8,4,25.795362758689627,0.6013771774060483,0.8258627040392168
밀프랩,10,10,1,23.645764748815857,0.49449499293054866,0.7943727255081926
닭요리,6,6,4,25.154346570093992,0.612553526114295,0.7897752916482871
샐러드,28,34,1,11.488591564381718,0.5445245520313596,0.7892226926299718
없이,18,19,2,16.697406119414676,0.7777230448785628,0.7848732382295902
운동하는여자,7,7,1,24.89919765136308,0.5035174486582382,0.7627948394913419
밍키식단,15,15,5,20.05244301768412,0.5003552646519056,0.7534072508529328
다이어터,10,11,1,22.862586462546762,0.47285457451176466,0.7433215123947035
식단관리,7,7,2,22.73837507446651,0.7635266973304455,0.7339084565312461
단백질식단,6,11,6,24.392606836863802,0.4625910363790372,0.7317146743935183
간식,13,14,6,19.70605096648798,0.6527454490452729,0.7310603983073573
덮밥,13,15,2,18.764257430847415,0.747427827801884,0.7225179685831524
식단도시락,11,11,6,20.725614823738894,0.6656294265139555,0.7131747338720811
도시락싸기,28,28,3,13.556706067351506,0.22985114000141244,0.7110354472335758
바프식단,6,6,1,24.315009584819588,0.5211627159120158,0.6902540514077552
식단기록,14,14,5,19.78934686883379,0.4860336901636399,0.6882201484540863
영양성분,5,5,6,25.269723342389945,0.4362471117981075,0.6762030764694145
추천메뉴,5,5,6,25.269723342389945,0.4362471117981075,0.6762030764694145
근육량늘리기,5,5,6,25.269723342389945,0.4362471117981075,0.6762030764694145
쉐이크도시락,5,5,6,25.269723342389945,0.4362471117981075,0.6762030764694145
단백질함량,5,5,6,25.269723342389945,0.4362471117981075,0.6762030764694145
근육,5,5,6,25.269723342389945,0.4362471117981075,0.6762030764694145
냥집사,5,5,6,25.269723342389945,0.4362471117981075,0.6762030764694145
구운,7,7,2,21.951197566153745,0.7539591686637465,0.6755199281244602
koreanfood,15,15,3,20.71915180976302,0.23075335294905927,0.6754005227370902
식사기록,12,12,5,20.813805575183462,0.4763973785102491,0.6729381488075211
중에,9,9,2,21.04560411239838,0.7056408675077754,0.6723559430260724
단백질도시락,8,8,6,22.60795251285667,0.5529669476277428,0.6688869931837677
가을,17,22,4,16.446103993013892,0.5304744200614294,0.6640041660010783
먹어도,17,18,2,15.26047978752967,0.8039753915969318,0.6577883884250103
신혼,6,6,6,24.15129112102276,0.4590024207701009,0.65049363596135
식단일기,11,11,1,20.45277592614361,0.5473816068220907,0.6401863581407423
한식도시락,17,17,3,17.94991481546849,0.3869215113630196,0.6382519381958967
설탕,9,9,2,20.972401621392276,0.633382087344683,0.6341696228117444
점메추,10,10,6,21.259359734313872,0.4614609716205375,0.6155129682307605
먹을,31,34,0,6.642639253388218,0.6932946349245952,0.6089782033433295
식단공유,11,11,5,20.515993188129162,0.44887051468628797,0.5993087616856196
식감이,7,7,2,20.133728239005727,0.8585535236864188,0.5988547970635831
주말,12,13,3,20.34595715390021,0.3469579944588843,0.5940403771845407
단백질,12,13,6,18.55971269718977,0.6091721085918527,0.5918605556445642
100g당,5,7,6,22.94966321048592,0.5028074746390626,0.5728138311805945
과일,16,18,3,17.34009895996621,0.3541220018426279,0.5660085916301391
없는,17,19,3,16.95920918984179,0.31274463391233215,0.5614564154363507
food,13,13,3,19.752645016237025,0.23357399731229614,0.5292635463085711
lover,31,31,3,10.632131475135191,0.005098427875892098,0.5289649630310517
소금,7,9,2,19.568134620376437,0.7049878056896381,0.5147828537776173
밑반찬,13,14,3,19.468235327500288,0.20920932495243189,0.5111755339069681
행복한,15,16,3,17.352352891608405,0.3486308122168607,0.5111582106426014
큐브,5,8,4,21.339621517775583,0.5726510917847345,0.5070318562788689
크기로,5,5,4,19.437177013997214,0.9072194512910285,0.4922775135113817
저당파로밥,8,8,5,20.960082942952454,0.40617706094792366,0.48847685134498103
트러플,5,8,4,20.711843111698997,0.622092902125738,0.48666124447315284
계란말이,17,20,3,15.777258108547485,0.2956175115951228,0.4851224443945534
소스를,5,6,2,19.758357094482122,0.7897571691064331,0.47300117314670015
계란,22,27,3,11.827638865391144,0.33638283560182497,0.46094514087785327
직장인,31,32,1,6.871662279064672,0.348390725071986,0.4411780188661092
직장인점심도시락,21,21,3,13.55605664409219,0.2363983412777787,0.4300303370727205
집밥일기,14,14,3,16.694136807785068,0.38011871758451876,0.4272886763659107
간단하게,21,22,5,9.908377385888118,0.7400470789015714,0.42357981125884625
집에,19,21,1,12.139430466118236,0.5121129908910829,0.4034765150346853
조리,7,8,4,18.229676291153122,0.6782322038396231,0.3980856183553657
바르닭,9,11,1,17.96160021885476,0.513257159685446,0.39771450861478147
감자,9,12,1,17.851359027531462,0.49592776459012083,0.394802780658614
