token1,token2,co_docs,PMI,NPMI,PHI,src_node_df,src_node_tf,src_node_cluster,src_node_centrality,src_node_svd_c1,src_node_rank,dst_node_df,dst_node_tf,dst_node_cluster,dst_node_centrality,dst_node_svd_c1,dst_node_rank
lunchfoodstagram,foodfoodphotography,14,4.255612704918473,0.9999999988652045,0.9999999999999999,14,14,6,4.085001745131738,0.0008255563337572586,-0.4770828238111706,14,14,6,4.085001745131738,0.0008255563337572586,-0.4770828238111706
instafoodobentagram,lunchfoodstagram,14,4.255612704918473,0.9999999988652045,0.9999999999999999,14,14,6,4.085001745131738,0.0008255563337572586,-0.4770828238111706,14,14,6,4.085001745131738,0.0008255563337572586,-0.4770828238111706
instafoodobentagram,foodfoodphotography,14,4.255612704918473,0.9999999988652045,0.9999999999999999,14,14,6,4.085001745131738,0.0008255563337572586,-0.4770828238111706,14,14,6,4.085001745131738,0.0008255563337572586,-0.4770828238111706
도먹걸,집밥그램,12,4.409763382962669,0.9999999985031934,0.9999999999999999,12,35,6,7.872136638883447,0.23402746826662676,0.10293114705153972,12,12,6,7.872136638883447,0.23402746826662676,-0.18696383324512642
domukgirl,클릭도시락,11,4.496774758673855,0.9999999982495167,0.9999999999999998,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
peanuts,snoopy,8,4.81522848265563,0.9999999968901496,0.9999999999999999,8,8,6,4.671131195937153,9.701917887189935e-05,-0.6799235592847225,8,8,6,4.671131195937153,9.701917887189935e-05,-0.6799235592847225
instagood,mamagirl,7,4.948759870638169,0.9999999960396139,0.9999999999999999,7,7,6,5.528774262185343,0.0027855444160232255,-0.6594206254439394,7,7,6,5.528774262185343,0.0027855444160232255,-0.6594206254439394
큐브닭가슴살요리,닭가슴살요리,7,4.948759870638169,0.9999999960396139,0.9999999999999999,7,7,3,14.456945724393572,0.7144118113105136,0.2900922926258206,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205
닭가슴살요리,동물복지닭가슴살,7,4.948759870638169,0.9999999960396139,0.9999999999999999,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205
큐브닭가슴살요리,동물복지닭가슴살,7,4.948759870638169,0.9999999960396139,0.9999999999999999,7,7,3,14.456945724393572,0.7144118113105136,0.2900922926258206,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205
cookstagram,레시피밑반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
cookstagram,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
cookstagram,요리영상,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
요리영상,레시피밑반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
요리영상,밑반찬레시피,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
요리영상,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
cookstagram,밑반찬레시피,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
레시피밑반찬,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
밑반찬레시피,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
밑반찬레시피,레시피밑반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
닭가슴살레시피,동물복지IFF큐브닭가슴살,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
단백질함량,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
추천메뉴,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
추천메뉴,쉐이크도시락,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
쉐이크도시락,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
간단한요리,쉬운요리,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,4,35.8904806556506,0.8553952839340083,1.7690278512061022,5,5,4,35.8904806556506,0.8553952839340083,1.7690278512061022
단백질함량,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
근육,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
쉐이크도시락,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
동물복지IFF큐브닭가슴살,하림닭가슴살,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
닭가슴살레시피,하림닭가슴살,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
예쁜상차림kimchi,yummyfood,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
추천메뉴,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
근육량늘리기,쉐이크도시락,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
근육량늘리기,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
근육량늘리기,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
근육량늘리기,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
추천메뉴,근육량늘리기,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
영양성분,추천메뉴,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
추천메뉴,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
영양성분,쉐이크도시락,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
영양성분,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
영양성분,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
영양성분,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
쉐이크도시락,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
영양성분,근육량늘리기,5,5.285232088230022,0.9999999927019366,0.9999999999999998,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
반찬스타그램,도먹걸,12,4.329720675809521,0.9818487509005244,0.9602760944201374,13,13,6,8.049346398590949,0.23659708175315372,-0.13285448428964736,12,35,6,7.872136638883447,0.23402746826662676,0.10293114705153972
반찬스타그램,집밥그램,12,4.329720675809521,0.9818487509005244,0.9602760944201374,13,13,6,8.049346398590949,0.23659708175315372,-0.13285448428964736,12,12,6,7.872136638883447,0.23402746826662676,-0.18696383324512642
집밥그램,클릭도시락,11,4.40976338235514,0.9806502685352219,0.9569364968567105,12,12,6,7.872136638883447,0.23402746826662676,-0.18696383324512642,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
도먹걸,domukgirl,11,4.40976338235514,0.9806502685352219,0.9569364968567105,12,35,6,7.872136638883447,0.23402746826662676,0.10293114705153972,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
도먹걸,클릭도시락,11,4.40976338235514,0.9806502685352219,0.9569364968567105,12,35,6,7.872136638883447,0.23402746826662676,0.10293114705153972,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
집밥그램,domukgirl,11,4.40976338235514,0.9806502685352219,0.9569364968567105,12,12,6,7.872136638883447,0.23402746826662676,-0.18696383324512642,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
동물복지닭가슴살,큐브닭가슴살,6,4.948759867348168,0.9697916119483314,0.9253481037695203,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875
닭가슴살요리,큐브닭가슴살,6,4.948759867348168,0.9697916119483314,0.9253481037695203,7,7,3,14.45694572439357,0.7144118113105136,0.2900922926258205,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875
큐브닭가슴살요리,큐브닭가슴살,6,4.948759867348168,0.9697916119483314,0.9253481037695203,7,7,3,14.456945724393572,0.7144118113105136,0.2900922926258206,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875
닭가슴살도시락,하림닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,3,14.112828877327424,0.7299769545473334,0.2326616654153842,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
