node,node_df,node_tf,node_cluster,node_centrality,node_svd_c1,node_rank
집밥,115,118,0,6.5167492015297075,0.7285380653301303,4.161604757490257
오늘의,95,100,8,9.514277515912475,0.4235663757402039,3.4446382922826584
점심,82,94,8,9.805053598566579,0.4637588873845762,3.044236591579092
반찬,48,63,4,17.061454136214454,0.6923960414587538,2.3139860436347113
남편도시락,67,69,0,7.697358796112383,0.46513826622114574,2.163282501476253
다이어트도시락,53,54,7,13.95975195208104,0.7626049615578026,2.1561873341001516
도시락메뉴,67,67,2,7.399617238897896,0.5357782842208108,2.149723552090895
닭가슴살,31,63,7,16.542819965411606,0.9353640349390074,1.9139579207906599
오늘의도시락,49,50,5,13.131670938516958,0.5914083446339523,1.8575734538244713
좋은,29,30,4,22.049418928288624,0.9106211321257801,1.8149213142998257
레시피,26,33,4,23.131343883108837,0.8286791024171124,1.806720317262422
간단한요리,5,5,4,35.8904806556506,0.8553952839340083,1.7690278512061022
쉬운요리,5,5,4,35.8904806556506,0.8553952839340083,1.7690278512061022
식단,37,46,7,16.082279900794575,0.7500570642903653,1.7502802113952356
요리,34,36,4,19.336422996972193,0.7061322706240964,1.747224350578725
마늘,5,5,4,35.39516971334729,0.847483499930549,1.7308400176071936
안주,6,10,4,34.230892851044864,0.8200580230508792,1.7280069535442655
200ml,5,5,4,35.39516971334729,0.8062767893381758,1.7119271996784122
간단레시피,6,6,4,34.479806507197424,0.8304418349249446,1.6997223817779714
종이컵,6,6,4,34.29500034717333,0.8472525430954152,1.6945446286162937
다이어트식단,22,24,4,24.319231401676884,0.8945203296280569,1.6945288183905152
다이어트요리,6,6,4,33.75602684438253,0.8255344618401932,1.6469738396204612
집밥레시피,10,10,4,29.37201989388393,0.9999999999999571,1.5834545386983518
재료,20,20,4,24.14075712052339,0.8738373976168942,1.566242933288669
건강식단,8,8,4,31.52120564272113,0.778905859311764,1.5507879912607754
살짝,30,33,4,17.14957731564478,0.7912949888560646,1.484079524820583
건강식,19,20,4,24.011295059770106,0.7634717181443976,1.478593328526103
잘라,8,8,4,29.283330741070166,0.9397084870144374,1.4684616650193898
노릇하게,5,6,4,31.30392406995449,0.8002283192939074,1.4363198969358828
음식,18,19,4,24.254473177869006,0.7051697710199573,1.4282336206171817
자취요리,17,17,4,24.75202953277391,0.7194328749442314,1.4163225648156281
홈쿡,46,46,9,8.715178270918697,0.471227317729246,1.3599828443271307
썰어,13,13,4,24.756000585939265,0.8104395245323803,1.2961032871707967
알룰로스,9,9,4,26.91783135447094,0.7793527571180828,1.2703944186331333
대파,9,11,4,25.911603623334262,0.677808712840123,1.1787947432423853
10월,35,37,5,12.258972386280831,0.44608371875570957,1.1746603488028304
김밥,43,64,0,3.682296673531056,0.48699022007111137,1.1590740264424253
아침,24,24,8,16.673259988625826,0.6506010006583874,1.1050617772475402
소풍도시락,46,52,2,5.148925051153295,0.2893883726585028,1.1033402197909223
가지,13,23,4,19.256107158522767,0.9114186620046112,1.0847784495700603
드셔보시길,5,5,4,26.049835051131076,0.7642604971453055,1.040643630379097
오이,14,20,4,18.96448146615034,0.8760922981039683,1.038368599411301
밥,43,46,0,4.624118473117661,0.5477898872352404,1.0258135790477874
도시락기록,42,42,1,7.176815309814925,0.256370817341552,0.9917757183374951
미리,18,18,4,17.815863757633725,0.7109793212642159,0.9690912492175423
먹을,31,34,7,9.20874993976702,0.6932946349245952,0.9256559651744763
샐러드,28,34,7,11.329541122756844,0.5445245520313596,0.9214491627735837
