token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
집밥,115,118,6,10.838251521868413,0.6586202190134686,3.4633880418766445
오늘의,95,100,4,20.299504526909107,0.38041043526857893,3.382120840004389
점심,82,94,4,17.034555890722185,0.4083285814177828,2.7809721203991202
남편도시락,67,69,4,23.97969757838044,0.4073045138116931,2.677693413206654
lunchbox,88,90,6,10.878361571352404,0.23486376518804328,2.3426473770859433
bento,86,87,6,10.355124420319385,0.19441780826246993,2.2064055957708115
도시락메뉴,67,67,0,13.903975899911945,0.5568467026727248,1.9710692329077801
넣고,59,76,5,13.231218655833045,0.6859413272922219,1.8868534881419887
김밥,43,64,4,19.99896106684941,0.4612323175996035,1.7868722659939649
반찬,48,63,5,16.766067548103845,0.6985353366166878,1.758048972571417
1스푼,5,9,5,35.77846575444267,0.7903800333540058,1.6268560775843717
닭가슴살,31,63,0,18.90132634876163,0.9419431487685378,1.626001600365277
다이어트도시락,53,54,2,13.501751498215228,0.7869744436226143,1.5747921035086794
안주,6,10,5,34.406354341871435,0.8108576375601055,1.567842512121969
간단레시피,6,6,5,34.802362886998104,0.8195582301800817,1.5583207430605936
종이컵,6,6,5,34.51573344192727,0.8237778202103346,1.5388143756751413
먹고,61,65,2,10.211367578048261,0.556017290145942,1.532712143505992
오늘의도시락,49,50,6,15.385714435290726,0.575027529505301,1.4840982279875077
다이어트요리,6,6,5,33.68339347953689,0.7855352858625233,1.4597082002228625
좋은,29,30,5,21.933053814350956,0.9327600806327105,1.4468614058106364
오늘도,44,46,4,17.930332315488847,0.38686211233838236,1.4297627570816236
레시피,26,33,5,22.25842108967665,0.7850616314324497,1.3671152133659852
건강식단,8,8,5,31.482326290592297,0.7370635579900671,1.342422502495847
노릇하게,5,6,5,32.45644624868602,0.7642557693482175,1.3352018925811961
집밥레시피,10,10,5,29.61812143782122,0.8664859650955007,1.329399730088202
다이어트식단,22,24,5,23.76612959629254,0.8730889879801041,1.3281190671220546
요리,34,36,5,18.610597283938993,0.6718504626019053,1.26487507302847
재료,20,20,5,24.302619774915563,0.8389761278333344,1.2630191809502025
IFF,6,11,0,29.978687231428182,0.795320464061421,1.2413487251950213
큐브닭가슴살,6,11,0,29.978687231428182,0.795320464061421,1.2413487251950213
식단,37,46,2,15.560741958117305,0.7104203111645605,1.2323634985944694
동물복지,8,16,0,27.991378060924713,0.8596465519792359,1.222386971112216
있는,51,54,3,9.324471857988238,0.7876321894289571,1.216434138167172
소풍도시락,46,52,4,13.58716543729482,0.32672837645322567,1.1904182571316324
잘라,8,8,5,28.396939205827326,0.9085367025567048,1.1885198769144432
큐브닭가슴살요리,7,7,0,29.368414611524212,0.7729273786518988,1.1664312210150733
닭가슴살요리,7,7,0,29.368414611524212,0.7729273786518988,1.1664312210150733
동물복지닭가슴살,7,7,0,29.368414611524212,0.7729273786518988,1.1664312210150733
도시락기록,42,42,4,16.06248433295996,0.28460652891936067,1.1549808566697057
자취요리,17,17,5,24.84717522669694,0.7213804444737648,1.1486125042837017
썰어,13,13,5,26.19898298220177,0.7916126165490465,1.1437391599253266
음식,18,19,5,24.20233113284335,0.708093353324287,1.1395695064704614
닭가슴살레시피,5,5,0,30.38183226625485,0.6910374039734515,1.137126597015218
동물복지IFF큐브닭가슴살,5,5,0,30.38183226625485,0.6910374039734515,1.137126597015218
하림닭가슴살,5,5,0,30.38183226625485,0.6910374039734515,1.137126597015218
맛있게,43,44,5,13.587521803902959,0.5340359112495743,1.1262692325696217
닭가슴살도시락,6,6,0,29.102051283016277,0.7993439795604712,1.1240698085035963
건강식,19,20,5,23.220127723413867,0.7200377881936837,1.1058483808283515
다들,32,35,6,17.221736361050173,0.6079241951450386,1.0750783643441733
살짝,30,33,5,17.127677039532475,0.7580613400837545,1.066364732797259
닭요리,6,6,0,29.002292420173017,0.6719237495364333,1.0599476014223495
도시락스타그램,35,35,4,17.47163219380169,0.35005127804953634,1.0495333405172542
같이,37,40,0,13.40781808236131,0.7933501890500821,1.0442357682908938
하림,5,8,0,28.870736837910655,0.642578761548495,1.035040501512476
하루,25,27,4,20.03853267299323,0.5428244905005876,1.0058418394022426
위에,21,25,5,19.756285976537374,0.8031867010420518,0.9851060855812703
도시락을,49,60,3,7.175687235184784,0.5423056136885042,0.9643901966625397
알룰로스,9,9,5,25.812358538724993,0.7413653955116805,0.9555814904385576
대파,9,11,5,25.500860970410592,0.6614903865402707,0.9182800519529528
넣어,33,35,5,13.562928347151157,0.8133795486959128,0.9170200719820453
10월,35,37,6,14.324179375954321,0.426233475954058,0.8700801644935263
집밥요리,19,19,4,21.722234812251017,0.46278276334546337,0.8689336637233981
오늘은,37,38,5,12.44367931847515,0.5898649228540808,0.8603249773997774
집밥도시락,20,21,4,20.806974450732287,0.47272073351678495,0.8500479874327074
밍키식단,15,15,6,22.608827006643867,0.5727395729170549,0.8470245236925716
가지,13,23,5,19.521144025249455,0.960175777390018,0.8278736054579675
홈쿡,46,46,1,8.723180053792253,0.45205728752790375,0.8188980211019801
많은,17,17,4,21.432827130615703,0.5189730647292385,0.8038564383300619
도시락반찬,29,29,4,17.156317612556766,0.3028687130801325,0.7995772727633204
식사기록,12,12,6,23.419370702910758,0.5475072138274529,0.7935469810400139
밥,43,46,3,8.338439924719944,0.6125806064038689,0.7910795864077818
이제,31,32,0,14.522628882974603,0.5425070026339135,0.7889096699336521
직장인점심,23,23,4,19.13319733583124,0.39853772509810576,0.7841694674401486
피크닉,25,38,0,15.397636841597057,0.5485825848913429,0.7802517090826292
식단기록,14,14,6,22.243471906247198,0.5429527109737621,0.7722772496706714
트러플,5,8,0,25.014847110107894,0.6937020795540357,0.7701214218492609
오이,14,20,5,19.48244494133698,0.8430333392192239,0.7641838768141014
남편,21,24,4,18.24620197223054,0.5631452448268195,0.7549389336989192
없이,18,19,5,18.11843154111501,0.8358561792805997,0.7425259938064676
집밥메뉴,19,19,4,20.067112370339824,0.45217530500553,0.7407384466429013
식단공유,11,11,6,23.1090082090194,0.5273922261657941,0.7272046161546389
식단관리,7,7,5,23.300186027397338,0.7260325921014297,0.6928644423253469
미리,18,18,5,18.045744142368846,0.7000727648398798,0.6659693847553529
중에,9,9,5,22.13380171810974,0.6882077403805341,0.6575049791780696
구운,7,7,5,22.598929674485152,0.7604450274847709,0.6558563379723712
좋아요,16,16,4,19.604873388837202,0.5495588398324782,0.6468505986231868
가을,17,22,0,18.19628735974013,0.5860264471119883,0.6458979097493472
먹어도,17,18,5,16.98484304641204,0.878186413073316,0.6425459809721537
맛있는,30,33,5,11.475853819533622,0.7342305031939242,0.6341224124352904
우리,29,31,4,13.912701378921046,0.42238260328802874,0.6322251315606626
큐브,5,8,0,23.554203341453377,0.6282493161640883,0.6320381993495935
저당파로밥,8,8,6,23.529701634930667,0.44989040154758436,0.6213923062060739
운동하는여자,7,7,2,23.175282513536995,0.563686604554804,0.6113304654212927
과일,16,18,4,19.565502684639338,0.4261101607516672,0.6104678496765931
먹을,31,34,3,10.181289036608284,0.8013850803908565,0.6016572043357742
밀프랩,10,10,2,21.69637341623238,0.5486221919924177,0.5970210112910875
다이어터,10,11,2,21.480617216008927,0.5238220746298398,0.5806270856800964
소풍,38,45,4,9.202885718633933,0.25884615818758966,0.5699506052242325
식단일기,11,11,2,20.36162641992678,0.6248265416854186,0.5655836786378508
위해,14,14,4,20.194534561863506,0.4174840725821255,0.5636090278384857
식감이,7,7,5,20.653150812293553,0.8783953366108258,0.5631632692368889
정도,7,7,5,21.192477752963043,0.7869675504334347,0.562729039677013
도시락싸기,28,28,4,14.696395121244521,0.22984190937424998,0.5493351670824173
한식도시락,17,17,4,18.201950360323536,0.44448140266987746,0.5296881681056902
덮밥,13,15,5,17.9512543418071,0.7361093690692092,0.5252140251217641
샐러드,28,34,2,11.403445093753113,0.5600178817422028,0.5149460668011184
설탕,9,9,5,20.548334070165154,0.5970424718875269,0.4986719397804329
바프식단,6,6,2,21.981925407338874,0.5638616470207036,0.4881397939609015
재료로,9,9,4,20.743625608909518,0.5243143344421948,0.48088981533541836
따로,18,23,3,12.89174766427379,0.9999999999999573,0.4685517578979661
없는,17,19,4,17.293174122621558,0.3875862241169833,0.45805012182130633
단백질,12,13,4,18.488589759359403,0.564046981250598,0.44378818245172713
조리,7,8,0,19.6953014027377,0.7412465914825661,0.441431459032006
제가,27,29,3,9.998288708664823,0.7865453944322205,0.43370683566486135
다른,17,17,5,14.224649174781561,0.8498882312258003,0.4133062156105173
따뜻한,16,18,4,16.48377509825737,0.49692994613577735,0.4120649327583459
있어서,32,34,2,7.639465101646845,0.7473365535111003,0.4114947793923958
항상,16,17,4,17.075282588544408,0.40910877874893276,0.4063939967089769
가득,26,27,0,11.53281447902629,0.5656021804932837,0.4049306703535046
선선한,6,6,0,20.551499649071783,0.615509670333121,0.4044004738145177
집밥일기,14,14,4,17.772323467377298,0.43544579320704263,0.3908951974090156
계란말이,17,20,4,16.64098826979773,0.30084754932484964,0.38154540737937903
한식,31,31,1,9.55131937423754,0.46159248155905996,0.37130937786161416
볶아,8,8,4,20.426724427308894,0.39629511861504174,0.3660609660601573
소스를,5,6,5,19.12231642304822,0.8076369847536486,0.3597358517230268
싸들고,6,6,0,19.37938963321761,0.704017449132309,0.3563284291890295
모두,22,27,4,13.135906240274547,0.3982655259544689,0.3560622214591577
싸서,25,27,4,12.126559659765798,0.39120661572609,0.3481429752467544
바르닭,9,11,2,18.25976845602531,0.5740481749877132,0.33917778604699445
소금,7,9,5,18.544022085635277,0.677208195963337,0.33779067430583276
그대로,15,17,5,13.626142302375456,0.8723639859652961,0.33163988279725465
감자,9,12,2,17.938874414070696,0.5694694785290884,0.3239353127122107
후추,8,9,5,18.09447992563758,0.6406969793044061,0.3115193513331774
소스,18,26,3,11.38369490002882,0.8127752294160083,0.30496577682831116
하는,15,17,2,13.847621480688124,0.7482004981697014,0.292931612699305
있습니다,13,17,4,17.226098603523873,0.27618201473614995,0.2879951120139024
직장인점심도시락,21,21,4,13.79823872446937,0.30596276000974687,0.2765053522507954
올려,6,7,5,18.57074744562177,0.6316910227519194,0.274562589799669
부드러운,11,11,5,15.729179456713322,0.746981487555222,0.27432803339481343
닭고기,5,8,5,17.707751242869232,0.8010412010231429,0.2727390569395907
이렇게,19,19,5,13.154574629492792,0.540212065769691,0.26420500998281926
양념,11,12,5,15.690257175959228,0.6962754885812642,0.25960278245946977
점심메뉴,19,20,4,14.513000342365169,0.2730022455343504,0.25741912787961074
듬뿍,16,16,4,14.303578436316673,0.5565793716283138,0.2544821737840781
담아,14,14,4,16.319360527801194,0.3704868841322597,0.2536046656944672
lover,31,31,4,10.640552812539958,0.006620051738284337,0.25018534348987
맛이,12,13,5,15.404593814638886,0.6440008581347357,0.2492791273356164
치즈,18,21,4,14.435902861241,0.2927361061388236,0.24767249439595507
가능,13,16,3,13.191277349708278,0.8568267155632012,0.23453864340698138
먹는,19,20,3,11.685721368288409,0.6868543928708261,0.2305887333731515
고구마,6,9,2,18.72190499620419,0.44903708412687554,0.22605769912656495
남은,30,30,3,7.4313714381717135,0.56656364471779,0.22560856489100195
행복한,15,16,4,15.014712741567191,0.4209663585623327,0.22370354769514564
간단하게,21,22,6,10.205399087267939,0.735447064466705,0.21024944498671871
점메추,10,10,4,17.317229639942163,0.41178898697249566,0.20945764755434357
계란,22,27,4,11.386629281816411,0.3606713644563951,0.20883840992658306
도시락일기,15,15,4,15.227971296769335,0.37174822794567736,0.20698585016949664
하나,19,20,3,11.707833847890672,0.6028568135619337,0.194874021093414
먹은,12,14,5,14.658566150021834,0.6177513620149288,0.19268075361167952
양배추,14,17,4,15.17023541121851,0.3441532397754392,0.18836435152164724
먹으면,14,18,3,11.811271829546925,0.8682257841383844,0.18163162152794463
저는,24,26,2,8.620401451486739,0.6775854809282572,0.17972200806640398
바로,22,26,3,9.665151458524432,0.6078918454968381,0.17964780356854956
두부,7,10,4,17.542058648559816,0.4382302389361144,0.16747148422251318
단무지,13,14,6,14.948921434117635,0.45819827487385856,0.1668755300409368
직장인,31,32,2,7.0737648088650875,0.3796915769018439,0.16077905092770753
아침,24,24,3,8.894217722852472,0.6279502506239685,0.1566027066181762
않은,11,12,5,14.041985454954222,0.7269307842077578,0.1502734222662513
