token,freq
샐러드,807
샌드위치,138
다이어트,96
맛있는,88
도시락,87
식단,82
포케,77
올리브오일,67
있는,62
좋은,60
파스타,60
소금,58
메뉴,57
오늘도,57
집밥,57
오늘은,56
많이,51
닭가슴살,50
맛있게,50
점심,50
매일,49
먹고,49
브런치,48
만들어,47
샐러드맛집,47
요즘,47
야채,46
후추,46
가능,45
조금,44
치즈,44
건강한,43
드레싱,43
레몬즙,43
사과,43
소스,43
오늘의,43
함께,42
다양한,41
시간,41
다이어트식단,39
맛집,39
먹는,39
있어요,39
저는,39
토마토,39
가득,37
무화과,37
이렇게,36
바로,35
저녁,35
넣고,34
만든,34
발사믹,34
아침,33
요리,33
가능합니다,32
배달,32
샐러드를,32
오이,32
같이,31
그대로,31
올리브유,31
듬뿍,30
샐러드는,30
살짝,29
아보카도,29
주문,29
구운,28
맛을,28
유러피안,28
좋아요,28
단체주문,27
먹기,27
모두,27
신선한,27
있습니다,27
치킨,27
하루,27
오픈,26
하는,26
가지,25
건강,25
건강식,25
루꼴라,25
먹으면,25
먹을,25
목요일,25
올리브,25
즐길,25
다들,24
샐러드와,24
소스를,24
완성,24
입니다,24
촌스마마,24
카페,24
한끼,24
홈쿡,24
가을,23
단체,23
맛이,23
문의,23
배송,23
복숭아,23
오랜만에,23
이제,23
재료,23
좋아하는,23
주말,23
직접,23
가볍게,22
다시,22
많은,22
샌드위치맛집,22
시오픈입니다,22
식사,22
없는,22
열심히,22
오일,22
제가,22
건강하고,21
고소한,21
운동,21
일상,21
저당,21
정기배송,21
감사합니다,20
구성,20
넣어,20
다른,20
맛스타그램,20
먹어도,20
먹었어요,20
약간,20
큰술,20
할인,20
홈브런치,20
따뜻한,19
안녕하세요,19
알룰로스,19
역시,19
오후,19
올려,19
건강하게,18
남은,18
든든한,18
먹스타그램,18
미니,18
새우,18
쉬림프,18
어제,18
올리고,18
주차,18
추천,18
계란,17
맛있어요,17
매콤한,17
먹은,17
보고,17
샐러드로,17
샐러드에,17
식단관리,17
식초,17
추가,17
홈카페,17
과일,16
단백질,16
단호박,16
당근,16
당일,16
라이스,16
맛있고,16
섞어,16
시나노골드,16
싶은,16
엄청,16
없이,16
음료,16
이번,16
있어서,16
점심메뉴,16
제품제공,16
최소주문,16
커피,16
클래스,16
편하게,16
포장,16
가정식,15
같아요,15
구매,15
그릭요거트,15
냉장고에,15
달콤한,15
되는,15
미리,15
부드러운,15
새로운,15
샐러디,15
서브웨이,15
서울,15
소개합니다,15
수업,15
양파,15
연어,15
위해,15
이용,15
조합,15
참외,15
치아바타,15
타코,15
테이블,15
합니다,15
해서,15
간식,14
김치,14
따로,14
레시피,14
마요네즈,14
맛있어서,14
매장,14
문의주세요,14
부드럽고,14
부라타,14
브랜드,14
사람,14
상큼한,14
샐러드가,14
수요일,14
스테이크,14
아침에,14
오전,14
유기농,14
중식,14
채소,14
팬에,14
풍미가,14
하나,14
해요,14
호샐러드,14
화이트발사믹,14
기본,13
다이어터,13
담백한,13
드레싱을,13
든든하게,13
만들었어요,13
맛있다,13
보내세요,13
불고기,13
뿌려서,13
샐러드도시락,13
생산,13
서비스가,13
식단일기,13
신메뉴,13
아삭한,13
얇게,13
오늘뭐먹지,13
온더테이블,13
이거,13
자주,13
직장인도시락,13
최대한,13
치폴레,13
한식뷔페,13
향이,13
가격,12
광주,12
구내식당,12
그릇,12
다진마늘,12
더욱,12
드레싱은,12
드림카드,12
마카롱,12
메뉴가,12
메뉴로,12
발사믹식초,12
부터,12
소스는,12
순천,12
시식당,12
식감,12
식사를,12
연락처,12
연휴,12
우리,12
위에,12
유럽,12
있도록,12
