token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
샐러드,395,530,5,7.0701708627013,0.0881749106974676,9.333864835552456
좋은,41,52,2,30.402195252888195,0.5826094207580212,1.3091678034040202
인스타그램에서,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
34회,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
인원부터,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
매월,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
보온도시락샐러드,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
진행도시락,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
배송탁월한,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
결제를,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
선택하는,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
도시락샐러드,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
7001700매일,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
다른메뉴기다림,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
전용,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
아닙니다각각,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
보온4시간뒤처리샐러드는,5,5,2,55.36541688090304,0.9999999999999709,1.2917352263209168
지원되지않습니다사용,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
기본으로하며,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
메뉴푸디스퀘어를,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
이용가능주,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
결제후불결제를,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
세트가,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
이상의,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
연락주세요오늘도,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
전문업체,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
설명서기업,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
이유매일,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
보내십시오맛스타,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
질문이나,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
금요일에,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
가능합니다샐러드는,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
서비스3명,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
첫째,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
기본결제방식은,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
갱신중,5,5,2,55.365416880903034,0.9999999999999709,1.2917352263209165
foodfoodfic,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
또먹고싶다,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
맛집오늘뭐먹지,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
instafood,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
주문을,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
수거,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
문의사항은,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
샐러드salad,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
01096763990전화문의,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
월금,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
당일주문이,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
안녕하세요배달,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
불가합니다연락처,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
푸디스퀘어,6,6,2,54.53822280264681,0.9734759109876884,1.2813234978883912
lunch,7,7,2,52.79796218073351,0.9438425544539605,1.243005857694452
연락처,6,6,2,53.19469175420827,0.9684193983207021,1.240098578856718
서비스가,8,13,2,51.07262942220989,0.914915118022948,1.2366664690845033
푸드스타그램,8,8,2,51.07262942220989,0.9167714470515224,1.205993728576472
점심,32,32,2,34.727128584326,0.6333880206022886,1.1787004018449632
DM,8,8,2,49.89991903944463,0.9100524418193162,1.1692306688271281
샌드위치,72,84,7,7.668240014779548,0.015309600876336388,1.1644377325085014
인스타그램,9,9,2,48.43764752230243,0.8850358256214551,1.1406502677546002
점심메뉴,15,15,2,43.65702727771929,0.7977447545376691,1.1078470949952364
샐러드는,15,15,2,42.452008308019195,0.792735373473381,1.0707119332912163
없는,20,20,2,38.97211282461994,0.7484842751333464,1.067832733868871
맛있는,61,70,5,13.371487698813437,0.026278053034044322,1.0653534299713616
식단,45,50,1,11.512145789015328,0.022015250904421593,0.6179996287993352
소금,30,33,4,21.900588782688484,0.04791624292299575,0.5764761721383652
지드림카드,6,11,3,38.89261425516939,0.03932864287544329,0.5365703939896376
건강한,29,33,5,21.17132775504752,0.03219922521259161,0.5330861738441188
배달,16,17,3,31.42403957408078,0.051222571612270555,0.524758090211325
여주사랑카드,6,7,3,38.89261425516939,0.03932864287544329,0.5115300049677838
여주맛집,6,7,3,38.89261425516939,0.03932864287544329,0.5115300049677838
최소주문,7,10,3,37.63304254644783,0.040076495528868224,0.5101441067326556
단체,13,15,3,32.96373504568782,0.0504093576386252,0.5073676994419188
죠샌드위치샐러드여주점,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
0318810107죠샌드위치,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
세종로,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
여주행사간식,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
가능합니다문의주세요,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
있습니다단체주문,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
해드립니다,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
0318810107구성,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
맞춰원하시는,6,6,3,38.89261425516939,0.03932864287544329,0.5052699077123203
