token1,token2,co_docs,PMI,NPMI,PHI,src_node_df,src_node_tf,src_node_cluster,src_node_centrality,src_node_svd_c1,src_node_rank,dst_node_df,dst_node_tf,dst_node_cluster,dst_node_centrality,dst_node_svd_c1,dst_node_rank
마카롱,많이달지않은마카롱,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
마카롱,마카롱맛집,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
많이달지않은마카롱,마카롱맛집,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
곡성,마카롱맛집,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
곡성뚝방마켓,핸드메이드,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
곡성뚝방마켓,마카롱,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
곡성뚝방마켓,많이달지않은마카롱,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
곡성뚝방마켓,마카롱맛집,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
핸드메이드,마카롱,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
핸드메이드,많이달지않은마카롱,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
핸드메이드,마카롱맛집,11,3.9990343794971146,0.9999999992832981,0.9999999999999999,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157,11,11,7,14.900415344117702,0.001240890171512381,-0.09881838939725157
