상품명,상품가(원),배송비(원),총가격(원)=상품가+배송비,1개당 가격 = 1개 가격 + 배송비,리뷰수,평점,별점(5점만점),리뷰가중치_new,평점가중값,가중평점_new,단가(원)_사용자,가치점수_new(단가기준),가치점수_new(0~100),,
블랙컨슈머 다이어트 체중조절식 도시락 렌틸콩밥엔 오징어볶음 외 28종 간편 냉동 배달 직장인 아침 점심 저염 저당 저지방 식단,3900,3900,7800,7800,1505,4.9,4.9/5,0.4,0.9604,0.38416,24000,1.60E-05,18.32378172,,
[그래밀] 부채살 소고기 밀키트 저당 지중해식 건강 도시락,8900,0,8900,8900,233,4.61,4.61/5,0.3,0.850084,0.2550252,9700,2.63E-05,30.09716375,,
직장인 냉동도시락 비건 다이어트 산채 비빔밥 유기농 도시락,6000,3000,9000,9000,73,4.74,4.74/5,0.2,0.898704,0.1797408,4483.333333,4.01E-05,45.89441616,,
헤비로버 어셈블 남자 벌크업 도시락 510g 양많은 탄단지 단백질 남편 냉동 다이어트 식단,8900,5000,13900,13900,992,4.81,4.81/5,0.4,0.925444,0.3701776,4650,7.96E-05,91.13210275,," 9,500–10,500원 밴드 내"
전복톳밥 & 가사리된장국 1인분 500g,10900,3000,13900,13900,583,4.84,4.84/5,0.4,0.937024,0.3748096,8050,4.66E-05,53.300224,,"하한: 9,799원/개"
"[2주 식단관리 챌린지 + 일 최대 환급 8,000원] 돈버는 식단 관리 도시락 배달 정기구독 (1일2끼)",8000,16000,24000,24000,223,4.8,4.8/5,0.3,0.9216,0.27648,3291.666667,8.40E-05,96.15283193,,"상한: 10,152원/개"
[총 3팩 구독 체험팩] 탄단지박스 고단백 도시락＆웜프샐러드 (택 1),29100,0,29100,9700,326,4.79,4.79/5,0.4,0.917764,0.3671056,6650,5.52E-05,63.19512436,,
냉동 도시락 양많은 직장인 간편 반찬 정기배송 편의점 점심 배달 단백질 인박스컵밥6종6팩,26900,3000,29900,4483.333333,78,4.78,4.78/5,0.2,0.913936,0.1827872,6650,2.75E-05,31.46576853,,"리뷰수 가중치: 1,000개 이상은 모두 동일 가중치(상한)로 캡핑"
냉동 도시락 양많은 반찬 정기배송 직장인 편의점 간편 점심 배달 단백질 미용식 6종 6팩,27900,3000,30900,4650,1478,4.76,4.76/5,0.4,0.906304,0.3625216,4150,8.74E-05,100,,0–4: 0.0 / 5–50: 0.1 / 51–100: 0.2 / 101–300: 0.3 / 301–1000: 0.4 / 1000+: 0.4
마마킹 혼밥 양많은 냉동 도시락 단백질 식단 직장인 간편 점심 편의점 정기배송 고기고기 5종,30900,3500,34400,6180,2552,4.83,4.83/5,0.4,0.933156,0.3732624,6966.666667,5.36E-05,61.33430117,,
