소스,타겟,빈도
새벽,샐러드,12
배달,샐러드,12
배달,새벽,6
샐러드,야채,5
샐러드,코스,5
샐러드,세종,5
샐러드,천안,5
데이,샐러드,4
데이,새벽,4
데이,배달,4
배달,직장인,4
단백질,직장인,4
아산,천안,4
샐러드,아산,4
대전,세종,4
대전,샐러드,4
샐러드,패키지,4
새벽,패키지,4
샐러드,정기권,3
새벽,정기권,3
데이,정기권,3
유러,피안,3
배달,패키지,3
야채,유러,3
단백,식스,3
단백,배달,3
배달,식스,3
단백,단백질,3
단백질,식스,3
단백질,배달,3
단백,직장인,3
식스,직장인,3
계룡,대전,3
부산,양산,3
계룡,세종,3
구역,부산,3
계룡,샐러드,3
배달,야채,3
야채,피안,3
새벽,세종,3
새벽,양산,3
배달,아침,3
구역,샐러드,3
구역,새벽,3
배달,세종,3
샐러드,양산,3
부산,샐러드,3
부산,새벽,3
구역,양산,3
샐러드,피안,3
샐러드,유러,3
배달,정기권,3
유러,코스,2
노화,배달,2
노화,샐러드,2
야채,코스,2
노화,데이,2
노화,새벽,2
계룡,배달,2
코스,풀럽잇,2
월수,코스,2
월수,풀럽잇,2
새벽,코스,2
정기권,패키지,2
균형,새벽,2
균형,샐러드,2
균형,월수,2
균형,코스,2
균형,풀럽잇,2
새벽,월수,2
샐러드,월수,2
새벽,풀럽잇,2
샐러드,풀럽잇,2
데이,패키지,2
코스,피안,2
노화,패키지,2
노화,정기권,2
그린,포켓,2
그린,배달,2
그린,샐러드,2
배달,포켓,2
샐러드,포켓,2
계룡,패키지,2
대전,새벽,2
대전,패키지,2
세종,패키지,2
다이어트,배달,2
다이어트,샐러드,2
계룡,새벽,2
대전,배달,2
매일,아침,2
매일,서울,2
매일,샐러드,2
매일,배달,2
배달,서울,2
배달,주문,2
매일,포케,2
매일,야채,2
샐러드,서울,2
샐러드,아침,2
샐러드,주문,2
샐러드,포케,2
서울,아침,2
서울,야채,2
배달,포케,2
매일,주문,2
서울,포케,2
서울,주문,2
아침,야채,2
아침,주문,2
야채,주문,2
아침,포케,2
주문,포케,2
야채,포케,2
가슴,배달,2
가슴,샐러드,2
배달,점심,2
아침,점심,2
다이어트,직장인,2
단백질,많다,2
단백질,부채살,2
많다,부채살,2
