토큰,가중빈도
샐러드,21.000000000000007
배달,11.599999999999998
새벽,8.799999999999999
코스,3.8000000000000003
단백질,3.8000000000000003
직장인,3.8000000000000003
데이,3.2
야채,3.0
세종,3.0
천안,3.0
다이어트,2.8000000000000003
식스,2.6
단백,2.6
패키지,2.4
대전,2.4
아산,2.4
정기권,2.2
풀럽잇,2.0
월수,2.0
균형,2.0
유러,1.7999999999999998
피안,1.7999999999999998
계룡,1.7999999999999998
구역,1.7999999999999998
부산,1.7999999999999998
양산,1.7999999999999998
아침,1.7999999999999998
포켓,1.6
그린,1.6
노화,1.2
포케,1.2
주문,1.2
매일,1.2
서울,1.2
점심,1.2
가슴,1.2
한식,1.2
파스타,1.2
많다,1.2
부채살,1.2
함박,1.2
월요일,1.0
목요일,1.0
가지,1.0
월화,0.6
바오프,0.6
레쉬,0.6
체험판,0.6
다이어트식단,0.6
원주,0.6
다르다,0.6
블랙,0.6
컨슈머,0.6
저당,0.6
지방,0.6
체험,0.6
맛보기,0.6
투고,0.6
등심,0.6
비프,0.6
포크,0.6
스테이크,0.6
김치볶음밥,0.6
