토큰,Band 1,Band 2,차이(B1-B2)
포켓,0.07107843137254902,0.010256410256410256,0.06082202111613876
그린,0.05392156862745098,0.010256410256410256,0.04366515837104073
점심,0.049019607843137254,0.010256410256410256,0.038763197586727
다이어트식단,0.03431372549019608,0.005128205128205128,0.029185520361990954
다이어트,0.049019607843137254,0.020512820512820513,0.02850678733031674
직장인,0.05392156862745098,0.02564102564102564,0.028280542986425343
배달,0.11029411764705882,0.08205128205128205,0.02824283559577677
가지,0.031862745098039214,0.005128205128205128,0.026734539969834086
반찬,0.024113371952836155,0.0,0.024113371952836155
많다,0.03431372549019608,0.010256410256410256,0.024057315233785827
아침식사,0.020668604531002416,0.0,0.020668604531002416
관리,0.020668604531002416,0.0,0.020668604531002416
네이버,0.01722383710916868,0.0,0.01722383710916868
편의점,0.01722383710916868,0.0,0.01722383710916868
저녁,0.01722383710916868,0.0,0.01722383710916868
시즌,0.010334302265501208,0.0,0.010334302265501208
현미,0.010334302265501208,0.0,0.010334302265501208
컵밥,0.006889534843667473,0.0,0.006889534843667473
조절,0.006889534843667473,0.0,0.006889534843667473
집중,0.006889534843667473,0.0,0.006889534843667473
체중,0.006889534843667473,0.0,0.006889534843667473
핫앤쿡,0.006889534843667473,0.0,0.006889534843667473
비화,0.006889534843667473,0.0,0.006889534843667473
전투식량,0.006889534843667473,0.0,0.006889534843667473
저녁식사,0.006889534843667473,0.0,0.006889534843667473
밥상,0.006889534843667473,0.0,0.006889534843667473
단지,0.006889534843667473,0.0,0.006889534843667473
발열,0.006889534843667473,0.0,0.006889534843667473
블랙,0.00980392156862745,0.005128205128205128,0.004675716440422323
포케,0.014705882352941176,0.010256410256410256,0.00444947209653092
아침,0.0196078431372549,0.015384615384615385,0.004223227752639516
볶음밥,0.0034447674218337364,0.0,0.0034447674218337364
비빔밥,0.0034447674218337364,0.0,0.0034447674218337364
라면,0.0034447674218337364,0.0,0.0034447674218337364
고기,0.0034447674218337364,0.0,0.0034447674218337364
린지,0.0034447674218337364,0.0,0.0034447674218337364
대용,0.0034447674218337364,0.0,0.0034447674218337364
감탄,0.0034447674218337364,0.0,0.0034447674218337364
맛있다,0.0034447674218337364,0.0,0.0034447674218337364
돈버,0.0034447674218337364,0.0,0.0034447674218337364
등산,0.0034447674218337364,0.0,0.0034447674218337364
라인,0.0034447674218337364,0.0,0.0034447674218337364
진심,0.0034447674218337364,0.0,0.0034447674218337364
개월,0.0034447674218337364,0.0,0.0034447674218337364
가치,0.0034447674218337364,0.0,0.0034447674218337364
완벽하다,0.0034447674218337364,0.0,0.0034447674218337364
운동,0.0034447674218337364,0.0,0.0034447674218337364
오마이,0.0034447674218337364,0.0,0.0034447674218337364
키트,0.0034447674218337364,0.0,0.0034447674218337364
홀리,0.0034447674218337364,0.0,0.0034447674218337364
환급,0.0034447674218337364,0.0,0.0034447674218337364
코타,0.0034447674218337364,0.0,0.0034447674218337364
포함,0.0034447674218337364,0.0,0.0034447674218337364
셔스,0.0034447674218337364,0.0,0.0034447674218337364
비상식량,0.0034447674218337364,0.0,0.0034447674218337364
비용,0.0034447674218337364,0.0,0.0034447674218337364
애밥,0.0034447674218337364,0.0,0.0034447674218337364
스푼,0.0034447674218337364,0.0,0.0034447674218337364
지방,0.007352941176470588,0.005128205128205128,0.00222473604826546
저당,0.007352941176470588,0.005128205128205128,0.00222473604826546
컨슈머,0.007352941176470588,0.005128205128205128,0.00222473604826546
맛보기,0.007352941176470588,0.005128205128205128,0.00222473604826546
단백,0.01715686274509804,0.015384615384615385,0.0017722473604826552
가슴,0.00980392156862745,0.010256410256410256,-0.00045248868778280556
단백질,0.024509803921568627,0.02564102564102564,-0.001131221719457013
주문,0.004901960784313725,0.010256410256410256,-0.005354449472096531
한식,0.004901960784313725,0.010256410256410256,-0.005354449472096531
포크,0.0,0.007207513374913663,-0.007207513374913663
체험,0.0,0.007207513374913663,-0.007207513374913663
원주,0.0,0.007207513374913663,-0.007207513374913663
레쉬,0.0,0.007207513374913663,-0.007207513374913663
등심,0.0,0.007207513374913663,-0.007207513374913663
바오프,0.0,0.007207513374913663,-0.007207513374913663
김치볶음밥,0.0,0.007207513374913663,-0.007207513374913663
다르다,0.0,0.007207513374913663,-0.007207513374913663
목요일,0.0,0.007207513374913663,-0.007207513374913663
투고,0.0,0.007207513374913663,-0.007207513374913663
월요일,0.0,0.007207513374913663,-0.007207513374913663
월화,0.0,0.007207513374913663,-0.007207513374913663
비프,0.0,0.007207513374913663,-0.007207513374913663
스테이크,0.0,0.007207513374913663,-0.007207513374913663
체험판,0.0,0.007207513374913663,-0.007207513374913663
매일,0.0024509803921568627,0.010256410256410256,-0.007805429864253394
서울,0.0024509803921568627,0.010256410256410256,-0.007805429864253394
샐러드,0.14705882352941177,0.15897435897435896,-0.011915535444947195
피안,0.0024509803921568627,0.015384615384615385,-0.012933634992458523
유러,0.0024509803921568627,0.015384615384615385,-0.012933634992458523
풀럽잇,0.0,0.014415026749827326,-0.014415026749827326
함박,0.0,0.014415026749827326,-0.014415026749827326
월수,0.0,0.014415026749827326,-0.014415026749827326
균형,0.0,0.014415026749827326,-0.014415026749827326
노화,0.0,0.014415026749827326,-0.014415026749827326
부채살,0.0,0.014415026749827326,-0.014415026749827326
파스타,0.0,0.014415026749827326,-0.014415026749827326
정기권,0.0,0.02162254012474099,-0.02162254012474099
부산,0.0,0.02162254012474099,-0.02162254012474099
