토큰,빈도_B1,빈도_B2,B1_%,B2_%,차이(B1-B2)_%p,비율(B1/B2)
새벽,0.0,12.0,0.0,6.15,-6.15,0.0
포켓,29.0,2.0,7.11,1.03,6.08,14.5
그린,22.0,2.0,5.39,1.03,4.36,11.0
점심,20.0,2.0,4.9,1.03,3.87,10.0
다이어트식단,14.0,1.0,3.43,0.51,2.92,14.0
다이어트,20.0,4.0,4.9,2.05,2.85,5.0
직장인,22.0,5.0,5.39,2.56,2.83,4.4
배달,45.0,16.0,11.03,8.21,2.82,2.812
가지,13.0,1.0,3.19,0.51,2.68,13.0
코스,0.0,5.0,0.0,2.56,-2.56,0.0
세종,0.0,5.0,0.0,2.56,-2.56,0.0
천안,0.0,5.0,0.0,2.56,-2.56,0.0
많다,14.0,2.0,3.43,1.03,2.4,7.0
야채,1.0,5.0,0.25,2.56,-2.31,0.2
데이,0.0,4.0,0.0,2.05,-2.05,0.0
대전,0.0,4.0,0.0,2.05,-2.05,0.0
아산,0.0,4.0,0.0,2.05,-2.05,0.0
패키지,0.0,4.0,0.0,2.05,-2.05,0.0
반찬,7.0,0.0,1.72,0.0,1.72,
양산,0.0,3.0,0.0,1.54,-1.54,0.0
정기권,0.0,3.0,0.0,1.54,-1.54,0.0
부산,0.0,3.0,0.0,1.54,-1.54,0.0
계룡,0.0,3.0,0.0,1.54,-1.54,0.0
구역,0.0,3.0,0.0,1.54,-1.54,0.0
식스,0.0,3.0,0.0,1.54,-1.54,0.0
아침식사,6.0,0.0,1.47,0.0,1.47,
관리,6.0,0.0,1.47,0.0,1.47,
피안,1.0,3.0,0.25,1.54,-1.29,0.333
유러,1.0,3.0,0.25,1.54,-1.29,0.333
네이버,5.0,0.0,1.23,0.0,1.23,
편의점,5.0,0.0,1.23,0.0,1.23,
저녁,5.0,0.0,1.23,0.0,1.23,
샐러드,60.0,31.0,14.71,15.9,-1.19,1.935
월수,0.0,2.0,0.0,1.03,-1.03,0.0
노화,0.0,2.0,0.0,1.03,-1.03,0.0
균형,0.0,2.0,0.0,1.03,-1.03,0.0
부채살,0.0,2.0,0.0,1.03,-1.03,0.0
풀럽잇,0.0,2.0,0.0,1.03,-1.03,0.0
함박,0.0,2.0,0.0,1.03,-1.03,0.0
파스타,0.0,2.0,0.0,1.03,-1.03,0.0
서울,1.0,2.0,0.25,1.03,-0.78,0.5
매일,1.0,2.0,0.25,1.03,-0.78,0.5
현미,3.0,0.0,0.74,0.0,0.74,
시즌,3.0,0.0,0.74,0.0,0.74,
한식,2.0,2.0,0.49,1.03,-0.54,1.0
주문,2.0,2.0,0.49,1.03,-0.54,1.0
포크,0.0,1.0,0.0,0.51,-0.51,0.0
체험판,0.0,1.0,0.0,0.51,-0.51,0.0
투고,0.0,1.0,0.0,0.51,-0.51,0.0
월화,0.0,1.0,0.0,0.51,-0.51,0.0
다르다,0.0,1.0,0.0,0.51,-0.51,0.0
레쉬,0.0,1.0,0.0,0.51,-0.51,0.0
등심,0.0,1.0,0.0,0.51,-0.51,0.0
바오프,0.0,1.0,0.0,0.51,-0.51,0.0
목요일,0.0,1.0,0.0,0.51,-0.51,0.0
김치볶음밥,0.0,1.0,0.0,0.51,-0.51,0.0
체험,0.0,1.0,0.0,0.51,-0.51,0.0
월요일,0.0,1.0,0.0,0.51,-0.51,0.0
원주,0.0,1.0,0.0,0.51,-0.51,0.0
스테이크,0.0,1.0,0.0,0.51,-0.51,0.0
비프,0.0,1.0,0.0,0.51,-0.51,0.0
저녁식사,2.0,0.0,0.49,0.0,0.49,
조절,2.0,0.0,0.49,0.0,0.49,
발열,2.0,0.0,0.49,0.0,0.49,
단지,2.0,0.0,0.49,0.0,0.49,
밥상,2.0,0.0,0.49,0.0,0.49,
