토큰,빈도_B1,빈도_B2,B1_%,B2_%,combined
샐러드,60.0,31.0,14.706,15.897,91.0
배달,45.0,16.0,11.029,8.205,61.0
포켓,29.0,2.0,7.108,1.026,31.0
직장인,22.0,5.0,5.392,2.564,27.0
다이어트,20.0,4.0,4.902,2.051,24.0
그린,22.0,2.0,5.392,1.026,24.0
점심,20.0,2.0,4.902,1.026,22.0
많다,14.0,2.0,3.431,1.026,16.0
다이어트식단,14.0,1.0,3.431,0.513,15.0
단백질,10.0,5.0,2.451,2.564,15.0
가지,13.0,1.0,3.186,0.513,14.0
새벽,0.0,12.0,0.0,6.154,12.0
아침,8.0,3.0,1.961,1.538,11.0
단백,7.0,3.0,1.716,1.538,10.0
포케,6.0,2.0,1.471,1.026,8.0
반찬,7.0,0.0,1.716,0.0,7.0
야채,1.0,5.0,0.245,2.564,6.0
관리,6.0,0.0,1.471,0.0,6.0
가슴,4.0,2.0,0.98,1.026,6.0
아침식사,6.0,0.0,1.471,0.0,6.0
천안,0.0,5.0,0.0,2.564,5.0
코스,0.0,5.0,0.0,2.564,5.0
편의점,5.0,0.0,1.225,0.0,5.0
저녁,5.0,0.0,1.225,0.0,5.0
세종,0.0,5.0,0.0,2.564,5.0
블랙,4.0,1.0,0.98,0.513,5.0
네이버,5.0,0.0,1.225,0.0,5.0
데이,0.0,4.0,0.0,2.051,4.0
대전,0.0,4.0,0.0,2.051,4.0
아산,0.0,4.0,0.0,2.051,4.0
저당,3.0,1.0,0.735,0.513,4.0
맛보기,3.0,1.0,0.735,0.513,4.0
한식,2.0,2.0,0.49,1.026,4.0
패키지,0.0,4.0,0.0,2.051,4.0
유러,1.0,3.0,0.245,1.538,4.0
컨슈머,3.0,1.0,0.735,0.513,4.0
지방,3.0,1.0,0.735,0.513,4.0
피안,1.0,3.0,0.245,1.538,4.0
주문,2.0,2.0,0.49,1.026,4.0
정기권,0.0,3.0,0.0,1.538,3.0
부산,0.0,3.0,0.0,1.538,3.0
매일,1.0,2.0,0.245,1.026,3.0
구역,0.0,3.0,0.0,1.538,3.0
계룡,0.0,3.0,0.0,1.538,3.0
식스,0.0,3.0,0.0,1.538,3.0
시즌,3.0,0.0,0.735,0.0,3.0
서울,1.0,2.0,0.245,1.026,3.0
현미,3.0,0.0,0.735,0.0,3.0
양산,0.0,3.0,0.0,1.538,3.0
함박,0.0,2.0,0.0,1.026,2.0
체중,2.0,0.0,0.49,0.0,2.0
컵밥,2.0,0.0,0.49,0.0,2.0
조절,2.0,0.0,0.49,0.0,2.0
월수,0.0,2.0,0.0,1.026,2.0
핫앤쿡,2.0,0.0,0.49,0.0,2.0
풀럽잇,0.0,2.0,0.0,1.026,2.0
파스타,0.0,2.0,0.0,1.026,2.0
집중,2.0,0.0,0.49,0.0,2.0
저녁식사,2.0,0.0,0.49,0.0,2.0
전투식량,2.0,0.0,0.49,0.0,2.0
비화,2.0,0.0,0.49,0.0,2.0
균형,0.0,2.0,0.0,1.026,2.0
단지,2.0,0.0,0.49,0.0,2.0
밥상,2.0,0.0,0.49,0.0,2.0
발열,2.0,0.0,0.49,0.0,2.0
노화,0.0,2.0,0.0,1.026,2.0
부채살,0.0,2.0,0.0,1.026,2.0
가치,1.0,0.0,0.245,0.0,1.0
감탄,1.0,0.0,0.245,0.0,1.0
개월,1.0,0.0,0.245,0.0,1.0
다르다,0.0,1.0,0.0,0.513,1.0
돈버,1.0,0.0,0.245,0.0,1.0
등산,1.0,0.0,0.245,0.0,1.0
등심,0.0,1.0,0.0,0.513,1.0
라면,1.0,0.0,0.245,0.0,1.0
고기,1.0,0.0,0.245,0.0,1.0
김치볶음밥,0.0,1.0,0.0,0.513,1.0
비빔밥,1.0,0.0,0.245,0.0,1.0
볶음밥,1.0,0.0,0.245,0.0,1.0
목요일,0.0,1.0,0.0,0.513,1.0
바오프,0.0,1.0,0.0,0.513,1.0
맛있다,1.0,0.0,0.245,0.0,1.0
린지,1.0,0.0,0.245,0.0,1.0
라인,1.0,0.0,0.245,0.0,1.0
레쉬,0.0,1.0,0.0,0.513,1.0
대용,1.0,0.0,0.245,0.0,1.0
비용,1.0,0.0,0.245,0.0,1.0
비프,0.0,1.0,0.0,0.513,1.0
비상식량,1.0,0.0,0.245,0.0,1.0
셔스,1.0,0.0,0.245,0.0,1.0
스푼,1.0,0.0,0.245,0.0,1.0
원주,0.0,1.0,0.0,0.513,1.0
스테이크,0.0,1.0,0.0,0.513,1.0
월화,0.0,1.0,0.0,0.513,1.0
월요일,0.0,1.0,0.0,0.513,1.0
운동,1.0,0.0,0.245,0.0,1.0
애밥,1.0,0.0,0.245,0.0,1.0
오마이,1.0,0.0,0.245,0.0,1.0
완벽하다,1.0,0.0,0.245,0.0,1.0
진심,1.0,0.0,0.245,0.0,1.0
체험판,0.0,1.0,0.0,0.513,1.0
키트,1.0,0.0,0.245,0.0,1.0
코타,1.0,0.0,0.245,0.0,1.0
체험,0.0,1.0,0.0,0.513,1.0
투고,0.0,1.0,0.0,0.513,1.0
포함,1.0,0.0,0.245,0.0,1.0
포크,0.0,1.0,0.0,0.513,1.0
홀리,1.0,0.0,0.245,0.0,1.0
환급,1.0,0.0,0.245,0.0,1.0
