토큰A,토큰B,co,dfA,dfB,cosine,jaccard,pmi,npmi
컨슈머,지방,3,3,3,0.9999999996666666,0.9999999996666666,4.345774836841731,1.0000000000000002
블랙,컨슈머,3,4,3,0.8660254035344387,0.7499999998125,3.9307373375628862,0.9044963177198407
블랙,지방,3,4,3,0.8660254035344387,0.7499999998125,3.9307373375628862,0.9044963177198407
단백,네이버,5,7,5,0.8451542545856594,0.7142857141836735,3.123382415505282,0.8654883662372931
샐러드,포켓,29,33,29,0.9374368665307891,0.878787878761249,0.8863432182044327,0.8262297626619515
아침식사,저녁,4,6,5,0.7302967432068881,0.5714285713469388,3.023846741954368,0.7692823209167154
아침,블랙,4,8,4,0.7071067810615475,0.4999999999375,2.9307373375628862,0.7455948047090792
포켓,그린,22,29,22,0.8709883406769026,0.7586206896290131,1.0727563424353144,0.7291185840144001
다이어트,가지,13,20,13,0.806225774779855,0.6499999999675,1.6088092426755238,0.7213428506876175
단백질,반찬,6,10,7,0.7171371655149219,0.5454545454049586,2.386416821339076,0.7132628278093431
반찬,저녁,4,7,5,0.6761234036685275,0.4999999999375,2.80145432061792,0.7127045335353956
아침,컨슈머,3,8,3,0.6123724355707946,0.374999999953125,2.9307373375628862,0.674387755370406
아침,지방,3,8,3,0.6123724355707946,0.374999999953125,2.9307373375628862,0.674387755370406
그린,가지,13,22,13,0.7687061147403529,0.5909090908822314,1.471305718925589,0.6596903059543353
다이어트식단,포케,6,14,6,0.6546536706365486,0.4285714285408163,2.1233824155052825,0.6346459397458036
샐러드,그린,22,33,22,0.8164965808974229,0.6666666666464647,0.8863432182044327,0.6024194746226358
직장인,점심,16,22,20,0.7627700713601102,0.6153846153609468,1.149377624038227,0.5953050172474796
많다,네이버,5,14,5,0.5976143045957683,0.35714285711734695,2.123382415505282,0.5883886547383796
단백질,저녁,4,10,5,0.565685424869238,0.36363636360330576,2.286881147788162,0.5817944450101723
단백질,편의점,4,10,5,0.565685424869238,0.36363636360330576,2.286881147788162,0.5817944450101723
포케,맛보기,2,6,3,0.4714045206799206,0.2857142856734694,2.760812336120574,0.5599187600378568
반찬,편의점,3,7,5,0.5070925527513956,0.3333333332962963,2.386416821339076,0.5491349439248427
직장인,많다,12,22,14,0.6837634587188666,0.49999999997916666,1.248913297589141,0.5324097087129789
점심,단백질,9,20,10,0.6363961030228927,0.42857142855102043,1.456806149230474,0.5276730077487057
그린,다이어트,15,22,20,0.7150969419001033,0.5555555555349794,1.0562682196467452,0.5219111693342643
점심,반찬,7,20,7,0.5916079782599616,0.3499999999825,1.6088092426755238,0.5150855798793567
단백질,아침식사,4,10,6,0.5163977794276555,0.33333333330555553,2.023846741954368,0.5148771256257947
포켓,다이어트식단,14,29,14,0.6948083337451684,0.48275862067300834,1.0727563424353141,0.5052110889691248
반찬,아침식사,3,7,6,0.4629100498148471,0.29999999997,2.1233824155052825,0.48860847494999077
포켓,가지,13,29,13,0.6695340633775034,0.4482758620535077,1.0727563424353141,0.48099246176545124
점심,아침식사,6,20,6,0.5477225574551661,0.299999999985,1.6088092426755243,0.48084803106301444
직장인,단백질,9,22,10,0.6067798761760088,0.39130434780907375,1.3193026254805391,0.47786754942365656
아침,가슴,2,8,3,0.40824829038052973,0.22222222219753085,2.34577483684173,0.4757452438140166
직장인,반찬,7,22,7,0.5640760747723117,0.31818181816735536,1.4713057189255891,0.47106166431034674
직장인,단백,7,22,7,0.5640760747723117,0.31818181816735536,1.4713057189255891,0.47106166431034674
많다,편의점,4,14,5,0.4780914436766146,0.2666666666488889,1.8014543206179199,0.4582993382444749
많다,단백,5,14,7,0.505076272225085,0.31249999998046873,1.6379555883350403,0.4538770209756727
점심,아침,7,20,8,0.5533985904857164,0.3333333333174603,1.4161641647331282,0.45340722855546645
점심,편의점,5,20,5,0.49999999995,0.2499999999875,1.608809242675524,0.4458005770021731
점심,저녁,5,20,5,0.49999999995,0.2499999999875,1.608809242675524,0.4458005770021731
샐러드,다이어트식단,14,33,14,0.6513389472486266,0.4242424242295685,0.8863432182044326,0.41742043813314594
점심,블랙,4,20,4,0.4472135954499579,0.19999999999,1.608809242675524,0.409289429568705
직장인,편의점,5,22,5,0.4767312945773416,0.2272727272623967,1.4713057189255891,0.4076983902409822
직장인,저녁,5,22,5,0.4767312945773416,0.2272727272623967,1.4713057189255891,0.4076983902409822
직장인,네이버,5,22,5,0.4767312945773416,0.2272727272623967,1.4713057189255891,0.4076983902409822
샐러드,가지,13,33,13,0.6276459144305447,0.3939393939274564,0.8863432182044327,0.3974102875266565
