토큰A,토큰B,B1,B2,차이(B1-B2)
컨슈머,지방,1.0000000000000002,0.0,1.0000000000000002
블랙,지방,0.9044963177198407,0.0,0.9044963177198407
블랙,컨슈머,0.9044963177198407,0.0,0.9044963177198407
단백,네이버,0.8654883662372931,0.0,0.8654883662372931
아침식사,저녁,0.7692823209167154,0.0,0.7692823209167154
샐러드,포켓,0.8262297626619515,0.0784837413855629,0.7477460212763886
아침,블랙,0.7455948047090792,0.0,0.7455948047090792
다이어트,가지,0.7213428506876175,0.0,0.7213428506876175
단백질,반찬,0.7132628278093431,0.0,0.7132628278093431
반찬,저녁,0.7127045335353956,0.0,0.7127045335353956
아침,지방,0.674387755370406,0.0,0.674387755370406
아침,컨슈머,0.674387755370406,0.0,0.674387755370406
그린,가지,0.6596903059543353,0.0,0.6596903059543353
다이어트식단,포케,0.6346459397458036,0.0,0.6346459397458036
직장인,점심,0.5953050172474796,0.0,0.5953050172474796
많다,네이버,0.5883886547383796,0.0,0.5883886547383796
단백질,저녁,0.5817944450101723,0.0,0.5817944450101723
단백질,편의점,0.5817944450101723,0.0,0.5817944450101723
포케,맛보기,0.5599187600378568,0.0,0.5599187600378568
반찬,편의점,0.5491349439248427,0.0,0.5491349439248427
직장인,많다,0.5324097087129789,0.0,0.5324097087129789
점심,단백질,0.5276730077487057,0.0,0.5276730077487057
샐러드,그린,0.6024194746226358,0.0784837413855629,0.5239357332370729
그린,다이어트,0.5219111693342643,0.0,0.5219111693342643
점심,반찬,0.5150855798793567,0.0,0.5150855798793567
단백질,아침식사,0.5148771256257947,0.0,0.5148771256257947
포켓,다이어트식단,0.5052110889691248,0.0,0.5052110889691248
반찬,아침식사,0.48860847494999077,0.0,0.48860847494999077
포켓,가지,0.48099246176545124,0.0,0.48099246176545124
점심,아침식사,0.48084803106301444,0.0,0.48084803106301444
아침,가슴,0.4757452438140166,0.0,0.4757452438140166
직장인,반찬,0.47106166431034674,0.0,0.47106166431034674
많다,편의점,0.4582993382444749,0.0,0.4582993382444749
많다,단백,0.4538770209756727,0.0,0.4538770209756727
점심,저녁,0.4458005770021731,0.0,0.4458005770021731
점심,편의점,0.4458005770021731,0.0,0.4458005770021731
샐러드,다이어트식단,0.41742043813314594,0.0,0.41742043813314594
점심,블랙,0.409289429568705,0.0,0.409289429568705
직장인,네이버,0.4076983902409822,0.0,0.4076983902409822
직장인,저녁,0.4076983902409822,0.0,0.4076983902409822
직장인,편의점,0.4076983902409822,0.0,0.4076983902409822
샐러드,다이어트,0.23287619025463513,-0.17441214984098088,0.407288340095616
샐러드,가지,0.3974102875266565,0.0,0.3974102875266565
직장인,블랙,0.374307818755913,0.0,0.374307818755913
다이어트,컨슈머,0.3702007819265479,0.0,0.3702007819265479
다이어트,지방,0.3702007819265479,0.0,0.3702007819265479
점심,지방,0.3702007819265479,0.0,0.3702007819265479
점심,컨슈머,0.3702007819265479,0.0,0.3702007819265479
직장인,컨슈머,0.33856004375846893,0.0,0.33856004375846893
직장인,지방,0.33856004375846893,0.0,0.33856004375846893
직장인,아침식사,0.33481163227014976,0.0,0.33481163227014976
아침,편의점,0.3262816760526753,0.0,0.3262816760526753
포켓,다이어트,0.32498451069537576,0.0,0.32498451069537576
포켓,포케,0.3206301663288109,0.0,0.3206301663288109
직장인,아침,0.3157021231721073,0.0,0.3157021231721073
다이어트식단,맛보기,0.312006056997658,0.0,0.312006056997658
배달,샐러드,0.23534805343511975,-0.07646420788590794,0.3118122613210277
다이어트,블랙,0.27469709964638844,0.0,0.27469709964638844
점심,많다,0.27346508004855374,0.0,0.27346508004855374
많다,아침식사,0.25849991260055594,0.0,0.25849991260055594
포켓,맛보기,0.2468504197090281,0.0,0.2468504197090281
배달,다이어트,0.21683000334300812,-0.01158356490617514,0.22841356824918324
아침,반찬,0.22783254077381782,0.0,0.22783254077381782
아침,단백,0.22783254077381782,0.0,0.22783254077381782
점심,가슴,0.20764576813990754,0.0,0.20764576813990754
샐러드,맛보기,0.2039551636891934,0.0,0.2039551636891934
배달,가지,0.19678281383225993,0.0,0.19678281383225993
샐러드,포케,0.26491418622811547,0.0784837413855629,0.18643044484255256
직장인,가슴,0.17975875767142882,0.0,0.17975875767142882
그린,다이어트식단,0.150895937873603,0.0,0.150895937873603
배달,다이어트식단,0.14884517403680075,0.0,0.14884517403680075
배달,아침식사,0.1311756656187598,0.0,0.1311756656187598
단백질,아침,0.1234722519160674,0.0,0.1234722519160674
배달,저녁,0.1216146966271424,0.0,0.1216146966271424
배달,포켓,0.3456153156791318,0.24131232632036864,0.10430298935876314
배달,맛보기,0.10099102178799681,0.0,0.10099102178799681
배달,지방,0.10099102178799681,0.0,0.10099102178799681
배달,컨슈머,0.10099102178799681,0.0,0.10099102178799681
샐러드,아침,0.0,-0.06945087156842167,0.06945087156842167
배달,반찬,0.06470603386482594,0.0,0.06470603386482594
많다,반찬,0.06409335395745921,0.0,0.06409335395745921
점심,관리,0.058182200378566196,0.0,0.058182200378566196
다이어트,아침,0.044588537296953654,0.0,0.044588537296953654
직장인,관리,0.030295189910087537,0.0,0.030295189910087537
배달,편의점,0.02975425125158931,0.0,0.02975425125158931
많다,아침,0.025023116637209932,0.0,0.025023116637209932
배달,새벽,0.0,-0.019332701325745195,0.019332701325745195
배달,대전,0.0,-0.01158356490617514,0.01158356490617514
배달,블랙,0.005487339507837421,0.0,0.005487339507837421
점심,포케,0.004836344003299657,0.0,0.004836344003299657
배달,그린,0.24165706761982608,0.24131232632036864,0.0003447412994574406
새벽,코스,0.0,0.011963420898981232,-0.011963420898981232
배달,단백질,0.03990673092632265,0.06447481192830057,-0.024568081001977916
점심,단백,-0.040266934900291255,0.0,-0.040266934900291255
배달,야채,0.0,0.06447481192830057,-0.06447481192830057
배달,세종,0.0,0.06447481192830057,-0.06447481192830057
샐러드,월수,0.0,0.0784837413855629,-0.0784837413855629
샐러드,가슴,0.0,0.0784837413855629,-0.0784837413855629
샐러드,관리,-0.08834071800268026,0.0,-0.08834071800268026
샐러드,구역,0.0,0.09210999833904109,-0.09210999833904109
샐러드,계룡,0.0,0.09210999833904109,-0.09210999833904109
