상품명,1회 가격,평점,리뷰 수,__src__
굿스푼 한달 식단 도시락 24종 24팩 정기배송 구독 단백질 밥 반찬 간편식 배달,3988.0,4.8,1251.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
점심구독 12종 24팩 반찬배달 아침도시락배달 정기배송 한달 저녁 매일 식단 직장인 식사,3788.0,4.8,66.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
현미 건강식배달 12종 18팩 곤약 점심구독 아침식사배달 도시락정기배송 식단 반찬배달,3799.0,4.69,13.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
냉동도시락 점심도시락배달 6종12팩 정기배송 구독 반찬 직장인 아침식사 저녁 편의점 2주,3733.0,4.67,27.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
맛있는 식단 고기 많은 12종 12팩 정기배송 1일 1식 아침 점심 간편 도시락 냉동 배달,3800.0,4.5,4.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 4주 주2회 구독,21237.5,4.89,72.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 3주 주2회 구독,21576.66667,4.92,24.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
샐러드 정기배송 매일 2주 식단 얌샐러드 구독 배달 야채도시락 새벽배송 주5회,20000.0,4.75,20.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
다신샵 3번세척 7가지야채 하루한끼 샐러드 2종 5+5팩 / 정기구독 출고당일 생산,3580.0,4.79,934.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
에이비씨이츠 샐러드 정기배송 구독 식단 배달 주2회 월수 1주코스 서울 대전 대구,21600.0,4.83,154.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
밀투고 샐러드 정기배송 식단 배송 유러피안샐러드 구독 배달 4주 [주 3개],34400.0,4.88,179.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
프레쉬홈 실속 이지 샐러드 5팩 골라담기 배달 식단 야채 정기구독,2980.0,4.77,1551.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
포켓샐러드 4주 채소만 샐러드 정기배송 주5팩씩 배달 야채 다이어트 / 진공포장 세척 간편,3600.0,4.96,56.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
[1+1] 대용량 믹스 샐러드팩 100g x 10팩 신선 채소팩 정기구독 간편식,2440.0,4.92,13.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
[저스트그린] 유러피안 샐러드 9개입 세트 80g 정기배송 로메인 야채믹스 한끼샐러드,2433.0,5.0,1.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
포켓샐러드 채소만 샐러드 5팩 세트 야채 배달 도시락 다이어트 식단 / 진공포장 세척 간편,3600.0,4.85,215.0,도시락_정기구독_상품_정리_from_txt_enriched.csv
