상품명,1회 가격,평점,리뷰 수,rating_norm,review_weight,가중 점수
굿스푼 한달 식단 도시락 24종 24팩 정기배송 구독 단백질 밥 반찬 간편식…,3987.5,4.8,1233.0,0.96,1.0,0.96
루틴밀10팩 양많은 단백질 냉동도시락 건강식단 벌크업 직장인 탄단지 고단백…,6454.0,4.8,5232.0,0.96,1.0,0.96
냉동 도시락 양많은 반찬 정기배송 직장인 편의점 간편 점심 배달 단백질 미용식…,4650.0,4.76,1478.0,0.952,1.0,0.952
굿스푼 맛있는 다이어트 식단 고기많은 12종 12팩 정기배송 냉동 도시락 배달…,4658.333333,4.76,14914.0,0.952,1.0,0.952
맛있는 다이어트 식단 관리 도시락 12팩 세트 직장인 간편 냉동 12종 12팩,3291.666667,4.57,5308.0,0.914,1.0,0.914
[총 12팩 2/4주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,9827.5,4.83,380.0,0.966,0.38,0.36708
[총 3팩 구독 체험팩] 탄단지박스 고단백 도시락＆웜프샐러드 (택 1),9700.0,4.79,326.0,0.958,0.326,0.312308
[총 6팩 1/2주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,10151.66667,4.82,317.0,0.9640000000000001,0.317,0.305588
밥이다른 다신밥상 도시락 10종 10팩 / 직장인점심 정기배송 식단관리,4150.0,4.73,263.0,0.9460000000000001,0.263,0.24879800000000002
당뇨도시락 당뇨 환자 식단배달 6팩 점심구독 임당 반찬 건강식 양많은 아침식사…,6650.0,4.64,263.0,0.9279999999999999,0.263,0.244064
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌2…,8050.0,4.76,241.0,0.952,0.241,0.22943199999999997
[총 24팩 4/8주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,9720.0,4.82,209.0,0.9640000000000001,0.209,0.20147600000000002
양많은 냉동 도시락 직장인 정기배송 아침 간편 편의점 점심 단백질 블랙라인…,5260.0,4.77,197.0,0.954,0.197,0.187938
양많은 냉동도시락 6종12팩 단백질 정기배송 직장인 점심구독 아침식사 저녁…,4691.666667,4.83,165.0,0.966,0.165,0.15939
양많은 한달 도시락정기배송 12종24팩 아침식사 반찬배달 점심구독 저녁 벌크업…,4550.0,4.83,160.0,0.966,0.16,0.15456
"부산단백질도시락정기배송 30회,40회 팔팔식단연구소 새벽 구독 건강식 식단…",6825.0,4.89,153.0,0.978,0.153,0.149634
[총 12팩 2/4주 간편 식단 구독] 탄단지박스 고단백 냉장 웜프샐러드,9681.666667,4.86,134.0,0.9720000000000001,0.134,0.13024800000000003
당뇨도시락 환자 식단배달 3종 6팩 점심구독 임당 반찬배달 냉동도시락 양많은…,6650.0,4.8,122.0,0.96,0.122,0.11711999999999999
[총 6팩 1/2주 간편 식단 구독] 탄단지박스 고단백 냉장 웜프샐러드,9785.0,4.9,112.0,0.9800000000000001,0.112,0.10976000000000001
냉동 도시락 양많은 직장인 간편 반찬 정기배송 편의점 점심 배달 단백질…,4483.333333,4.78,78.0,0.9560000000000001,0.078,0.07456800000000001
