상품명,1회 가격,평점,리뷰 수,rating_norm,review_weight,가중 점수,__src__
포켓샐러드 4주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단…,5640,4.82,4043,0.9640000000000001,1,0.9640000000000001,도시락_정기구독_상품_정리_from_txt_enriched.csv
루틴밀10팩 양많은 단백질 냉동도시락 건강식단 벌크업 직장인 탄단지 고단백…,6804,4.8,5274,0.96,1,0.96,도시락_정기구독_상품_정리_from_txt_enriched.csv
굿스푼 맛있는 다이어트 식단 고기많은 12종 12팩 정기배송 냉동 도시락 배달…,4658,4.76,15119,0.952,1,0.952,도시락_정기구독_상품_정리_from_txt_enriched.csv
[풀럽잇] 샐러드 정기배송 2주코스 월수(8팩) 새벽배송 균형잡힌 식단 구독…,10812,4.87,1799,0.974,0.5996666666666667,0.5840753333333333,도시락_정기구독_상품_정리_from_txt_enriched.csv
[풀럽잇] 샐러드정기배송 4주코스 월수(16팩) 새벽배송 균형잡힌 식단 구독…,10625,4.91,1288,0.982,0.42933333333333334,0.42160533333333333,도시락_정기구독_상품_정리_from_txt_enriched.csv
샐러드 정기배송 도시락 식단 배달 새벽 샐러데이블 월정기권…,10800,4.92,919,0.984,0.30633333333333335,0.30143200000000003,도시락_정기구독_상품_정리_from_txt_enriched.csv
핫앤쿡 라면애밥 4개세트 비화식 발열도시락 전투식량 비상식량,4855,4.84,921,0.968,0.307,0.297176,도시락_정기구독_상품_정리_from_txt_enriched.csv
샐러드 정기배송 도시락 구독 배달 새벽 샐러데이블 2주 월요일 2팩 + 목요일…,11300,4.88,665,0.976,0.22166666666666668,0.2163466666666667,도시락_정기구독_상품_정리_from_txt_enriched.csv
핫앤쿡 비빔밥 4개 랜덤 세트 비화식 발열도시락 전투식량 등산도시락 간편식,4855,4.82,632,0.9640000000000001,0.21066666666666667,0.2030826666666667,도시락_정기구독_상품_정리_from_txt_enriched.csv
대전 샐러드 정기배송 세종 샐러드 새벽배송 배달 유러피안채소 오렌지보울…,8500,4.93,606,0.986,0.202,0.19917200000000002,도시락_정기구독_상품_정리_from_txt_enriched.csv
포켓샐러드 4주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 포케 구독…,6390,4.81,620,0.962,0.20666666666666667,0.19881333333333331,도시락_정기구독_상품_정리_from_txt_enriched.csv
포켓샐러드 1주 정기배송 맛보기 5팩 배달 도시락 구독 다이어트 그린샐러드식단…,5660,4.91,499,0.982,0.16633333333333333,0.16333933333333334,도시락_정기구독_상품_정리_from_txt_enriched.csv
저탄고지 식단도시락 냉동 간편 반찬 오마이 8팩 직장인 고단백 단백질도시락…,4300,4.61,492,0.922,0.164,0.151208,도시락_정기구독_상품_정리_from_txt_enriched.csv
대전/세종/계룡 샐러드정기배송 2주 패키지 월 수(8팩) 식단 새벽 배달 도시락,9000,4.91,351,0.982,0.117,0.11489400000000001,도시락_정기구독_상품_정리_from_txt_enriched.csv
"(데일리팜)부산,양산,김해 샐러드 정기배송 10회권",7100,4.93,294,0.986,0.098,0.096628,도시락_정기구독_상품_정리_from_txt_enriched.csv
다신샵 다신현미밥상 10종 10팩 식단세트 / 직장인점심 정기배송 다이어트…,4150,4.75,291,0.95,0.097,0.09215,도시락_정기구독_상품_정리_from_txt_enriched.csv
당뇨도시락 당뇨 환자 식단배달 6팩 점심구독 임당 반찬 건강식 양많은 아침식사…,6650,4.65,281,0.93,0.093666667,0.08711,도시락_정기구독_상품_정리_from_txt_enriched.csv
샐러드 정기배송 4주식단 배달 야채 도시락 샐러드 주2회 월화(총 16팩),10200,4.82,266,0.9640000000000001,0.088666667,0.085474667,도시락_정기구독_상품_정리_from_txt_enriched.csv
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩 / 직장인점심 정기배송…,4150,4.72,270,0.944,0.09,0.08496,도시락_정기구독_상품_정리_from_txt_enriched.csv
포켓샐러드 골라담는 4주 정기배송 주5팩씩 도시락 배달 구독 다이어트…,5800,4.87,255,0.974,0.085,0.08279,도시락_정기구독_상품_정리_from_txt_enriched.csv
