상품명,가격,평점,리뷰 수,배송비,할인 전 가격,제공 횟수,1회 가격
다신샵 다신이밥상 10종 10팩 식단세트,39500,4.75,289,무료배송,49500,,
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩,39500,4.79,268,무료배송,49500,,
시그니처밸런스 도시락 정기구독,28170,4.79,340,무료배송,159000,,
52주 다이어트 2주 냉장 건강 한식 도시락 식단 정기 배송,149000,4.8,225,"16,000원",200000,,
미스터네이처 다이어트 도시락 12종 12팩 정기배송,55400,4.76,15098,무료배송,64000,,
얌쿠 맛있는 다이어트 식단 10팩,33500,4.8,321,무료배송,45000,,
얌쿠 맛있는 다이어트 도시락 반찬정기배송,26900,4.81,342,무료배송,53800,,
미스터네이처 다이어트 도시락 혼합 24팩,105600,4.8,268,무료배송,134000,,
함성랩 다이어트 24종 도시락,105600,4.82,264,무료배송,134000,,
다신샵 다신이밥상 10종 10팩 식단세트 (중복),39500,4.75,289,무료배송,49500,,
성수누리 블랙라인 10종 세트 냉동 도시락,49600,4.85,2890,무료배송,57400,,
함성랩 다이어트 도시락 정기배송 10팩,56200,4.8,540,무료배송,67500,,
함성랩 다이어트 24팩 단백질 도시락,97200,4.84,250,무료배송,120000,,
남마스도시락 단백질식단 10종 세트,29900,4.83,2569,무료배송,55000,,
성수누리 밀리언 10종 도시락,57400,4.85,2030,무료배송,69800,,
532다이어트 직장인 도시락 세트,8900,4.94,1020,무료배송,10800,,
함성랩 다이어트 점심도시락 5종 10팩 세트,39100,4.8,61,무료배송,49000,,
함성랩 다이어트 단백질 정기배송,77100,4.82,11,무료배송,99000,,
가치올림 다이어트 정기배송 도시락,26700,4.6,263,무료배송,30900,,
함성랩 다이어트 식단 6종 12팩,52500,4.72,67,무료배송,65000,,
함성랩 다이어트 냉동도시락 6종 12팩,55900,4.8,170,무료배송,69500,,
칼로리컨트롤 연구소 다이어트 도시락,271000,4.9,91,무료배송,301000,,
성수누리 한입도시락 12팩 세트,56800,4.76,81,무료배송,67800,,
함성랩 다이어트 도시락 12종 12팩,55700,4.78,116,무료배송,67000,,
532다이어트 2주 식단관리 챌린지,149000,4.8,225,"16,000원",200000,,
함성랩 다이어트 정식 24팩 반찬형 도시락,90500,4.8,6,무료배송,108000,,
TME티엠상회 성수누리 치킨마요 불고기 10종 세트,56200,4.83,5,무료배송,72000,,
얌쿡 맛있는 다이어트 식단 냉동 도시락,52600,4.77,197,무료배송,80000,,
532다이어트 직장인 식단 정기 배송 3주,177000,4.73,6,"16,000원",200000,,
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩,39500,4.72,268,무료배송,49500,,
모두의맛집 한식 도시락,6370,4.5,2,무료배송,7500,,
TME티엠상회 직화불고기 도시락 10종,48600,4.75,12,무료배송,64000,,
모두의맛집 치즈오믈렛 도시락,6800,4.8,12,무료배송,8000,,
얌쿡 맛있는 다이어트 식단 직장인 도시락,25900,4.8,83,무료배송,30000,,
함성랩 다이어트 냉동도시락 단백질 밸런스,75500,5,3,무료배송,89000,,
TME티엠상회 한입도시락 7종 세트,39900,4.8,15,무료배송,64000,,
얌쿡 맛있는 다이어트 식단 고기반찬 도시락,39900,4.55,29,무료배송,52000,,
함성랩 다이어트 저당도시락 냉동식단 9종,42000,4.74,26,무료배송,50000,,
함성랩 다이어트 고단백 정기배송 12종,79200,4.92,12,무료배송,100000,,
얌쿡 맛있는 다이어트 식단 냉동도시락,21800,4.91,110,무료배송,36000,,
함성랩 다이어트 29종 점심도시락,187100,4.7,7,무료배송,208000,,
함성랩 다이어트 냉동도시락 배달형,44400,4.67,27,무료배송,49900,,
532다이어트 1주일 식단 세트,84000,4.59,66,"4,000원",100000,,
함성랩 다이어트 저당도시락 12종,55400,4.72,29,무료배송,64000,,
TME티엠상회 성수누리 매콤 10종 세트,49500,5,6,무료배송,62000,,
TME티엠상회 한입도시락 7종 세트,39900,4.8,15,무료배송,64000,,
함성랩 다이어트 점심도시락 12팩,56400,4.86,14,무료배송,65000,,
함성랩 다이어트 점심도시락 24팩,103400,4.73,14,무료배송,120000,,
식스밀 다이어트 식단 1일 1식 도시락,53500,4.81,112,"4,500원",59000,,
532다이어트 정기구독 도시락,287000,4.78,161,무료배송,320000,,
나인케 식탁 한식 도시락 정기배송,150000,4.8,178,무료배송,178000,,
남맛스토아 단백질 도시락,29900,4.92,113,무료배송,52000,,
함성랩 다이어트 칼로리컷 한끼 300g,50500,4.5,9,무료배송,70000,,
잇띵 도시락 정기배송 세트,49000,3,1,무료배송,100000,,
함성랩 다이어트 냉동도시락 36종 세트,303900,4.67,47,무료배송,370000,,
식스밀 다이어트 식단 1일 2식 세트,107000,4.84,37,무료배송,120000,,
함성랩 다이어트 점심도시락 단백질 28종,83300,4.71,74,무료배송,107000,,
532다이어트 2주 21일 세트,169000,4.62,61,"16,000원",200000,,
