상품명,가격,평점,리뷰 수,배송비,할인 전 가격,제공 횟수,1회 가격,할인률
다신샵 다신이밥상 10종 10팩 식단세트,39500,4.75,289,0,49500,10,3950,0.2
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩,39500,4.79,268,0,49500,10,3950,0.2
시그니처밸런스 도시락 정기구독,28170,4.79,340,0,159000,,#DIV/0!,0.82
52주 다이어트 2주 냉장 건강 한식 도시락 식단 정기 배송,149000,4.8,225,16000,200000,,#DIV/0!,0.26
미스터네이처 다이어트 도시락 12종 12팩 정기배송,55400,4.76,15098,0,64000,12,4617,0.13
얌쿠 맛있는 다이어트 식단 10팩,33500,4.8,321,0,45000,10,3350,0.26
얌쿠 맛있는 다이어트 도시락 반찬정기배송,26900,4.81,342,0,53800,,#DIV/0!,0.5
미스터네이처 다이어트 도시락 혼합 24팩,105600,4.8,268,0,134000,24,4400,0.21
함성랩 다이어트 24종 도시락,105600,4.82,264,0,134000,24,4400,0.21
다신샵 다신이밥상 10종 10팩 식단세트 (중복),39500,4.75,289,0,49500,10,3950,0.2
성수누리 블랙라인 10종 세트 냉동 도시락,49600,4.85,2890,0,57400,10,4960,0.14
함성랩 다이어트 도시락 정기배송 10팩,56200,4.8,540,0,67500,10,5620,0.17
함성랩 다이어트 24팩 단백질 도시락,97200,4.84,250,0,120000,24,4050,0.19
남마스도시락 단백질식단 10종 세트,29900,4.83,2569,0,55000,10,2990,0.46
성수누리 밀리언 10종 도시락,57400,4.85,2030,0,69800,10,5740,0.18
532다이어트 직장인 도시락 세트,8900,4.94,1020,0,10800,,#DIV/0!,0.18
함성랩 다이어트 점심도시락 5종 10팩 세트,39100,4.8,61,0,49000,10,3910,0.2
함성랩 다이어트 단백질 정기배송,77100,4.82,11,0,99000,,#DIV/0!,0.22
가치올림 다이어트 정기배송 도시락,26700,4.6,263,0,30900,,#DIV/0!,0.14
함성랩 다이어트 식단 6종 12팩,52500,4.72,67,0,65000,12,4375,0.19
함성랩 다이어트 냉동도시락 6종 12팩,55900,4.8,170,0,69500,12,4658,0.2
칼로리컨트롤 연구소 다이어트 도시락,271000,4.9,91,0,301000,,#DIV/0!,0.1
성수누리 한입도시락 12팩 세트,56800,4.76,81,0,67800,12,4733,0.16
함성랩 다이어트 도시락 12종 12팩,55700,4.78,116,0,67000,12,4642,0.17
532다이어트 2주 식단관리 챌린지,149000,4.8,225,16000,200000,,#DIV/0!,0.26
함성랩 다이어트 정식 24팩 반찬형 도시락,90500,4.8,6,0,108000,24,3771,0.16
TME티엠상회 성수누리 치킨마요 불고기 10종 세트,56200,4.83,5,0,72000,10,5620,0.22
얌쿡 맛있는 다이어트 식단 냉동 도시락,52600,4.77,197,0,80000,,#DIV/0!,0.34
532다이어트 직장인 식단 정기 배송 3주,177000,4.73,6,16000,200000,,#DIV/0!,0.12
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩,39500,4.72,268,0,49500,10,3950,0.2
모두의맛집 한식 도시락,6370,4.5,2,0,7500,1,6370,0.15
TME티엠상회 직화불고기 도시락 10종,48600,4.75,12,0,64000,10,4860,0.24
모두의맛집 치즈오믈렛 도시락,6800,4.8,12,0,8000,1,6800,0.15
얌쿡 맛있는 다이어트 식단 직장인 도시락,25900,4.8,83,0,30000,,#DIV/0!,0.14
함성랩 다이어트 냉동도시락 단백질 밸런스,75500,5,3,0,89000,,#DIV/0!,0.15
TME티엠상회 한입도시락 7종 세트,39900,4.8,15,0,64000,7,5700,0.38
얌쿡 맛있는 다이어트 식단 고기반찬 도시락,39900,4.55,29,0,52000,,#DIV/0!,0.23
