상품명,가격,평점,리뷰 수,배송비,할인 전 가격,제공 횟수,1회 가격,할인률
[성수노루] 블랙라인 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송도시락 식사대용 아침 점심 저녁 한끼식사 간편식,52600,4.85,2891,4000,57400,10,,0.0836
3찬 도시락정기배송 12종 점심구독 단백질도시락 매일 탄단지 반찬배달 아침식사 닭가슴살,56200,4.78,116,0,65000,12,,0.1354
냉동도시락 단백질 벌크업 9종 양많은 식단 점심도시락배달 도시락정기배송 아침식사 저녁 남자,77500,5,3,0,89500,9,,0.1341
양많은 한달 도시락정기배송 18종 냉동도시락 직장인 아침식사 반찬배달 점심구독 저녁 간편,79600,4.92,12,0,104200,18,,0.2361
[성수노루] 맵달 치킨마요 9종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,59800,,,4000,67900,9,,0.1193
굿스푼 한달 식단 도시락 24종 24팩 정기배송 구독 단백질 밥 반찬 간편식 배달,95700,4.8,1251,0,116800,24,,0.1807
점심구독 12종 24팩 반찬배달 아침도시락배달 정기배송 한달 저녁 매일 식단 직장인 식사,90900,4.8,66,0,108000,24,,0.1583
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌2 4종 4팩,32200,4.76,243,3500,37000,4,,0.1297
[성수노루] 달달 치킨마요 9종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,55200,4.91,32,4000,65500,9,,0.1573
저당식단 일주일도시락 정기배송 채식 자취생 수제 회사 아침 도시락,49000,3,1,4000,100000,7,,0.51
[성수노루] 블랙라인 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송도시락 식사대용 아침 점심 저녁 한끼식사 간편식,52600,4.85,2891,4000,57400,10,,0.0836
양많은 냉동 도시락 직장인 정기배송 아침 간편 편의점 점심 단백질 블랙라인 10종10팩,52600,4.77,198,4000,80000,10,,0.3425
[성수노루] 매콤 10종 세트 양많은 대용량 직장인 간편 단백질 정기배송,49500,5,4,4000,62600,10,,0.2093
[532다이어트] 직장인 도시락 배달 식단 관리 정기배송 아침 점심 반찬 탄단지 한끼식사 3찬,8900,4.94,1020,4000,10000,1,,0.11
"[2주 식단관리 챌린지 + 일 최대 환급 8,000원] 돈버는 식단 관리 도시락 배달 정기구독 (1일2끼)",150000,4.8,225,16000,200000,14,,0.25
양많은 냉동 도시락 정기배송 닭가슴살 배달 직장인 점심 단백질 간편 편의점 감탄 5종5팩,23900,4.67,6,3000,30000,5,,0.2033
포켓샐러드 4주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 포케 구독 다이어트식단,127800,4.81,620,0,163400,20,,0.2179
[성수노루] 치킨마요 불고기 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,59200,4.83,18,4000,72000,10,,0.1778
[4주1일1끼] 532다이어트 식단 도시락 배달 정기 배송 구독 닭가슴살 샐러드 야채,178000,4.83,6,16000,200000,28,,0.11
냉동 도시락 양많은 반찬 정기배송 직장인 편의점 간편 점심 배달 단백질 3800 6종6팩,22800,4.91,110,3000,36000,6,,0.3667
[성수노루] 직화불고기 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,51600,4.75,12,4000,64600,10,,0.2012
[1주1일2끼] 532다이어트 식단 도시락 배달 정기 배송 구독 닭가슴살 샐러드 야채,89000,4.59,66,8000,100000,14,,0.11
다신샵 다신현미밥상 10종 10팩 식단세트 / 직장인점심 정기배송 다이어트 식단관리도시락,41500,4.75,291,0,49500,10,,0.1616
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌1 6종 6팩,39000,4.55,29,3500,45000,6,,0.1333
현미 건강식배달 12종 18팩 곤약 점심구독 아침식사배달 도시락정기배송 식단 반찬배달,68390,4.69,13,0,80000,18,,0.1451
[2개월 식단관리 챌린지 + 100% 비용 환급] 돈버는 식단 관리 도시락 정기구독 (주7일1일2끼),694400,4.89,100,64000,1680000,128,,0.5867
주 1회 4팩 코스 샐러드 정기배송 도시락 정기구독 유러피안 야채도시락 식단,37100,4.89,46,0,53000,4,,0.3
굿스푼 맛있는 다이어트 식단 고기많은 12종 12팩 정기배송 냉동 도시락 배달 직장인,55900,4.76,15119,0,64000,12,,0.1266
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩 / 직장인점심 정기배송 식단관리,41500,4.72,270,0,49500,10,,0.1616
양많은도시락 12종24팩 점심구독 도시락배달 한달 정기배송 아침식사 벌크업 매일 저녁식사,103800,4.73,11,0,130000,24,,0.2015
냉동도시락 29종 점심도시락배달 정기배송 아침식사 저녁 양많은 직장인 벌크업 단백질 한달,189100,4.75,8,0,208800,29,,0.0943
포켓샐러드 2주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 포케 구독 다이어트식단,83000,4.86,166,0,101600,10,,0.1831
샐러드 정기배송 (패키지) 도시락 정기구독 저속노화 배달 새벽 샐러데이블 월정기권 16팩 (월2팩+목2팩) X 2인,326600,4.93,60,0,,32,,
[샐러드 일상관리] 매주 1회 4개 / 4주 총 16개 샐러드도시락 정기배송,110800,4.6,141,0,,16,,
샐러드 정기배송 도시락 식단 배달 새벽 샐러데이블 월정기권 16팩(월2팩+목2팩),172800,4.92,919,0,,16,,
양많은 냉동도시락 6종12팩 단백질 정기배송 직장인 점심구독 아침식사 저녁 벌크업 식단배달,56300,4.82,170,0,72000,12,,0.2181
주 1회 16팩 코스 샐러드 정기배송 도시락 정기구독 유러피안 야채도시락 식단,148400,5,4,0,212000,16,,0.3
냉동 도시락 양많은 직장인 간편 반찬 정기배송 편의점 점심 배달 단백질 인박스컵밥6종6팩,26900,4.8,83,3000,48000,6,,0.4396
오징어볶음 24팩 잡곡 귀리밥 도시락정기배송 한달 아침식사 식단 단백질 저녁 간편 직장인,69800,,,0,115200,,,0.3941
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩 / 직장인점심 정기배송 식단관리,41500,4.72,270,0,49500,,,0.1616
저당도시락 냉동도시락 9종 식단 단백질 탄단지 점심구독 반찬배달 정기배송 아침식사 2주,42400,4.74,785,0,50200,,,0.1554
[성수노루] 골드라인 7종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,39900,4.8,15,4000,65000,,,0.3862
냉동도시락 점심도시락배달 6종12팩 정기배송 구독 반찬 직장인 아침식사 저녁 편의점 2주,44800,4.67,27,0,50300,,,0.1093
간편 냉동 도시락 양많은 정기배송 직장인 반찬 편의점 점심 스낵밀 계란볶음밥소야볶음,3400,4.68,38,3000,5900,,,0.4237
[2주1일1끼] 532다이어트 식단 도시락 배달 정기 배송 구독 닭가슴살 샐러드 야채,89000,5,9,8000,100000,,,0.11
다이어트 점심도시락 12종 냉동도시락 아침식사 저녁 반찬 식단배달 건강식 정기배송 2주,56900,4.86,14,0,65000,,,0.1246
저당도시락 냉동도시락 12종 점심 반찬배달 직장인 아침 저녁 건강 편의점 정기배송 간편,55800,4.72,29,0,64000,,,0.1281
고기고기 냉동도시락 양많은 반찬 정기배송 간편 직장인 점심 단백질 치킨불고기,67000,5,1,4000,,,,
혼밥 도시락 18종 정기배송 양많은 킹콩 도시락 냉동 단백질 식단 직장인 간편 점심,29900,4.89,47,3500,,,,
포켓샐러드 6주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 포케 구독 다이어트식단,191000,5,7,0,245400,,,0.2217
[1일 1식] 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,53500,4.81,112,4500,,,,
[성수노루] 달달 치킨마요 9종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,55200,4.91,32,4000,65500,,,0.1573
[성수노루] 퍼플라인 9종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,64800,4.89,9,4000,77100,,,0.1595
본핏 샐러드 정기배송 식단 배달 도시락 구독 새벽배송 일주일 2회 1회 2팩 월 수 수령,83800,4.95,1000,0,410000,,,0.7956
부산 양산 울산 정기배송 다이어트 샐러드 도시락 식단 구독 배달 새벽 배송 10회,79200,4.81,158,0,99000,,,0.2
[성수노루] 몽땅골고루 29종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,158000,4.46,39,4000,199500,,,0.208
마마킹 혼밥 도시락 양많은 5종 단백질 냉동 식단 직장인 점심 볶음밥 편의점 정기배송,30900,4.92,113,3500,52900,,,0.4159
샐러드 정기배송 도시락 구독 배달 새벽 샐러데이블 2주 월요일 2팩 + 목요일 2팩,90400,4.88,665,0,,,,
"[정기구독 시 최대 한끼5,950원 +4주1일2끼 정기배송] 한식 식단 관리 도시락 배달",288000,4.78,161,32000,400000,,,0.28
[성수노루] 단짠 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,64200,4.71,7,4000,70800,,,0.0932
[성수노루] 직화불고기 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,51600,4.75,12,4000,64600,,,0.2012
[샐러드판다] 쉬라즈 샐러드 도시락 정기 구독 바질 쉬라즈 샐러드 외 2종,5100,4.8,5,3000,,,,
[1일 2식] 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,107000,4.84,37,0,,,,
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 20회,158400,4.95,64,0,198000,,,0.2
냉동도시락 3종6팩 점심도시락배달 아침식사 양많은 벌크업 직장인 식단 주문 정기배송 서울,35800,4.67,3,0,37900,,,0.0554
3찬 냉동도시락 단백질 12종 탄단지 반찬배달 아침식사 점심구독 저녁 정기배송 건강식 2주,56200,5,1,0,65000,,,0.1354
"[주 3일, 5일 선택 가능] 3첩/5첩/7첩 도시락 정기배송 (1일 체험 가능)",8800,,,0,9900,,,0.1111
도시락메뉴 점심 배달 정기 배송 단백질 저탄고지도시락,37300,,,3000,72600,,,0.4862
다신샵 한스푼샐러드 도시락 든든 1주세트 외 11종 / 정기구독 당일제조 토핑샐러드,26900,4.71,1721,0,50400,,,0.4663
[샐러드판다] 그레인볼 샐러드 도시락 정기 구독 직화불고기 외 4종,7100,4.75,8,3000,,,,
포켓샐러드 4주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,112800,4.82,4043,0,138000,,,0.1826
포켓샐러드 8주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 구독 포케 다이어트식단,262200,5,33,0,325400,,,0.1942
단백질도시락 양많은 10종 점심도시락배달 정기배송 냉동도시락 구독 직장인 아침식사 벌크업,70200,4.84,19,0,79800,,,0.1203
[성수노루] 치킨마요 불고기 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,59200,4.83,18,4000,72000,,,0.1778
[주 1회 배송] 식스밀 다이어트 샐러드 도시락 식단 정기배송 구독 배달,34200,4.8,79,3500,44400,,,0.2297
마마킹 혼밥 양많은 도시락 5종 아침 점심 단백질 직장인 간편 식단 냉동 편의점 정기배송,29000,4.92,26,3000,,,,
[성수노루] 맵린이 10종 세트 양많은 냉동도시락 대용량 직장인 간편 단백질 정기배송,60400,3.5,2,4000,70800,,,0.1469
헬씨도시락 1식 4주 정기배송/대전 샐러드 정기배송/대전샐러드/대전 샐러드 새벽배송/대전다이어트,170000,4.94,82,0,,,,
[2주1일2끼 / 주2회 총4회 정기배송] 좋은 재료와 영양 담은 한식 건강 식단 도시락 배달,170000,4.63,54,16000,240000,,,0.2917
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 10회,79200,5,14,0,99000,,,0.2
마마킹 혼밥 고기고기 냉동 도시락 5종 양많은 단백질 식단 간편 편의점 정기배송,29900,4.68,19,3000,,,,
헬씨도시락 1식 2주 정기배송/대전 샐러드 정기배송/ 대전샐러드/ 대전 샐러드 새벽배송/ 대전다이어트,90000,4.94,48,0,,,,
창원 마산 김해 샐러드 정기배송 도시락 식단 구독 배달 새벽 배송 10회,79200,5,5,0,99000,,,0.2
[5주 감량보상 챌린지 100% 환불] 돈버는 식단 관리 도시락 배달 정기배송,222500,,,40000,250000,,,0.11
[메뉴개별선택] 얌샐러드 두부 샐러드 도시락 새벽배송 정기구독,27000,4.83,104,0,38000,,,0.2895
양많은 점심구독 단백질 18종 정기배송 아침식사 반찬배달 저녁 벌크업 헬스 남자 편의점,83700,4.71,7,0,108000,,,0.225
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 20회,158400,4.88,8,0,198000,,,0.2
[샐러드 집중관리] 매주 1회 6개 / 4주 총 24개 샐러드도시락 정기배송,146400,4.22,37,0,,,,
