상품명,가격,평점,리뷰 수,배송비,할인 전 가격,제공 횟수,1회 가격,할인률
굿스푼 한달 식단 도시락 24종 24팩 정기배송 구독 단백질 밥 반찬 간편식 배달,95700,4.8,1251,0,116800,24,3988,0.1807
점심구독 12종 24팩 반찬배달 아침도시락배달 정기배송 한달 저녁 매일 식단 직장인 식사,90900,4.8,66,0,108000,24,3788,0.1583
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌2 4종 4팩,32200,4.76,243,3500,37000,4,8925,0.1297
양많은 냉동 도시락 직장인 정기배송 아침 간편 편의점 점심 단백질 블랙라인 10종10팩,52600,4.77,198,4000,80000,10,5660,0.3425
양많은 냉동 도시락 정기배송 닭가슴살 배달 직장인 점심 단백질 간편 편의점 감탄 5종5팩,23900,4.67,6,3000,30000,5,5380,0.2033
포켓샐러드 4주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 포케 구독 다이어트식단,127800,4.81,620,0,163400,20,6390,0.2179
냉동 도시락 양많은 반찬 정기배송 직장인 편의점 간편 점심 배달 단백질 3800 6종6팩,22800,4.91,110,3000,36000,6,4300,0.3667
다신샵 다신현미밥상 10종 10팩 식단세트 / 직장인점심 정기배송 다이어트 식단관리도시락,41500,4.75,291,0,49500,10,4150,0.1616
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌1 6종 6팩,39000,4.55,29,3500,45000,6,7083,0.1333
현미 건강식배달 12종 18팩 곤약 점심구독 아침식사배달 도시락정기배송 식단 반찬배달,68390,4.69,13,0,80000,18,3799,0.1451
[2개월 식단관리 챌린지 + 100% 비용 환급] 돈버는 식단 관리 도시락 정기구독 (주7일1일2끼),694400,4.89,100,64000,1680000,128,5925,0.5867
주 1회 4팩 코스 샐러드 정기배송 도시락 정기구독 유러피안 야채도시락 식단,37100,4.89,46,0,53000,4,9275,0.3
굿스푼 맛있는 다이어트 식단 고기많은 12종 12팩 정기배송 냉동 도시락 배달 직장인,55900,4.76,15119,0,64000,12,4658,0.1266
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩 / 직장인점심 정기배송 식단관리,41500,4.72,270,0,49500,10,4150,0.1616
양많은도시락 12종24팩 점심구독 도시락배달 한달 정기배송 아침식사 벌크업 매일 저녁식사,103800,4.73,11,0,130000,24,4325,0.2015
포켓샐러드 2주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 포케 구독 다이어트식단,83000,4.86,166,0,101600,5,16600,0.1831
샐러드 정기배송 (패키지) 도시락 정기구독 저속노화 배달 새벽 샐러데이블 월정기권 16팩 (월2팩+목2팩) X 2인,326600,4.93,60,0,0,32,10206.25,0
[샐러드 일상관리] 매주 1회 4개 / 4주 총 16개 샐러드도시락 정기배송,110800,4.6,141,0,0,16,6925,0
샐러드 정기배송 도시락 식단 배달 새벽 샐러데이블 월정기권 16팩(월2팩+목2팩),172800,4.92,919,0,0,2,10800,0
양많은 냉동도시락 6종12팩 단백질 정기배송 직장인 점심구독 아침식사 저녁 벌크업 식단배달,56300,4.82,170,0,72000,12,4692,0.2181
주 1회 16팩 코스 샐러드 정기배송 도시락 정기구독 유러피안 야채도시락 식단,148400,5,4,0,212000,16,9275,0.3
냉동 도시락 양많은 직장인 간편 반찬 정기배송 편의점 점심 배달 단백질 인박스컵밥6종6팩,26900,4.8,83,3000,48000,6,4983,0.4396
오징어볶음 24팩 잡곡 귀리밥 도시락정기배송 한달 아침식사 식단 단백질 저녁 간편 직장인,69800,0,0,0,115200,24,2908,0.3941
다신샵 완벽한 식단 다신밥상 도시락 10종 10팩 / 직장인점심 정기배송 식단관리,41500,4.72,270,0,49500,10,4150,0.1616
냉동도시락 점심도시락배달 6종12팩 정기배송 구독 반찬 직장인 아침식사 저녁 편의점 2주,44800,4.67,27,0,50300,12,3733,0.1093
포켓샐러드 6주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 포케 구독 다이어트식단,191000,5,7,0,245400,30,6366.666667,0.2217
부산 양산 울산 정기배송 다이어트 샐러드 도시락 식단 구독 배달 새벽 배송 10회,79200,4.81,158,0,99000,10,7920,0.2
샐러드 정기배송 도시락 구독 배달 새벽 샐러데이블 2주 월요일 2팩 + 목요일 2팩,90400,4.88,665,0,0,8,11300,0
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 20회,158400,4.95,64,0,198000,20,7920,0.2
냉동도시락 3종6팩 점심도시락배달 아침식사 양많은 벌크업 직장인 식단 주문 정기배송 서울,35800,4.67,3,0,37900,6,5967,0.0554
포켓샐러드 4주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,112800,4.82,4043,0,138000,20,5640,0.1826
포켓샐러드 8주 짜여진 정기식단 주5팩씩 배달 도시락 정기배송 구독 포케 다이어트식단,262200,5,33,0,325400,40,6555,0.1942
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 10회,79200,5,14,0,99000,10,7920,0.2
창원 마산 김해 샐러드 정기배송 도시락 식단 구독 배달 새벽 배송 10회,79200,5,5,0,99000,10,7920,0.2
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 20회,158400,4.88,8,0,198000,20,7920,0.2
[샐러드 집중관리] 매주 1회 6개 / 4주 총 24개 샐러드도시락 정기배송,146400,4.22,37,0,0,24,6100,0
[샐러드 집중관리] 매주 1회 6개 / 2주 총 12개 샐러드도시락 정기배송,73200,4.69,51,0,0,12,6100,0
창원 마산 김해 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 10회,79200,5,1,0,99000,10,7920,0.2
창원 마산 김해 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 20회,158400,4.67,3,0,198000,20,7920,0.2
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 30회,237600,5,8,0,297000,30,7920,0.2
맛있는 식단 고기 많은 12종 12팩 정기배송 1일 1식 아침 점심 간편 도시락 냉동 배달,45600,4.5,4,0,52000,12,3800,0.1231
저당도시락 냉동도시락 점심 반찬배달 직장인 아침 저녁 건강 편의점 정기배송 간편 7종9팩,42400,4.62,13,0,50200,9,4711,0.1554
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 4주 주2회 구독,169900,4.89,72,0,0,8,21237.5,0
포켓샐러드 골라담는 4주 정기배송 주5팩씩 도시락 배달 구독 다이어트 그린샐러드 외 24종,116000,4.87,255,0,152000,20,5800,0.2368
부산 샐러드 정기배송 20회권 단호박 새벽 배송 도시락,154000,4.97,216,0,200000,20,7700,0.23
샐러드 정기배송 4주식단 배달 야채 도시락 샐러드 주2회 월화(총 16팩),163200,4.82,266,0,500000,16,10200,0.6736
포켓샐러드 1주 정기배송 맛보기 5팩 배달 도시락 구독 다이어트 그린샐러드식단 외 11가지,28300,4.91,499,0,34500,5,5660,0.1797
[풀럽잇] 샐러드 정기배송 2주코스 월수(8팩) 새벽배송 균형잡힌 식단 구독 간편식 도시락,86500,4.87,1799,0,96000,8,10812,0.099
양많은 볶음밥 컵밥 300g 6종12팩 점심구독 정기배송 아침 저녁식사 2주 식단 배달,50900,4.53,15,0,70900,12,4242,0.2821
주 1회 8팩 코스 샐러드 정기배송 도시락 정기구독 유러피안 야채도시락 식단,74200,0,0,0,106000,8,9275,0.3
[3주 식단] 주1회 10팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,324000,5,1,0,447800,30,10800,0.2765
대전/세종/계룡 바오프레쉬 샐러드 정기배송 배달 도시락 식단 체험판 (1회2팩),24000,4.89,28,0,26000,2,12000,0.0769
[샐러드구역] 부산/양산 샐러드 새벽 정기 배송 본도시락 10회권,90000,5,4,0,100000,10,9000,0.1
포켓샐러드 골라담는 2주 정기배송 주4팩씩 도시락 배달 다이어트식단 그린샐러드 외 19종,47800,4.78,118,0,60800,4,11950,0.2138
[풀럽잇] 샐러드정기배송 4주코스 월수(16팩) 새벽배송 균형잡힌 식단 구독 간편식 도시락,170000,4.91,1288,0,192000,16,10625,0.1146
[샐러드구역] 부산/양산 샐러드 새벽 정기 배송 본도시락 20회권,180000,5,1,0,200000,20,9000,0.1
[9주 식단] 주1회 5팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,465100,5,1,0,662700,45,10335.55556,0.2982
[3주 식단] 주1회 5팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,161700,4.45,11,0,221300,15,10780,0.2693
포켓샐러드 2주 정기배송 주5팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,56500,4.8,161,0,69000,5,11300,0.1812
대전/세종/계룡 샐러드정기배송 2주 패키지 월 수(8팩) 식단 새벽 배달 도시락,72000,4.91,351,0,0,8,9000,0
전국 택배 다이어트 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 배송 6회,95040,4.75,4,0,118800,6,15840,0.2
홀리셔스 샐러드 도시락 5종 5팩 정기배송 박스 밀키트 야채,29900,4.67,9,0,69900,5,5980,0.5722
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 40회,316800,5,1,0,396000,40,7920,0.2
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 30회,223200,4.5,2,0,279000,30,7440,0.2
샐러드 정기배송 저속노화 식단 야채 도시락 구독 점심 배달 당일 배송 3주 주2회 구독,129460,4.92,24,0,0,6,21576.66667,0
대전/세종/계룡 샐러드정기배송 4주 패키지 월 수 (16팩) 다이어트 식단 새벽 배달 도시락 구독,142000,4.76,34,0,0,16,8875,0
4구 한달 점심구독 6종24팩 단백질 정기배송 반찬배달 매일 식단 아침식사 저녁 양많은,105800,0,0,0,126000,24,4408,0.1603
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 40회,316800,5,3,0,396000,40,7920,0.2
부산샐러드정기배송 구독 10회권 새벽 도시락 행사,80000,4.92,64,0,100000,10,8000,0.2
대전/세종/계룡 샐러드정기배송 2주 패키지 월 수 금(12팩) 다이어트 식단 새벽 도시락,109200,5,17,0,0,12,9100,0
샐러드 정기배송 매일 2주 식단 얌샐러드 구독 배달 야채도시락 새벽배송 주5회,200000,4.75,20,0,250000,10,20000,0.2
포켓샐러드 골라담는 4주 정기배송 주6팩씩 도시락 식단 구독 배달 다이어트식단,136380,4.79,66,0,182400,24,5682.5,0.2523
창원 마산 김해 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 20회,158400,0,0,0,198000,20,7920,0.2
포켓샐러드 골라담는 1주 정기배송 주10팩 맛보기 도시락 배달 포케 구독 다이어트식단,54500,4.98,40,0,76000,10,5450,0.2829
전국 택배 다이어트 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 배송 30회,475200,0,0,0,594000,30,15840,0.2
창원 마산 김해 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 30회,223200,0,0,0,279000,30,7440,0.2
포켓샐러드 4주 정기배송 주6팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,136400,4.94,17,0,162800,24,5683.333333,0.1622
포켓샐러드 골라담는 8주 정기배송 주5팩씩 도시락 다이어트식단 배달 그린샐러드 외 24종,232000,5,1,0,304000,40,5800,0.2368
창원 마산 김해 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 40회,316800,0,0,0,396000,40,7920,0.2
포켓샐러드 골라담는 4주 정기배송 주4팩씩 도시락 배달 포케 구독 다이어트식단 점심샐러드,95600,4.9,40,0,121600,16,5975,0.2138
샐러드 정기배송 [패키지] 도시락 구독 배달 저속노화 새벽 샐러데이블 월정기권 16팩 (월2팩+목2팩) X 3인,489400,5,1,0,0,48,10195.83333,0
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 6회,95040,0,0,0,118800,6,15840,0.2
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 30회,475200,0,0,0,594000,30,15840,0.2
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 24회,380160,0,0,0,475200,24,15840,0.2
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 18회,285120,0,0,0,356400,18,15840,0.2
포켓샐러드 골라담는 6주 정기배송 주3팩씩 도시락 다이어트식단 그린샐러드 외 19종,112800,5,3,0,136800,18,6266.666667,0.1754
포켓샐러드 4주 정기배송 주3팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 9가지,75200,4.74,35,0,88400,12,6266.666667,0.1493
부산샐러드 새벽 정기배송 구독 5회권 단체도시락 행사,42500,5,6,0,100000,5,8500,0.575
포켓샐러드 골라담는 1주 정기배송 주5팩 맛보기 도시락 배달 포케 구독 다이어트식단,29000,5,8,0,34500,5,5800,0.1594
포켓샐러드 골라담는 8주 정기배송 주4팩씩 배달 도시락 다이어트식단 그린샐러드 외 19종,191200,5,5,0,243200,32,5975,0.2138
포켓샐러드 4주 정기배송 주4팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,95600,5,5,0,113200,16,5975,0.1555
포켓샐러드 골라담는 6주 정기배송 주6팩씩 도시락 배달 다이어트식단 그린샐러드 외 24종,204600,5,2,0,273600,36,5683.333333,0.2522
전국 택배 샐러드 정기배송 가정식 도시락 점심 닭가슴살 식단 구독 배달 배송 12회,190080,0,0,0,237600,12,15840,0.2
포켓샐러드 2주 정기배송 주4팩씩 배달 도시락 구독 다이어트 그린 샐러드 식단 외 11가지,47800,5,4,0,56600,8,5975,0.1555
