token1,token2,co_docs,PMI,NPMI,PHI,src_node_df,src_node_tf,src_node_cluster,src_node_centrality,src_node_svd_c1,src_node_rank,dst_node_df,dst_node_tf,dst_node_cluster,dst_node_centrality,dst_node_svd_c1,dst_node_rank
종이백이,제니쿠키,8,4.684443355272787,0.9999999975447323,0.9999999999999999,8,8,1,1.8520321106622042,0.006702690574411592,-0.584433113507443,8,8,1,1.8520321106622042,0.006702690574411592,-0.584433113507443
선물,종이백이,8,3.9912961805718727,0.8520321131174717,0.7038025258110369,16,17,1,8.550218677424569,0.23692105682482653,0.6634284944891599,8,8,1,1.8520321106622042,0.006702690574411592,-0.584433113507443
선물,제니쿠키,8,3.9912961805718727,0.8520321131174717,0.7038025258110369,16,17,1,8.550218677424569,0.23692105682482653,0.6634284944891599,8,8,1,1.8520321106622042,0.006702690574411592,-0.584433113507443
깔끔하고,디자인,9,3.7681526309382445,0.8251440566427758,0.6665013408385285,20,20,1,5.290569017720013,0.09287731517306815,0.47375706778345644,9,9,1,0.8251440566427758,0.0024009528997255337,-0.6330020820353381
깔끔하고,예뻐요,9,3.7681526309382445,0.8251440566427758,0.6665013408385285,20,20,1,5.290569017720013,0.09287731517306815,0.47375706778345644,9,9,1,0.8251440566427758,0.0024009528997255337,-0.6330020820353381
멀티비타민,아임비타,5,3.298149001248684,0.6398647621824127,0.38694321717207913,20,22,3,6.8572276989818155,0.41509068080195466,0.8242335369359683,8,8,1,7.795914980164144,0.15863202463797066,0.0844039276831337
맛도,편하고,6,2.0786720138913624,0.4180650788709738,0.2121461292304867,26,28,4,7.231893649624308,0.4802861568469399,1.2302610356975152,25,26,1,12.445915472144007,0.2285722254982919,1.5519330189295695
비타민,도움이,7,1.8120901138552958,0.3761103377152608,0.20026743656619225,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,9,10,4,14.285414626443998,0.6759648004775841,1.062911258281346
비타민,구미로,5,1.8810829850129673,0.36494370521010605,0.17716746581292658,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,6,6,6,10.399128353089852,0.7929441309914981,0.5491526950721566
비타민,칼슘,5,1.726932305348037,0.3350373583632188,0.15920150013468554,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,7,8,5,12.990480453364995,0.6567583026354068,0.8121227790247235
비타민,섭취,5,1.726932305348037,0.3350373583632188,0.15920150013468554,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,7,7,4,10.086192668196015,0.4037034935492476,0.37935846547812435
비타민,추천합니다,5,1.5934009128452606,0.309131302367772,0.14440200298325098,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,8,8,5,12.005396009531475,0.7447318200415973,0.7972915188960884
비타민,비타민을,7,1.444365333963065,0.2997868204166166,0.1525334589255042,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911,13,14,6,8.201722485523575,0.7059229427688809,0.6951004089739684
