category_final,price_from,price_to,price_bin_center,mean_value_index,sample_count
기타/기타영양,18500,19000,18750,5.29E-05,10
기타/기타영양,16000,16500,16250,4.63E-05,10
멀티비타민,10500,11000,10750,9.17E-05,10
멀티비타민,20500,21000,20750,4.83E-05,10
비타민C,5500,6000,5750,0.000181818,10
비타민C,10500,11000,10750,6.86E-05,20
비타민D,8500,9000,8750,0.00011236,10
비타민D,19500,20000,19750,5.00E-05,10
오메가3/오일,39500,40000,39750,2.51E-05,10
유산균/프로바이오틱스,62000,62500,62250,1.61E-05,10
철분/혈건강,49500,50000,49750,2.00E-05,10
칼슘/마그네슘/아연/K2,12500,13000,12750,7.87E-05,20
칼슘/마그네슘/아연/K2,21000,21500,21250,4.76E-05,10
