term,weighted_score
챙기다,41.87499999999996
먹기,34.94499999999999
편하다,28.508999999999997
꾸준하다,25.656999999999986
아이,24.515000000000015
주문,22.952000000000005
사다,20.388999999999996
받다,19.297
들다,17.498
효과,17.377000000000002
선물,17.068000000000012
되어다,14.297999999999991
양제,14.128999999999998
가다,14.046
작다,13.86
크기,13.539000000000001
알약,13.171999999999999
하루,13.139000000000001
쇼핑,12.703999999999999
떨리다,12.169999999999998
나다,12.035000000000002
아니다,11.893999999999997
좋아하다,11.831000000000001
건강,11.813000000000002
오다,11.761
크다,11.620000000000003
상품,10.49699999999999
성분,10.420999999999998
해봤다,10.105
드리다,9.682999999999996
재다,9.578
저렴하다,9.482000000000001
한번,9.478999999999997
오메가,9.468000000000002
섭취,9.427999999999997
보고,9.366999999999997
함량,9.364999999999998
감사하다,8.536999999999997
제일,8.03
깔끔하다,7.926999999999999
복용,7.731999999999999
모르다,7.638
종이,7.504999999999998
넘김,7.452999999999999
필요하다,7.418999999999999
냄새,7.37
빠르다,7.34
많다,7.156
계속,6.955
간편하다,6.808999999999996
찾다,6.737
다음,6.658
바로,6.562999999999999
매일,6.523999999999999
간식,6.423
믿다,6.413
가성,6.301
분말,6.28
항상,6.271
적당하다,6.268000000000001
부드럽다,6.05
형태,5.989
사보다,5.966
아침,5.930000000000001
영양,5.853000000000001
영양소,5.837
다시,5.798
특유,5.796
해보다,5.766999999999999
다른,5.7029999999999985
걸리다,5.616
고려,5.478
감기,5.403
피로,5.371
말다,5.283000000000001
준비,5.2780000000000005
부담,5.159
유산균,5.111999999999999
먹어주다,5.094
확실하다,5.07
남편,5.06
다르다,5.023
높다,4.945999999999998
떨어지다,4.929999999999999
하나,4.899000000000001
불편하다,4.863999999999999
모양,4.819
먹이다,4.7589999999999995
상큼,4.744999999999999
대신,4.743
시키다,4.686
기분,4.670999999999999
고객,4.591000000000001
부족하다,4.507000000000001
써다,4.356
면역,4.327999999999999
늘다,4.301
예쁘다,4.282000000000001
디자인,4.220000000000001
중이,4.172999999999999
