category_final,term,weighted_score
기타/기타영양,함량,3.2260000000000004
기타/기타영양,도스,2.975
기타/기타영양,감기,2.247
기타/기타영양,임신,2.104
기타/기타영양,피로,1.919
기타/기타영양,환절기,1.852
기타/기타영양,기울다,1.8230000000000002
기타/기타영양,이르다,1.7810000000000001
기타/기타영양,입안,1.6940000000000002
기타/기타영양,은단,1.57
기타/기타영양,판매,1.57
기타/기타영양,시원하다,1.534
기타/기타영양,얼리다,1.482
기타/기타영양,발생,1.44
기타/기타영양,안녕하다,1.373
기타/기타영양,보구,1.314
기타/기타영양,최고,1.31
기타/기타영양,두번째,1.303
기타/기타영양,종합,1.294
기타/기타영양,충분하다,1.1620000000000001
기타/기타영양,염증,1.1300000000000001
기타/기타영양,여러가지,1.11
기타/기타영양,일단,1.105
기타/기타영양,사먹다,1.105
기타/기타영양,오렌지,1.085
기타/기타영양,수험생,1.066
기타/기타영양,제공,1.063
기타/기타영양,말씀드리다,1.047
기타/기타영양,피곤,1.043
기타/기타영양,상태,1.027
기타/기타영양,로트,1.017
기타/기타영양,급하다,1.002
기타/기타영양,수월하다,1.0
기타/기타영양,깜놀,1.0
기타/기타영양,맛잇름,1.0
기타/기타영양,당분,1.0
기타/기타영양,품목,1.0
기타/기타영양,딸기,1.0
기타/기타영양,레몬,1.0
기타/기타영양,굿굿웃,1.0
기타/기타영양,부부,1.0
기타/기타영양,허다,1.0
기타/기타영양,정인,1.0
기타/기타영양,흔하다,1.0
기타/기타영양,습기,0.997
기타/기타영양,딸아이,0.996
기타/기타영양,공부,0.996
기타/기타영양,몹시,0.996
기타/기타영양,애정,0.996
기타/기타영양,벡쉔,0.996
멀티비타민,먹어주다,3.259000000000001
멀티비타민,달다,2.6470000000000002
멀티비타민,허다,2.4240000000000004
멀티비타민,랜드,2.4240000000000004
멀티비타민,시간,2.249
멀티비타민,적다,2.049
멀티비타민,회사,2.0229999999999997
멀티비타민,다양하다,1.997
멀티비타민,피로,1.988
멀티비타민,금방,1.8800000000000001
멀티비타민,아침,1.8560000000000003
멀티비타민,모양,1.808
멀티비타민,지다,1.808
멀티비타민,통째,1.808
멀티비타민,귀엽다,1.8010000000000002
멀티비타민,상큼,1.647
멀티비타민,감기,1.52
멀티비타민,장점,1.3290000000000002
멀티비타민,식품,1.318
멀티비타민,자꾸,1.242
멀티비타민,함량,1.154
멀티비타민,착하다,1.1260000000000001
멀티비타민,이상,1.1260000000000001
멀티비타민,친구,1.097
멀티비타민,갖다,1.097
멀티비타민,과일,1.097
멀티비타민,고생,1.072
멀티비타민,덥다,1.072
멀티비타민,어르신,1.072
멀티비타민,날씨,1.072
멀티비타민,더워지다,1.072
멀티비타민,버티고,1.072
멀티비타민,궁금하다,1.072
멀티비타민,힘드다,1.072
멀티비타민,일정,1.072
멀티비타민,보렵니,1.072
멀티비타민,추석,1.072
멀티비타민,낫다,1.072
멀티비타민,굳다,1.072
멀티비타민,구마,1.072
멀티비타민,센트,1.047
멀티비타민,아들,1.023
멀티비타민,귀찮다,1.01
멀티비타민,씹다,1.01
멀티비타민,싫다,1.01
멀티비타민,백도,1.002
멀티비타민,돌아오다,1.0
멀티비타민,가물,1.0
멀티비타민,맛없다,1.0
멀티비타민,스스로,1.0
비타민C,모양,3.011
비타민C,다르다,3.0
비타민C,부드럽다,3.0
비타민C,조카,3.0
비타민C,설탕,2.585
비타민C,야하다,2.032
비타민C,안되다,2.031
비타민C,예상,2.0
비타민C,콤달콤,2.0
비타민C,취향,2.0
비타민C,당류,2.0
비타민C,시럽,2.0
비타민C,함량,1.9849999999999999
비타민C,기한,1.952
비타민C,은단,1.904
비타민C,입안,1.893
비타민C,구비,1.893
비타민C,상큼,1.5590000000000002
비타민C,알다,1.54
비타민C,지키다,1.487
비타민C,참고,1.4769999999999999
비타민C,내다,1.4769999999999999
비타민C,제도,1.471
비타민C,평소,1.4020000000000001
비타민C,나이,1.38
비타민C,솔직하다,1.37
비타민C,일반,1.354
비타민C,줄어들다,1.263
비타민C,별로,1.1400000000000001
비타민C,끄다,1.124
비타민C,우리,1.108
비타민C,보이다,1.063
비타민C,만큼,1.032
비타민C,굿굿,1.032
비타민C,지인,1.032
비타민C,일단,1.031
비타민C,뚜껑,1.0219999999999998
비타민C,부담스럽다,1.011
비타민C,검색,1.0
비타민C,발견,1.0
비타민C,샛별,1.0
비타민C,언박싱,1.0
비타민C,제이니,1.0
비타민C,정해진,1.0
비타민C,용법,1.0
비타민C,해외,1.0
비타민C,일주일,1.0
비타민C,국내,1.0
비타민C,이틀,1.0
비타민C,전달,1.0
비타민D,함량,3.0
