term,weighted_score
오메가,9.468000000000002
함량,9.364999999999998
부드럽다,6.05
아침,5.930000000000001
감기,5.403
피로,5.371
유산균,5.111999999999999
먹어주다,5.094
다르다,5.023
모양,4.819
상큼,4.744999999999999
임신,4.104
사실,3.87
입안,3.657
은단,3.474
허다,3.4240000000000004
평소,3.399
도스,3.345
기한,3.262
기도,3.248
환절기,3.208
착하다,3.1620000000000004
일주일,3.1
며칠,3.043
야하다,3.032
신경,3.0309999999999997
달다,3.023
지다,3.0090000000000003
손톱,3.0
생선,3.0
피부,3.0
조카,3.0
살다,2.9349999999999996
충분하다,2.8630000000000004
통째,2.844
종합,2.8000000000000007
걱정,2.785
검색,2.713
설탕,2.682
대비,2.664
사먹다,2.6250000000000004
공복,2.604
급하다,2.5989999999999998
일단,2.556
들어가다,2.496
별로,2.482
종류,2.452
과일,2.439
보이다,2.434
랜드,2.4240000000000004
장점,2.399
최근,2.3979999999999997
원료,2.373
판매,2.3659999999999997
다양하다,2.3529999999999998
넉넉하다,2.346
시간,2.285
소비,2.262
쉽다,2.218
낫다,2.196
시럽,2.194
이틀,2.1879999999999997
사람,2.154
힘드다,2.144
이제,2.12
예민하다,2.113
씹다,2.1029999999999998
넘기다,2.097
예전,2.097
자고,2.089
금방,2.0780000000000003
커서,2.076
취향,2.076
들어서다,2.062
회사,2.059
작고,2.05
전혀,2.05
적다,2.049
예정,2.043
콤달콤,2.043
안되다,2.031
두번째,2.0300000000000002
거슬리다,2.0
화장실,2.0
만들다,2.0
예상,2.0
해외,2.0
코피,2.0
비교,2.0
요새,2.0
비리다,2.0
건조하다,2.0
몇번,2.0
당류,2.0
당장,2.0
이완,2.0
잡다,2.0
살짝,1.9909999999999999
편안하다,1.99
최고,1.988
