term,weighted_tf
먹다,2741.263800689516
좋다,2216.091329034944
비타민,1416.719672777012
자다,655.4405209649601
챙기다,614.3504971560826
먹기,469.24303211118445
선물,446.26802296853646
맛있다,416.6734069831825
이다,409.7774618492508
컬리,406.9699196404562
아이,364.3760232904688
꾸준하다,362.47904056054466
들다,313.6452045663953
사다,309.90860740363996
효과,306.5118471324326
받다,290.95729196620056
젤리,280.37927795711414
구입,278.71721631725813
않다,253.94809347183283
양제,243.1879464950101
쇼핑,241.1382536677366
피곤하다,226.31265535558694
가다,224.1219644637728
드리다,216.02733559437826
건강,209.9713941037651
괜찮다,206.15148279577306
되어다,201.66045486874233
마그네슘,190.93577716428857
멀티,190.4207432909492
하루,184.95704360171138
구미,178.07465393148817
좋아하다,163.09858781783333
오다,162.09852494663448
알약,161.95685382365548
한번,159.611876108993
재다,151.96320936249225
저렴하다,147.20368416211446
깔끔하다,144.9547241168889
나다,144.49643088055615
섭취,144.48198074736797
크다,143.65208927845998
작다,143.50965075425137
아니다,142.55566609640076
성분,134.55090989520806
크기,132.0854863972589
해봤다,130.78777262586914
아침,130.26760512314297
자주,128.45474133293828
보고,128.37417246121075
필요하다,123.53046126576508
종이,122.87347423831368
느낌,116.88861996565115
하나,114.15212374597994
감사하다,110.10045275464722
함량,108.90183003410121
남편,107.29039567253574
요즘,106.05236700722399
모르다,103.29219962608137
믿다,102.8210312247483
떨리다,102.65891701409635
많다,100.12033117858945
복용,99.96809029932164
매일,99.78763563068662
계속,96.84309280487862
바로,95.53087847744673
고객,93.82928592346595
피로,93.34781009726416
찾다,89.87538804524421
오메가,88.97456439354298
정도,86.42022715637658
영양,86.05391007262341
부담,85.99424982098596
상큼,85.98871006009935
다른,85.21174639383162
떨어지다,85.02295780799908
말다,84.62090293455313
나오다,82.85298123437867
해보다,82.40717948625299
위해,80.62180162286796
빠르다,79.51969366257745
넘김,78.71924475541168
항상,77.28210522614116
도움,76.99056268848176
먹이다,76.56106259368525
가성,75.9303559751055
형태,75.23899982226091
간식,74.999859291166
그렇다,74.2139621981292
싶다,73.84913205237962
사보다,72.79835325883155
불편하다,71.75577626935046
감기,71.49514659762373
예쁘다,71.30132774212365
미네랄,71.16507201102091
확실하다,71.12359277578264
다음,69.8006683754213
처음,69.74807742850106
가족,68.25061770870785
걸리다,67.82006257574739
늘다,66.16663021173704
다시,65.35295965379864
넣다,65.16361503637359
냄새,65.0487858458979
칼슘,64.30183966235025
디자인,63.862965538057566
써다,63.76495271439339
기분,63.177142444762715
적당하다,61.11609706995522
영양소,60.96475499458567
부족하다,59.43264273386716
먹어주다,59.29788146345773
주다,59.15367796985597
비타,59.05037405730751
높다,58.60792838026013
두다,58.457828004298115
준비,58.32760564329059
비싸다,55.31494431675415
유산균,54.72798646581944
면역,53.982042122305145
대신,52.42098079366609
철분,52.34918608563219
부드럽다,51.898194492603686
휴대,51.42934546806736
시작,51.31721473262039
사이즈,51.30049636186603
쓰기,50.99097303422192
유용하다,50.99097303422192
특유,50.46721245361091
시키다,50.058376188958604
여행,49.85945437830021
여름,49.22111657179629
삼키다,48.808534174114094
종합,48.69666934792707
만족스럽다,48.65195831688977
흡수,48.40527969916455
선택,48.38870606692977
생각,48.33116718329281
중이,47.731145768592505
해주다,47.71153643332417
채우다,47.63985074439402
이뮨,47.63392500416637
이번,47.33665550087199
뭔가,46.99635707715457
부모님,46.991846079562436
사과,46.004350427453744
고려,45.957076425497206
가지,45.75053540348567
고민,45.55045184219223
다르다,45.40187574683489
마시다,45.04394075027881
