term,weighted_tf
피곤하다,226.31265535558694
마그네슘,190.93577716428857
구미,178.07465393148817
아침,130.26760512314297
함량,108.90183003410121
피로,93.34781009726416
오메가,88.97456439354298
상큼,85.98871006009935
감기,71.49514659762373
미네랄,71.16507201102091
칼슘,64.30183966235025
먹어주다,59.29788146345773
유산균,54.72798646581944
부드럽다,51.898194492603686
종합,48.69666934792707
이뮨,47.63392500416637
다르다,45.40187574683489
모양,41.487924986849805
덴프스,40.989013635842326
입안,40.94007561693882
임신,38.13972963494517
사먹다,37.494780444683144
도스,37.396658264253524
평소,36.84148887914613
대비,36.59282169019334
안녕하다,36.559430664255345
기도,36.50791154421571
사실,35.781168748534675
검색,35.635705999946296
지다,35.42259438103639
발생,34.6990912652153
장점,34.662807513857764
독일,34.26056022557677
살다,34.14395182298629
공복,33.50919033429839
일단,33.430990289955496
별로,33.23516952729489
지금,33.14425717878981
염증,32.946681267435004
관리,32.84322713538491
보이다,32.302691951700965
설탕,32.0199761437213
금방,31.844568850738195
환절기,31.80912938235807
착하다,31.77531143684555
종류,31.403781311393118
두번째,31.13300556528631
달다,30.835892618554574
제공,30.819637752076105
다니다,30.663467061248106
자꾸,30.60001297913687
식품,30.5437048714695
알다,30.054944617301132
들어가다,30.01395112722965
충분하다,29.91565077958004
판매,29.3905313062868
바꾸다,29.069518903006575
며칠,29.03573262531753
친구,28.970683974367095
기한,28.71715380566743
새벽,28.649176155275104
일주일,28.5345821916991
용이,28.522573681703747
끄다,28.310554017327007
원래,27.836541314528205
야하다,27.776379250951393
의사,27.745564667215522
완전,27.735627275169506
허다,27.43727045591381
부분,27.315191261590577
은단,27.053143392166817
시원하다,27.017215467922462
과일,26.889333262748767
타입,26.83750481352617
모두,26.70393834120425
원료,26.682622447606036
사람,26.612618505223814
리포좀,26.537504497167184
시간,26.537153535564507
심플,26.52872394842082
덥다,26.496085001194423
일반,26.41274018654907
바라다,26.209679421135412
신경,26.196416954375692
제도,26.00971357907196
귀엽다,25.979718821001576
급하다,25.750533851488626
시럽,25.74398500767127
덜하다,25.616404073850543
통째,25.53299580090929
나이,25.487211933051135
에너지,25.417063325612677
청포도,25.239282225268852
다양하다,25.143729488942085
조카,24.861075075495187
씹다,24.85835142375479
이용,24.804443773464456
낫다,24.66223355123764
힘드다,24.593505306388103
말씀드리다,24.582527969388572
개인,24.568268938848547
먼저,24.528184359957002
최근,24.467277825903615
지인,24.426229802518986
궁금하다,24.36593056561966
생선,24.24905975751399
피부,24.24905975751399
도펠,24.196996725194
헤르츠,24.196996725194
남기다,24.04993962785124
상태,24.039034258754455
지키다,23.981625475123245
예민하다,23.657725102326957
들어서다,23.607372799595154
아연,23.567065173263085
바쁘다,23.481615726313056
이상,23.098238725824665
손톱,23.07601123960314
최고,23.029293216069572
이제,23.007156534955932
뜯다,22.848011467776605
아프다,22.833487037261
여기,22.82325805547535
콤달콤,22.796626318401493
추가,22.637628558343287
마침,22.61720989270416
걱정,22.370360296787197
회사,22.314057094458743
자고,22.281998368032955
제로,22.26657496219991
로트,22.209838998804663
명절,22.18601337692888
여러가지,22.129374178239214
넉넉하다,21.967070769780854
만큼,21.923937398963275
굿굿,21.833109845039566
이틀,21.766715582698446
속이다,21.576078574405678
종근당,21.55918954189456
최선,21.512660858478107
약국,21.483620564249083
의견,21.421822458065176
말씀,21.244125257983143
작고,21.19289661794288
서비스,21.153286857570208
노력,21.153286857570208
믿음,21.10496429442907
과립,21.021011421717382
느껴지다,20.999465172390234
취향,20.91785547218381
