category,band,price_low,price_high,value_index,num_items,major_csv,core_csv,major_top10_png
스트레스 관리,1,12500,13000,0.0005920127294616376,20,out_kurly_morph\weighted\스트레스_관리_Band1_major_keywords.csv,out_kurly_morph\weighted\스트레스_관리_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\스트레스_관리_Band1_major_top10_bar.png
스트레스 관리,2,21000,21500,0.00034580605203346433,10,out_kurly_morph\weighted\스트레스_관리_Band2_major_keywords.csv,out_kurly_morph\weighted\스트레스_관리_Band2_core_keywords_logodds.csv,out_kurly_morph\weighted\스트레스_관리_Band2_major_top10_bar.png
장 건강/유산균,1,62000,62500,0.00015878536300041328,10,out_kurly_morph\weighted\장_건강_유산균_Band1_major_keywords.csv,out_kurly_morph\weighted\장_건강_유산균_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\장_건강_유산균_Band1_major_top10_bar.png
멀티비타민,1,12500,13000,0.0004469140389755693,10,out_kurly_morph\weighted\멀티비타민_Band1_major_keywords.csv,out_kurly_morph\weighted\멀티비타민_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\멀티비타민_Band1_major_top10_bar.png
멀티비타민,2,10000,10500,0.0003761560582142448,10,out_kurly_morph\weighted\멀티비타민_Band2_major_keywords.csv,out_kurly_morph\weighted\멀티비타민_Band2_core_keywords_logodds.csv,out_kurly_morph\weighted\멀티비타민_Band2_major_top10_bar.png
비타민 D,1,8500,9000,0.0008333009527183064,10,out_kurly_morph\weighted\비타민_D_Band1_major_keywords.csv,out_kurly_morph\weighted\비타민_D_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\비타민_D_Band1_major_top10_bar.png
비타민 D,2,17500,18000,0.0004613729266356606,10,out_kurly_morph\weighted\비타민_D_Band2_major_keywords.csv,out_kurly_morph\weighted\비타민_D_Band2_core_keywords_logodds.csv,out_kurly_morph\weighted\비타민_D_Band2_major_top10_bar.png
피부/항산화,1,10500,11000,0.0006905175497458444,20,out_kurly_morph\weighted\피부_항산화_Band1_major_keywords.csv,out_kurly_morph\weighted\피부_항산화_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\피부_항산화_Band1_major_top10_bar.png
피부/항산화,2,17500,18000,0.0004613729266356606,10,out_kurly_morph\weighted\피부_항산화_Band2_major_keywords.csv,out_kurly_morph\weighted\피부_항산화_Band2_core_keywords_logodds.csv,out_kurly_morph\weighted\피부_항산화_Band2_major_top10_bar.png
혈액/피로,1,10500,11000,0.0006366288023891292,10,out_kurly_morph\weighted\혈액_피로_Band1_major_keywords.csv,out_kurly_morph\weighted\혈액_피로_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\혈액_피로_Band1_major_top10_bar.png
혈액/피로,2,11500,12000,0.0002769610811768344,10,out_kurly_morph\weighted\혈액_피로_Band2_major_keywords.csv,out_kurly_morph\weighted\혈액_피로_Band2_core_keywords_logodds.csv,out_kurly_morph\weighted\혈액_피로_Band2_major_top10_bar.png
면역력,1,5500,6000,0.0015067318227572843,10,out_kurly_morph\weighted\면역력_Band1_major_keywords.csv,out_kurly_morph\weighted\면역력_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\면역력_Band1_major_top10_bar.png
면역력,2,10500,11000,0.0006905175497458444,20,out_kurly_morph\weighted\면역력_Band2_major_keywords.csv,out_kurly_morph\weighted\면역력_Band2_core_keywords_logodds.csv,out_kurly_morph\weighted\면역력_Band2_major_top10_bar.png
스포츠 영양,1,10500,11000,0.000814251428114044,10,out_kurly_morph\weighted\스포츠_영양_Band1_major_keywords.csv,out_kurly_morph\weighted\스포츠_영양_Band1_core_keywords_logodds.csv,out_kurly_morph\weighted\스포츠_영양_Band1_major_top10_bar.png
스포츠 영양,2,20500,21000,0.0003537763631856748,10,out_kurly_morph\weighted\스포츠_영양_Band2_major_keywords.csv,out_kurly_morph\weighted\스포츠_영양_Band2_core_keywords_logodds.csv,out_kurly_morph\weighted\스포츠_영양_Band2_major_top10_bar.png
