term,log_odds,z,k_a,k_b
아침,2.858043373923709,12.445767756517874,23.472138032568875,98.52315039072889
에너지,4.396969967684575,9.981054425978447,11.736069016284437,9.169934957341145
적다,3.4312449291005693,5.484994531670861,3.912023005428146,7.323170717943469
음료,3.2062671503798956,5.315039239064975,3.912023005428146,9.169934957341145
피곤하다,1.115809898273663,2.152921400709536,3.912023005428146,73.29994940449254
피곤,1.115809898273663,2.152921400709536,3.912023005428146,73.29994940449254
박카스,11.55885903894178,1.1555169788220407,15.648092021712584,0.0
대체,10.767939931279363,1.076107397588536,7.824046010856292,0.0
시원하다,10.030271736716472,1.0017509022532936,3.912023005428146,0.0
에너지음료,10.030271736716472,1.0017509022532936,3.912023005428146,0.0
양이,10.030271736716472,1.0017509022532936,3.912023005428146,0.0
키우다,-0.2384150733568955,-0.02367376021662873,0.0,0.6931471805599453
키우,-0.2384150733568955,-0.02367376021662873,0.0,0.6931471805599453
살리다,-0.6937933277073434,-0.06906852317589178,0.0,1.0986122886681098
송도,-0.6937933277073434,-0.06906852317589178,0.0,1.0986122886681098
맡다,-0.6937933277073434,-0.06906852317589178,0.0,1.0986122886681098
안와,-0.6937933277073434,-0.06906852317589178,0.0,1.0986122886681098
어떻,-0.6937933277073434,-0.06906852317589178,0.0,1.0986122886681098
침대,-1.382637399115259,-0.13795159293464485,0.0,2.1972245773362196
머리,-1.382637399115259,-0.13795159293464485,0.0,2.1972245773362196
씹다,-1.469694240251056,-0.14666518897238082,0.0,2.3978952727983707
들어서다,-1.469694240251056,-0.14666518897238082,0.0,2.3978952727983707
츄잉,-1.469694240251056,-0.14666518897238082,0.0,2.3978952727983707
싫다,-1.469694240251056,-0.14666518897238082,0.0,2.3978952727983707
으른,-1.469694240251056,-0.14666518897238082,0.0,2.3978952727983707
이기,-1.691580666915046,-0.16887737445162251,0.0,2.995732273553991
리가,-1.691580666915046,-0.16887737445162251,0.0,2.995732273553991
반토막,-1.691580666915046,-0.16887737445162251,0.0,2.995732273553991
신선하다,-1.691580666915046,-0.16887737445162251,0.0,2.995732273553991
토막,-1.691580666915046,-0.16887737445162251,0.0,2.995732273553991
