term,log_odds,z,k_a,k_b
마그네슘,1.3961787322754615,10.859829423349387,79.88119801973025,249.2686509323849
칼슘,1.669950373107689,7.335354445391337,29.047708370811005,57.41578498485122
새벽,3.5329365563995165,6.419807903426038,14.523854185405503,4.2626798770413155
예전,2.295668510910231,6.201597775708173,14.523854185405503,14.647661132404634
이완,2.295668510910231,6.201597775708173,14.523854185405503,14.647661132404634
사실,9.59220804701382,0.9588909795623928,14.523854185405503,0.0
저녁,9.59220804701382,0.9588909795623928,14.523854185405503,0.0
긴장,9.59220804701382,0.9588909795623928,14.523854185405503,0.0
낫다,8.868335113275352,0.8862243743689059,7.261927092702751,0.0
편안,8.868335113275352,0.8862243743689059,7.261927092702751,0.0
팔다,8.868335113275352,0.8862243743689059,7.261927092702751,0.0
편안하다,8.868335113275352,0.8862243743689059,7.261927092702751,0.0
딱하다,8.868335113275352,0.8862243743689059,7.261927092702751,0.0
꾸르륵,8.868335113275352,0.8862243743689059,7.261927092702751,0.0
오히려,-2.9460284275355306,-0.2937886880923914,0.0,1.791759469228055
맑다,-2.9460284275355306,-0.2937886880923914,0.0,1.791759469228055
따르,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
젖다,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
매번,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
지치,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
흠뻑,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
아이스,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
아이스팩,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
따르다,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
지치다,-3.357579396941226,-0.33514199392598953,0.0,2.70805020110221
감다,-3.4225831139038094,-0.3416698078505369,0.0,2.8903717578961645
지만,-3.4225831139038094,-0.3416698078505369,0.0,2.8903717578961645
씹히다,-3.4225831139038094,-0.3416698078505369,0.0,2.8903717578961645
쭈욱,-3.4225831139038094,-0.3416698078505369,0.0,2.8903717578961645
접하,-3.4225831139038094,-0.3416698078505369,0.0,2.8903717578961645
