bigram,count,npmi
메리 루스,8,0.948734
종류 종류,1,0.930678
심플 심플,5,0.863262
대비 대비,2,0.793427
엽산 엽산,2,0.775075
봉투 봉투,1,0.775075
어버이날 어버이날,1,0.775075
계량컵 계량컵,1,0.775075
종합 종합,5,0.750951
먹어주다 종근당,2,0.736147
센트 센트,1,0.73398
파인애플 계량컵,1,0.720357
환절기 감기,4,0.711506
감기 환절기,3,0.711506
임신 엽산,3,0.704341
사무실 사무실,3,0.697219
회사 회사,2,0.697219
청포도 청포도,2,0.697219
낱개 낱개,1,0.697219
최근 며칠,2,0.679567
파인애플 파인애플,2,0.657811
최고 최고,2,0.657811
엽산 함유,2,0.657811
약국 약국,1,0.657811
함유 엽산,1,0.657811
은단 도스,2,0.6466
도스 은단,1,0.6466
종류 설탕,1,0.644901
설탕 종류,1,0.644901
임신 임신,2,0.633607
원래 원래,1,0.633607
피곤하다 피곤,11,0.625506
판매 판매,2,0.619431
약국 시간,2,0.605927
시간 약국,1,0.605927
말씀 말씀,1,0.60568
제공 최선,4,0.59175
서비스 제공,4,0.59175
도스 판매,2,0.586737
사서 사서,2,0.585099
관절 관절,1,0.585099
의견 말씀,2,0.578709
개인 독일,2,0.555394
의사 의사,1,0.554042
라이브 사서,2,0.548858
최고 청포도,2,0.548858
고급 보이,1,0.548858
피로 피로,6,0.534911
마그네슘 최근,3,0.525776
최근 마그네슘,2,0.525776
이용 이용,2,0.525689
유산균 유산균,1,0.525689
청포도 설탕,2,0.51413
말씀 이용,1,0.512648
치아 모두,1,0.509137
문의 독일,2,0.502153
의사 완전,3,0.499297
오메가 오메가,1,0.497267
지인 명절,2,0.489695
노력 의견,2,0.489589
이뮨 최근,1,0.489589
라이브 라이브,1,0.489589
공복 유산균,2,0.485755
마그네슘 마그네슘,6,0.474671
평소 모양,2,0.45738
시럽 공복,2,0.456922
시럽 설탕,2,0.456922
완전 최고,2,0.456922
파인애플 개인,2,0.456922
개인 모닝,2,0.456922
부분 노력,2,0.456922
함유 장점,1,0.456922
먹어주다 파인애플,1,0.456922
종근당 관절,1,0.456922
일반 아연,1,0.456922
음료 상큼,2,0.447945
상큼 음료,1,0.447945
함유 타입,2,0.442969
추가 의사,1,0.442969
은단 일반,2,0.439679
치아 친구,1,0.438061
마그네슘 칼슘,8,0.434925
칼슘 마그네슘,3,0.434925
의견 제공,2,0.430231
제공 노력,2,0.430231
아침 아침,7,0.428889
시간 문의,2,0.425726
낱개 사무실,2,0.424255
지금 완전,2,0.424255
지금 지금,1,0.424255
함량 함량,4,0.422281
함량 사실,3,0.412215
상큼 상큼,2,0.412192
시간 새벽,1,0.410302
발생 의견,2,0.407664
말씀 문의,1,0.40127
오메가 임신,2,0.399716
감기 대비,2,0.399716
임신 오메가,1,0.399716
대비 감기,1,0.399716
