term_i,term_j,co_count,pmi,npmi,cosine
피곤,피곤하다,30,3.720495,0.625506,0.392759
마그네슘,칼슘,13,3.111643,0.434925,0.87366
감기,환절기,11,5.261895,0.711506,0.883905
메리,루스,10,7.14676,0.948734,0.709677
마그네슘,최근,9,4.04056,0.525776,0.820319
임신,엽산,6,5.824832,0.704341,0.757228
구미,설탕,6,3.180975,0.384645,0.575152
구미,평소,6,2.917941,0.352838,0.640019
먹어주다,종근당,6,6.087866,0.736147,0.662266
마그네슘,신경,5,3.192563,0.374146,0.818121
구미,시럽,5,3.239869,0.37969,0.603039
아침,공복,5,3.152406,0.36944,0.743517
종류,설탕,5,5.502904,0.644901,0.566806
함량,사실,5,3.517403,0.412215,0.800075
구미,모양,5,2.654907,0.311136,0.695624
도스,은단,5,5.517403,0.6466,0.741179
마그네슘,독일,5,2.607601,0.305592,0.605364
계량컵,파인애플,5,6.14676,0.720357,0.753607
구미,아침,5,0.567444,0.0665,0.428887
구미,청포도,4,2.596013,0.293174,0.543778
은단,판매,4,5.484982,0.619431,0.849662
아침,검색,4,2.567444,0.289947,0.68474
구미,시간,4,2.458509,0.277645,0.485447
파인애플,며칠,4,6.017477,0.679567,0.258401
구미,고급,4,2.596013,0.293174,0.583043
구미,검색,4,2.332979,0.263468,0.606809
마그네슘,새벽,4,2.548707,0.287831,0.621762
구미,명절,4,2.217501,0.250427,0.538021
피로,상큼,4,2.527915,0.285483,0.582259
오메가,임신,4,3.539429,0.399716,0.523606
시간,약국,4,5.3654,0.605927,0.537328
함량,엽산,4,3.654907,0.412757,0.459757
이용,부분,4,4.917941,0.555394,0.573259
제공,이용,4,4.654907,0.525689,0.475167
독일,개인,4,4.917941,0.555394,0.308834
도스,판매,4,5.195475,0.586737,0.783349
말씀,의견,4,5.124392,0.578709,0.751779
말씀,노력,4,5.124392,0.578709,0.730882
말씀,이용,4,4.539429,0.512648,0.649722
마그네슘,며칠,4,3.06328,0.345943,0.637849
명절,고급,4,4.802464,0.542353,0.715199
마그네슘,오메가,4,1.170196,0.132153,0.41331
최근,며칠,4,6.017477,0.679567,0.645975
함유,엽산,4,5.824832,0.657811,0.518087
제공,서비스,4,5.239869,0.59175,0.35466
제공,최선,4,5.239869,0.59175,0.2243
감기,대비,4,3.539429,0.399716,0.45149
함량,대비,3,2.654907,0.286401,0.38443
피로,함량,3,1.030416,0.111157,0.324962
피로,원래,3,2.615378,0.282136,0.56997
구미,보이,3,2.502904,0.270003,0.510442
마그네슘,피로,3,0.246144,0.026553,0.225785
피곤하다,먹어주다,3,2.661601,0.287123,0.183094
사서,라이브,3,5.087866,0.548858,0.696963
청포도,최고,3,5.087866,0.548858,0.746679
설탕,청포도,3,4.765938,0.51413,0.616195
구미,아연,3,2.502904,0.270003,0.472607
고급,보이,3,5.087866,0.548858,0.510754
마그네슘,지인,3,2.285673,0.246569,0.519615
아침,오메가,3,1.036929,0.11186,0.36044
독일,문의,3,4.654907,0.502153,0.264777
독일,완전,3,4.502904,0.485755,0.300023
염증,종류,3,4.280511,0.461764,0.690237
칼슘,이용,3,3.3654,0.363046,0.21385
유산균,공복,3,4.502904,0.485755,0.58554
모양,평소,3,4.239869,0.45738,0.810191
명절,지인,3,4.539429,0.489695,0.504878
말씀,서비스,3,4.709354,0.508026,0.765705
피로,지인,3,3.030416,0.326909,0.539132
상큼,음료,3,4.152406,0.447945,0.499615
의사,완전,3,4.628434,0.499297,0.540621
제공,상태,3,4.502904,0.485755,0.216225
마그네슘,원래,2,1.285673,0.130461,0.326229
마그네슘,명절,2,1.170196,0.118743,0.275796
마그네슘,추가,2,1.870635,0.189818,0.522764
마그네슘,아침,2,-0.80179,-0.08136,0.151887
에너지,모닝,2,4.502903,0.456922,0.571501
완전,최고,2,4.502903,0.456922,0.225374
완전,보이,2,4.502903,0.456922,0.0
지금,라이브,2,4.502903,0.456922,0.478365
아침,메리,2,2.152406,0.21841,0.267534
지금,완전,2,4.180975,0.424255,0.229416
아침,모닝,2,2.152406,0.21841,0.402726
아침,시럽,2,2.152406,0.21841,0.521125
사서,음료,2,4.332979,0.439679,0.475085
피곤,종근당,2,2.239869,0.227286,0.123025
피곤하다,종류,2,2.076639,0.210722,0.210233
피곤하다,감기,2,0.698127,0.070841,0.189413
개인,파인애플,2,4.502903,0.456922,0.289572
일반,아연,2,4.502903,0.456922,0.514193
관절,종근당,2,4.502903,0.456922,0.277746
