term,freq
마그네슘,62
구미,60
아침,51
피곤,48
피곤하다,43
피로,37
함량,36
감기,26
오메가,26
칼슘,22
종합,18
상큼,17
관리,15
입안,14
발생,14
염증,14
친구,13
명절,13
말씀,13
유산균,12
검색,12
모양,12
독일,12
대비,12
원래,12
임신,12
평소,12
제공,12
이용,12
도스,11
사실,11
시간,11
의사,11
타입,11
낱개,10
사무실,10
나이,10
심플,10
환절기,10
장점,10
공복,10
먹어주다,10
종류,10
개인,10
사서,10
새벽,10
지금,10
완전,10
에너지,10
설탕,10
사람,10
고급,10
회사,10
부분,10
일반,10
상태,10
청포도,10
관절,10
은단,9
판매,9
지인,9
센트,9
음료,9
문의,9
용이,8
모두,8
이상,8
일주일,8
종근당,8
이뮨,8
기력,8
봉투,8
약국,8
비타민 c,8
신경,8
라이브,8
어버이날,8
계량컵,8
모닝,8
시럽,8
아연,8
보이,8
추가,8
비타민d,8
최고,8
함유,8
최근,8
의견,8
최선,8
엽산,8
메리,8
루스,8
파인애플,8
관심,8
네이처,8
서비스,8
노력,8
며칠,7
기도,7
치아,7
