term,log_odds,z,k_cat,k_other
아침,1.5214366189595356,5.382295322303236,29,22
구미,0.831501999239932,3.1558978892174285,24,36
센트,3.302183743999425,3.1273386432866626,8,1
먹어주다,2.0753846455725427,3.0116673128588975,7,3
용이,2.324627157978626,2.852997478401825,6,2
이뮨,2.324627157978626,2.852997478401825,6,2
어버이날,2.324627157978626,2.852997478401825,6,2
제로,2.8301735946132025,2.5947431786134496,5,1
장점,1.6334334822633414,2.5332439556684636,6,4
전용,2.606612170832582,2.3413019852196704,4,1
농축,2.606612170832582,2.3413019852196704,4,1
귀엽다,2.606612170832582,2.3413019852196704,4,1
시간,1.410520122010987,2.33154921830366,6,5
도전,1.9181593095435403,2.2195076350843164,4,2
종일,1.9181593095435403,2.2195076350843164,4,2
어르신,1.9181593095435403,2.2195076350843164,4,2
등교,1.9181593095435403,2.2195076350843164,4,2
잠도,1.9181593095435403,2.2195076350843164,4,2
홈쇼핑,1.9181593095435403,2.2195076350843164,4,2
기존,1.9181593095435403,2.2195076350843164,4,2
양도,1.9181593095435403,2.2195076350843164,4,2
추석,1.9181593095435403,2.2195076350843164,4,2
검색,1.2282625298747618,2.129185212961644,6,6
대비,1.2282625298747618,2.129185212961644,6,6
느껴지다,2.3188450979334307,2.016520522586904,3,1
싸다,2.3188450979334307,2.016520522586904,3,1
다양하다,2.3188450979334307,2.016520522586904,3,1
귀엽,2.3188450979334307,2.016520522586904,3,1
자기,2.3188450979334307,2.016520522586904,3,1
우치,2.3188450979334307,2.016520522586904,3,1
파우치,2.3188450979334307,2.016520522586904,3,1
허다,2.3188450979334307,2.016520522586904,3,1
미리,1.5140854106869783,1.985350788895843,4,3
아들,1.5140854106869783,1.985350788895843,4,3
기도,1.5140854106869783,1.985350788895843,4,3
에너지,1.2276136973565217,1.9429677433743107,5,5
바꾸다,1.630392236644389,1.7898701143650542,3,2
저녁,1.630392236644389,1.7898701143650542,3,2
생활,1.630392236644389,1.7898701143650542,3,2
자연,1.630392236644389,1.7898701143650542,3,2
바꾸,1.630392236644389,1.7898701143650542,3,2
활력,1.630392236644389,1.7898701143650542,3,2
느끼,1.630392236644389,1.7898701143650542,3,2
종근당,1.2269656338282555,1.7373590752990942,4,4
시럽,1.2269656338282555,1.7373590752990942,4,4
이상,1.2269656338282555,1.7373590752990942,4,4
라이브,1.2269656338282555,1.7373590752990942,4,4
관심,1.2269656338282555,1.7373590752990942,4,4
줍다,1.9141246690263376,1.569370426975014,2,1
어렵다,1.9141246690263376,1.569370426975014,2,1
