term_i,term_j,co_count,pmi,npmi,cosine
피곤하다,피곤,10,3.378103,0.499703,0.406752
메리,루스,10,4.992813,0.738558,0.758389
낱개,학교,8,6.670885,0.941929,0.8
먹어주다,종근당,6,5.448492,0.726738,0.7615
감기,고생,6,5.670885,0.756402,0.480384
등교,모금,6,6.255847,0.834426,0.517088
구미,랜드,6,3.085922,0.411611,0.481418
모금,만해,6,6.255847,0.834426,0.703526
계량컵,파인애플,5,3.992813,0.514523,0.817587
아침,구미,5,0.549869,0.070857,0.493939
아침,저녁,4,3.227941,0.399391,0.707107
먹어주다,더워지다,4,5.86353,0.725491,0.690882
메리,파우치,4,5.085922,0.629278,0.797382
먹어주다,버티고,4,4.86353,0.601762,0.82089
이뮨,추석,4,5.085922,0.629278,0.92582
감기,덥다,4,6.085922,0.753008,0.644503
용이,등교,4,5.085922,0.629278,0.613572
감기,금방,4,5.50096,0.680631,0.603881
먹어주다,궁금하다,4,5.86353,0.725491,0.815892
구미,검색,4,2.50096,0.309442,0.598813
루스,파우치,4,5.085922,0.629278,0.797382
용이,모금,4,5.085922,0.629278,0.60678
버티고,종근당,4,5.670885,0.701656,0.571662
고생,금방,4,6.085922,0.753008,0.628539
구미,시간,4,2.50096,0.309442,0.535913
구미,허다,4,3.50096,0.433172,0.547976
구미,평소,4,3.085922,0.38182,0.403598
날씨,버티고,4,5.670885,0.701656,0.613572
어르신,이뮨샷,4,6.670885,0.825385,0.707107
고생,덥다,4,6.670885,0.825385,0.67082
등교,만해,4,5.670885,0.701656,0.857493
글루텐,프리,4,5.670885,0.701656,0.255377
기도,살수,4,5.670885,0.701656,0.436436
농축,기존,3,5.255847,0.61854,0.066227
도전,기존,3,5.255847,0.61854,0.0
랜드,이상,3,4.670885,0.549698,0.490552
랜드,허다,3,5.085922,0.598542,0.713996
로트,벡쉔,3,7.255847,0.853912,0.933333
시간,전용,3,4.670885,0.549698,0.580343
아침,종일,3,2.397866,0.282195,0.601338
아침,양도,3,2.397866,0.282195,0.706018
피곤하다,일정,2,2.86353,0.315292,0.617578
아침,시럽,2,1.812904,0.199612,0.5
어버이날,검색,2,3.50096,0.385477,0.404061
시간,검색,2,3.50096,0.385477,0.710285
감기,귀엽,2,4.50096,0.495583,0.0
먹어주다,힘드다,2,4.86353,0.535504,0.690882
파인애플,먹어주다,2,2.86353,0.315292,0.26968
파인애플,자기,2,4.085922,0.449885,0.469042
먹어주다,날씨,2,3.86353,0.425398,0.729756
감기,니다,2,5.085922,0.559991,0.65372
용이,만해,2,4.085922,0.449885,0.894427
루스,홈쇼핑,2,3.670885,0.404187,0.751285
루스,관심,2,3.670885,0.404187,0.500559
루스,우치,2,4.085922,0.449885,0.817971
먹어주다,일정,2,3.86353,0.425398,0.717949
피곤,종근당,2,2.86353,0.315292,0.084327
피곤하다,먹어주다,2,2.056175,0.226397,0.259124
피곤하다,느껴지다,2,3.278567,0.36099,0.372837
메리,홈쇼핑,2,3.670885,0.404187,0.751285
