term,freq
아침,29
구미,24
피곤하다,14
피곤,14
피로,10
센트,8
계량컵,8
모닝,8
메리,8
루스,8
파인애플,8
먹어주다,7
감기,6
용이,6
이뮨,6
시간,6
어버이날,6
검색,6
장점,6
대비,6
랜드,6
에너지,5
제로,5
심플,4
귀엽다,4
고생,4
어르신,4
날씨,4
버티고,4
종근당,4
일정,4
추석,4
전용,4
마그네슘,4
라이브,4
도전,4
지금,4
하나로,4
종일,4
글루텐,4
프리,4
홈쇼핑,4
시럽,4
공복,4
잠도,4
농축,4
기도,4
함량,4
관리,4
양도,4
미리,4
살수,4
낱개,4
학교,4
등교,4
모금,4
만해,4
기존,4
관심,4
아들,4
박카스,4
계획,4
이상,4
평소,4
귀엽,3
동안,3
금방,3
활력,3
싸다,3
바꾸다,3
바꾸,3
가로,3
바라다,3
바라,3
파우치,3
우치,3
자기,3
거부감,3
자연,3
음료,3
느껴지다,3
모두,3
느끼,3
저녁,3
하니,3
생활,3
다양하다,3
허다,3
로트,2
벡쉔,2
자꾸,2
딸리다,2
딸리,2
덥다,2
니다,2
이뮨샷,2
더워지다,2
궁금하다,2
힘드다,2
보렵니,2
