term,log_odds,z,k_cat,k_other
비타민 c,3.5422850588194956,3.32825060049824,7,1
모양,1.9398010495083637,3.3157580146496284,7,5
설탕,2.0075414830358573,3.1134370532233233,6,4
은단,1.82431320023806,2.7226209440690474,5,4
친구,1.4482457369679862,2.6051516639117116,6,7
완전,1.6014188267223997,2.5345962908805166,5,5
치아,1.887531411406128,2.4750334097734594,4,3
타입,1.4191802311691601,2.3458641298196867,5,6
지키다,2.6919327002080404,2.340966000803616,3,1
다르,2.6919327002080404,2.340966000803616,3,1
아연,1.6004306114454634,2.2661780986528086,4,4
일주일,1.6004306114454634,2.2661780986528086,4,4
시럽,1.6004306114454634,2.2661780986528086,4,4
취향,2.0034987961627237,2.1994723348282106,3,2
상큼,0.9957795646905767,1.9634250478575304,6,11
알다,1.5994438643732334,1.962172804902305,3,3
다르다,1.5994438643732334,1.962172804902305,3,3
부드럽,1.5994438643732334,1.962172804902305,3,3
전환,2.2868924858021433,1.8749987892454656,2,1
벡쉔,2.2868924858021433,1.8749987892454656,2,1
이면,2.2868924858021433,1.8749987892454656,2,1
드니,2.2868924858021433,1.8749987892454656,2,1
지게,2.2868924858021433,1.8749987892454656,2,1
가요,2.2868924858021433,1.8749987892454656,2,1
우리,2.2868924858021433,1.8749987892454656,2,1
오랜만,2.2868924858021433,1.8749987892454656,2,1
일반,1.1952976423765636,1.8537519652037016,4,6
종류,1.1952976423765636,1.8537519652037016,4,6
나이,1.1952976423765636,1.8537519652037016,4,6
부드럽다,1.3123430644125689,1.7208152986899987,3,4
기한,1.3123430644125689,1.7208152986899987,3,4
상자,1.5984585817568266,1.6024497454772195,2,2
결정,1.5984585817568266,1.6024497454772195,2,2
신랑,1.5984585817568266,1.6024497454772195,2,2
체내,1.5984585817568266,1.6024497454772195,2,2
로트,1.5984585817568266,1.6024497454772195,2,2
메이드,1.5984585817568266,1.6024497454772195,2,2
밀크,1.5984585817568266,1.6024497454772195,2,2
작년,1.5984585817568266,1.6024497454772195,2,2
비교,1.5984585817568266,1.6024497454772195,2,2
수고,1.5984585817568266,1.6024497454772195,2,2
콤달콤,1.5984585817568266,1.6024497454772195,2,2
주변,1.5984585817568266,1.6024497454772195,2,2
귀엽,1.5984585817568266,1.6024497454772195,2,2
여행가,1.5984585817568266,1.6024497454772195,2,2
비타민 d,1.5984585817568266,1.6024497454772195,2,2
내용물,1.5984585817568266,1.6024497454772195,2,2
당장,1.5984585817568266,1.6024497454772195,2,2
야하다,1.5984585817568266,1.6024497454772195,2,2
레몬,1.5984585817568266,1.6024497454772195,2,2
