term_i,term_j,co_count,pmi,npmi,cosine
모양,예상,6,4.768198,0.667857,0.522976
손톱,예정,6,6.253625,0.875913,0.601041
피곤하다,피곤,5,3.697808,0.499529,0.14531
설탕,종류,5,4.727556,0.638636,0.817806
손톱,새끼,5,5.99059,0.809256,0.664364
조카,부드럽,5,5.142593,0.694702,0.573043
구미,시럽,5,3.612079,0.487948,0.383571
피로,상큼,4,3.820665,0.494616,0.816497
조카,아연,4,4.405628,0.570344,0.615547
일주일,코피,4,4.99059,0.646072,0.184211
은단,골드,3,4.253625,0.522587,0.82734
구미,설탕,3,2.29015,0.281361,0.43825
초등,복숭아,3,4.575553,0.562138,0.758947
로트,벡쉔,3,6.575553,0.807852,0.933333
모양,취향,2,3.598273,0.412432,0.284268
감기,증진,2,4.405628,0.504971,0.435194
감기,확률,2,4.405628,0.504971,0.638978
감기,장기간,2,4.405628,0.504971,0.615457
감기,과일,2,4.405628,0.504971,0.53936
리포좀,평소,2,3.668662,0.4205,0.476731
리포좀,일반,2,3.668662,0.4205,0.316228
완전,보이,2,4.0837,0.468072,0.210819
친구,치아,2,3.405628,0.390352,0.365148
설탕,시럽,2,3.405628,0.390352,0.544415
감기,귀엽,2,4.405628,0.504971,0.43082
감기,지키다,2,3.820665,0.437923,0.337963
모양,샛별,2,4.183235,0.479481,0.78407
모양,발견,2,4.183235,0.479481,0.724432
모양,검색,2,4.183235,0.479481,0.53545
구미,아연,2,2.29015,0.262496,0.405096
구미,조카,2,1.705188,0.195448,0.450225
조카,부드럽다,2,3.820665,0.437923,0.619987
함량,아연,2,3.405628,0.390352,0.160128
예상,제이니,2,4.99059,0.572019,0.504505
은단,일반,2,3.668662,0.4205,0.606339
예상,정해진,2,4.99059,0.572019,0.294174
일주일,참고,2,4.405628,0.504971,0.460195
일주일,칼슘,2,3.99059,0.4574,0.311272
예상,샛별,2,4.99059,0.572019,0.604471
코피,유산균,2,4.99059,0.572019,0.359937
코피,비교,2,4.99059,0.572019,0.433555
코피,이면,2,4.99059,0.572019,0.43259
칼슘,구비,2,3.99059,0.4574,0.097823
코피,칼슘,2,3.99059,0.4574,0.553372
코피,성장기,2,4.99059,0.572019,0.489116
일주일,이틀,2,4.99059,0.572019,0.290191
일주일,국내,2,4.99059,0.572019,0.38236
조카,취향,2,3.820665,0.437923,0.38555
