term,freq
구미,13
피곤하다,7
피곤,7
모양,7
비타민 c,7
감기,6
피로,6
상큼,6
조카,6
함량,6
설탕,6
친구,6
손톱,5
타입,5
완전,5
리포좀,5
은단,5
예상,4
일주일,4
코피,4
칼슘,4
나이,4
입안,4
구비,4
아연,4
평소,4
시럽,4
치아,4
센스,4
감귤,4
일반,4
초등,4
복숭아,4
종류,4
골드,4
지키다,3
지키,3
안되다,3
참고,3
기한,3
알다,3
다르다,3
다르,3
식후,3
부드럽다,3
취향,3
부드럽,3
보이,3
대다,3
고급,3
명절,3
봉투,3
의사,3
귀엽다,2
로트,2
벡쉔,2
귀엽,2
검색,2
발견,2
샛별,2
제이니,2
정해진,2
용법,2
야하다,2
국내,2
이틀,2
전달,2
주시,2
수고,2
이렇,2
초과,2
일단,2
최저,2
성장기,2
살다,2
메이드,2
유산균,2
비교,2
이면,2
마그네슘,2
새끼,2
예정,2
사서,2
약국,2
일등,2
신랑,2
드니,2
저하,2
병원,2
과일,2
장기간,2
확률,2
줄어들다,2
증진,2
여행가,2
레몬,2
순간,2
주변,2
줄어들,2
보이다,2
