term,log_odds,z,k_cat,k_other
칼슘,2.367059864185927,5.5308149326617055,12,10
사무실,2.578640652021595,3.9991379609307858,6,4
비타민d,2.6817011129714654,3.67726813836183,5,3
말씀,2.019399556474765,3.632561781722751,6,7
마그네슘,1.0408488260774402,3.5108093596287904,15,47
장기간,2.8610640001206864,3.3105453551946473,4,2
손톱,3.549479722348763,3.18820114991548,4,1
과립,3.549479722348763,3.18820114991548,4,1
서비스,2.1699446582486415,3.0725987272702784,4,4
최선,2.1699446582486415,3.0725987272702784,4,4
노력,2.1699446582486415,3.0725987272702784,4,4
판매,1.9470684928064843,2.905822014202456,4,5
남기,2.572187766499744,2.823787986913397,3,2
들어가,2.572187766499744,2.823787986913397,3,2
우선,2.572187766499744,2.823787986913397,3,2
들어가다,2.572187766499744,2.823787986913397,3,2
남기다,2.572187766499744,2.823787986913397,3,2
일반,1.764848114091481,2.7370510438541094,4,6
다니다,2.168151025273266,2.6598538863877916,3,3
타입,1.6107035627018114,2.5725037548305845,4,7
원래,1.477118850127284,2.414635886754444,4,8
바쁘,2.8547771536011197,2.3406013792949336,2,1
사탕,2.8547771536011197,2.3406013792949336,2,1
열다,2.8547771536011197,2.3406013792949336,2,1
함량,0.920644730096777,2.297698441939253,8,28
어디,2.1663614313730433,2.171770581943996,2,2
자체,2.1663614313730433,2.171770581943996,2,2
성장기,2.1663614313730433,2.171770581943996,2,2
바쁘다,2.1663614313730433,2.171770581943996,2,2
답변,2.1663614313730433,2.171770581943996,2,2
플라스틱,2.1663614313730433,2.171770581943996,2,2
자신,2.1663614313730433,2.171770581943996,2,2
포로,2.1663614313730433,2.171770581943996,2,2
유관,2.1663614313730433,2.171770581943996,2,2
메이드,2.1663614313730433,2.171770581943996,2,2
레몬,2.1663614313730433,2.171770581943996,2,2
차이,2.1663614313730433,2.171770581943996,2,2
애기,2.1663614313730433,2.171770581943996,2,2
신랑,2.1663614313730433,2.171770581943996,2,2
당장,2.1663614313730433,2.171770581943996,2,2
인사,2.1663614313730433,2.171770581943996,2,2
헤르츠,1.7623246901465652,1.9347076266709398,2,3
사랑,1.7623246901465652,1.9347076266709398,2,3
도펠,1.7623246901465652,1.9347076266709398,2,3
지금,1.321827329080869,1.918152458499186,3,7
쥬스,1.4752420895009983,1.707006850241436,2,4
전달,1.4752420895009983,1.707006850241436,2,4
사진,1.4752420895009983,1.707006850241436,2,4
정신,1.4752420895009983,1.707006850241436,2,4
부서,1.4752420895009983,1.707006850241436,2,4
