term_i,term_j,co_count,pmi,npmi,cosine
마그네슘,칼슘,9,2.250868,0.33814,0.521168
손톱,예정,6,6.157759,0.850333,0.612637
손톱,새끼,5,5.894724,0.785479,0.677182
말씀,노력,4,3.987834,0.509526,0.652753
미세,과립,4,3.765441,0.481111,0.583957
코피,일주일,4,5.572796,0.712038,0.18712
구미,오렌지,4,5.250868,0.670905,0.791155
미니,일반,4,4.572796,0.584267,0.594701
지금,전부,3,5.572796,0.67618,0.699896
구미,딸기,3,4.835831,0.58676,0.867722
칼슘,미세,3,1.765441,0.214211,0.340733
마그네슘,조합,3,3.250868,0.394447,0.580193
조합,포만,3,6.157759,0.747157,0.545455
사실,당장,3,6.157759,0.747157,0.923077
마그네슘,독일,3,2.665906,0.32347,0.592999
칼슘,포만,3,3.572796,0.433508,0.415029
지금,뚜껑,3,5.572796,0.67618,0.646058
도펠,헤르츠,2,5.572796,0.631368,0.471405
증도,걱정,2,5.572796,0.631368,0.5
함량,사진,2,3.572796,0.404778,0.712697
오렌지,레몬,2,5.572796,0.631368,0.707107
함량,오메가,2,2.572796,0.291484,0.386501
사탕,입안,2,5.572796,0.631368,0.518563
딸기,레몬,2,5.572796,0.631368,0.70014
컴팩트,음료,2,5.572796,0.631368,0.087706
딸기,오렌지,2,5.572796,0.631368,0.792118
칼슘,코피,2,1.987834,0.225211,0.194745
마그네슘,칼디,2,2.665906,0.302033,0.644094
칼슘,다니다,2,2.402871,0.272232,0.47691
칼슘,일주일,2,2.987834,0.338505,0.141598
칼슘,컴팩트,2,2.987834,0.338505,0.449921
칼슘,의사,2,2.987834,0.338505,0.554421
칼슘,완전,2,2.987834,0.338505,0.23037
칼슘,조합,2,2.987834,0.338505,0.622543
칼슘,성장기,2,2.987834,0.338505,0.128247
사람,햇빛,2,5.572796,0.631368,0.583383
칼슘,독일,2,2.402871,0.272232,0.620378
여름철,한국,2,5.572796,0.631368,0.78072
차이,플라스틱,2,5.572796,0.631368,0.666667
메이드,유산균,2,5.572796,0.631368,0.501745
새끼,예정,2,5.572796,0.631368,0.88083
한국,사람,2,5.572796,0.631368,0.650791
여름철,햇빛,2,5.572796,0.631368,0.466569
여름철,사람,2,5.572796,0.631368,0.635107
한국,햇빛,2,5.572796,0.631368,0.478091
미세,사탕,2,3.765441,0.426604,0.598785
미세,입안,2,3.765441,0.426604,0.543388
미세,포로,2,3.765441,0.426604,0.630126
지속,판매,2,2.987834,0.338505,0.296296
함량,걱정,2,3.572796,0.404778,0.773001
언제,출근길,2,4.987834,0.565094,0.62361
들어가다,어디,2,4.987834,0.565094,0.544949
함량,증도,2,3.572796,0.404778,0.702728
말씀,남기,2,3.402871,0.385527,0.53936
칼슘,포로,2,2.987834,0.338505,0.567775
칼슘,칼디,2,2.987834,0.338505,0.481682
마그네슘,포로,2,2.665906,0.302033,0.585845
마그네슘,포만,2,2.665906,0.302033,0.709124
마그네슘,의사,2,2.665906,0.302033,0.587975
수립,먹거리,2,5.572796,0.631368,0.306786
의사,완전,2,5.572796,0.631368,0.608581
지속,서비스,2,2.987834,0.338505,0.0
지속,노력,2,2.987834,0.338505,0.160514
지속,즐겁다,2,3.987834,0.4518,0.204124
지속,관리,2,3.987834,0.4518,0.3849
지속,자체,2,3.987834,0.4518,0.344265
말씀,서비스,2,2.987834,0.338505,0.421637
말씀,남기다,2,3.402871,0.385527,0.516398
우선,자신,2,4.987834,0.565094,0.430331
일상,장점,2,4.572796,0.518073,0.362738
비교,차이,2,4.572796,0.518073,0.5
비교,사진,2,4.572796,0.518073,0.377964
비교,유산균,2,4.572796,0.518073,0.441261
최선,제공,2,4.572796,0.518073,0.29277
독일,완전,2,4.987834,0.565094,0.455733
독일,의사,2,4.987834,0.565094,0.693375
입자,음료,2,4.987834,0.565094,0.119523
코피,유산균,2,4.572796,0.518073,0.380521
비교,오메가,2,3.572796,0.404778,0.447214
비교,장기간,2,3.572796,0.404778,0.505181
코피,비교,2,3.572796,0.404778,0.30317
구미,레몬,2,4.250868,0.4816,0.946729
원래,열다,2,4.572796,0.518073,0.717137
장기간,플라스틱,2,4.572796,0.518073,0.866025
코피,성장기,2,4.572796,0.518073,0.433861
장기간,차이,2,4.572796,0.518073,0.866025
오메가,사람,2,4.572796,0.518073,0.306786
오메가,여름철,2,4.572796,0.518073,0.483046
오메가,한국,2,4.572796,0.518073,0.424264
비교,메이드,2,4.572796,0.518073,0.319801
최선,남기,2,3.987834,0.4518,0.1557
최선,남기다,2,3.987834,0.4518,0.149071
일상,먹거리,2,4.572796,0.518073,0.217643
오메가,장기간,2,3.572796,0.404778,0.645497
오메가,사진,2,4.572796,0.518073,0.422577
오메가,차이,2,4.572796,0.518073,0.596285
오메가,플라스틱,2,4.572796,0.518073,0.596285
판매,기준,2,4.572796,0.518073,0.560112
판매,자체,2,4.572796,0.518073,0.68853
일반,캔디,2,4.572796,0.518073,0.280745
일상,우선,2,3.987834,0.4518,0.296174
미니,들어가,2,3.987834,0.4518,0.644503
판매,관리,2,4.572796,0.518073,0.57735
타입,입안,2,4.572796,0.518073,0.495074
미니,들어가다,2,3.987834,0.4518,0.620174
타입,들어가,2,3.987834,0.4518,0.502079
타입,일반,2,3.572796,0.404778,0.492764
타입,미니,2,3.572796,0.404778,0.686406
판매,수립,2,4.572796,0.518073,0.373408
기준,수립,2,5.572796,0.631368,0.588235
자체,수립,2,5.572796,0.631368,0.433861
관리,기준,2,5.572796,0.631368,0.485071
자체,기준,2,5.572796,0.631368,0.650791
와중,인사,2,5.572796,0.631368,0.400892
전부,뚜껑,2,5.572796,0.631368,0.666667
마그네슘,컴팩트,2,2.665906,0.302033,0.58704
관리,자체,2,5.572796,0.631368,0.67082
마그네슘,한국,2,2.665906,0.302033,0.270449
마그네슘,여름철,2,2.665906,0.302033,0.296923
마그네슘,플라스틱,2,2.665906,0.302033,0.356348
마그네슘,들어가,2,2.080943,0.23576,0.490189
마그네슘,다니다,2,2.080943,0.23576,0.626295
마그네슘,미니,2,1.665906,0.188738,0.326823
마그네슘,장기간,2,1.665906,0.188738,0.339467
마그네슘,오메가,2,1.665906,0.188738,0.310759
마그네슘,미세,1,-0.141449,-0.014395,0.444575
마그네슘,비타민d,1,0.343978,0.035005,0.608511
마그네슘,판매,1,0.665906,0.067766,0.261861
마그네슘,들어가다,1,1.080943,0.110002,0.370842
마그네슘,차이,1,1.665906,0.169531,0.285079
마그네슘,도펠,1,1.665906,0.169531,0.320713
바쁘,인사,1,4.572796,0.465351,0.25
전부,열다,1,4.572796,0.465351,0.29277
전부,독약,1,4.572796,0.465351,0.516398
뚜껑,열다,1,4.572796,0.465351,0.39036
열다,독약,1,4.572796,0.465351,0.566947
와중,즐겁다,1,4.572796,0.465351,0.267261
인사,즐겁다,1,4.572796,0.465351,0.5
기준,먹거리,1,4.572796,0.465351,0.306786
과립,상큼,1,3.572796,0.363586,0.340503
과립,사탕,1,3.572796,0.363586,0.668734
과립,입안,1,3.572796,0.363586,0.606866
과립,포로,1,3.572796,0.363586,0.521286
타입,다니다,1,2.987834,0.304057,0.109109
타입,들어가다,1,2.987834,0.304057,0.421637
타입,언제,1,2.987834,0.304057,0.272772
타입,사탕,1,3.572796,0.363586,0.381881
타입,어디,1,3.572796,0.363586,0.492366
타입,출근길,1,3.572796,0.363586,0.204124
미니,입안,1,3.572796,0.363586,0.349531
미니,어디,1,3.572796,0.363586,0.434524
판매,우선,1,2.987834,0.304057,0.149071
판매,도펠,1,3.572796,0.363586,0.272166
판매,헤르츠,1,3.572796,0.363586,0.32075
판매,칼디,1,3.572796,0.363586,0.397523
판매,자신,1,3.572796,0.363586,0.2566
일반,다니다,1,2.987834,0.304057,0.198517
일상,최선,1,2.572796,0.261821,0.11847
원래,뚜껑,1,3.572796,0.363586,0.326599
원래,독약,1,3.572796,0.363586,0.632456
과립,타입,1,2.572796,0.261821,0.29794
과립,우선,1,2.987834,0.304057,0.269191
코피,다해,1,3.572796,0.363586,0.070014
코피,메이드,1,3.572796,0.363586,0.672214
비교,성장기,1,3.572796,0.363586,0.447214
비교,플라스틱,1,3.572796,0.363586,0.5
일상,출근길,1,3.572796,0.363586,0.229416
일상,바쁘다,1,3.572796,0.363586,0.205196
일상,자신,1,3.572796,0.363586,0.38236
일상,바쁘,1,3.572796,0.363586,0.486664
일상,수립,1,3.572796,0.363586,0.222566
일상,제공,1,3.572796,0.363586,0.346844
최선,언제,1,2.987834,0.304057,0.345033
최선,다해,1,3.572796,0.363586,0.316228
노력,남기다,1,2.987834,0.304057,0.601929
노력,남기,1,2.987834,0.304057,0.628695
노력,즐겁다,1,3.572796,0.363586,0.589768
다니다,독일,1,3.402871,0.346294,0.524142
다니다,컴팩트,1,3.987834,0.405822,0.741249
다니다,음료,1,3.987834,0.405822,0.253546
다니다,상큼,1,3.987834,0.405822,0.109109
입자,상큼,1,3.987834,0.405822,0.46291
독일,들어가,1,3.402871,0.346294,0.438529
독일,도펠,1,3.987834,0.405822,0.346688
독일,헤르츠,1,3.987834,0.405822,0.457604
독일,사탕,1,3.987834,0.405822,0.209657
우선,사탕,1,3.987834,0.405822,0.20702
우선,칼디,1,3.987834,0.405822,0.2
우선,장점,1,3.987834,0.405822,0.408248
지속,남기다,1,2.402871,0.244529,0.111111
지속,남기,1,2.402871,0.244529,0.116052
지속,인사,1,2.987834,0.304057,0.136083
말씀,즐겁다,1,2.987834,0.304057,0.421637
비타민d,칼디,1,3.250868,0.330825,0.57735
비타민d,포로,1,3.250868,0.330825,0.782624
우선,바쁘,1,3.987834,0.405822,0.456435
들어가,입안,1,3.987834,0.405822,0.542326
언제,남기다,1,3.402871,0.346294,0.385758
언제,다해,1,3.987834,0.405822,0.436436
언제,어디,1,3.987834,0.405822,0.483494
언제,장점,1,3.987834,0.405822,0.422577
지금,독약,1,3.987834,0.405822,0.521286
남기다,다해,1,3.987834,0.405822,0.353553
남기,제공,1,3.987834,0.405822,0.455842
성장기,유산균,1,4.572796,0.465351,0.526235
일주일,메이드,1,4.572796,0.465351,0.263181
다해,메이드,1,4.572796,0.465351,0.123091
미세,비타민d,1,1.443513,0.146899,0.500979
미세,타입,1,1.765441,0.17966,0.400163
미세,입자,1,2.180479,0.221897,0.317554
미세,우선,1,2.180479,0.221897,0.289241
미세,들어가,1,2.180479,0.221897,0.407046
미세,상큼,1,2.765441,0.281425,0.45733
미세,의사,1,2.765441,0.281425,0.462069
미세,완전,1,2.765441,0.281425,0.506171
미세,캔디,1,2.765441,0.281425,0.264628
다해,바쁘,1,4.572796,0.465351,0.0
사진,차이,1,4.572796,0.465351,0.503953
사진,걱정,1,4.572796,0.465351,0.338062
플라스틱,여름철,1,4.572796,0.465351,0.411476
사람,증도,1,4.572796,0.465351,0.153393
햇빛,증도,1,4.572796,0.465351,0.338062
햇빛,걱정,1,4.572796,0.465351,0.169031
칼슘,들어가다,1,1.402871,0.142763,0.272255
칼슘,들어가,1,1.402871,0.142763,0.489696
칼슘,헤르츠,1,1.987834,0.202292,0.378517
함량,비교,1,1.572796,0.160056,0.31427
음료,상큼,1,4.572796,0.465351,0.387298
상큼,캔디,1,4.572796,0.465351,0.154303
도펠,칼디,1,4.572796,0.465351,0.456435
헤르츠,칼디,1,4.572796,0.465351,0.602464
사탕,의사,1,4.572796,0.465351,0.377964
사탕,완전,1,4.572796,0.465351,0.552052
입안,어디,1,4.572796,0.465351,0.219382
입안,완전,1,4.572796,0.465351,0.25049
마그네슘,헤르츠,1,1.665906,0.169531,0.52915
마그네슘,자신,1,1.665906,0.169531,0.176383
칼슘,비타민d,1,0.665906,0.067766,0.580381
칼슘,비교,1,0.987834,0.100527,0.086031
칼슘,과립,1,0.987834,0.100527,0.236779
칼슘,미니,1,0.987834,0.100527,0.311715
칼슘,판매,1,0.987834,0.100527,0.187317
칼슘,입자,1,1.402871,0.142763,0.091971
어디,출근길,1,4.572796,0.465351,0.402015
어디,장점,1,4.572796,0.465351,0.286039
어디,바쁘다,1,4.572796,0.465351,0.13484
칼디,포로,1,4.572796,0.465351,0.580948
칼디,자신,1,4.572796,0.465351,0.430331
포로,캔디,1,4.572796,0.465351,0.188982
출근길,장점,1,4.572796,0.465351,0.632456
출근길,바쁘,1,4.572796,0.465351,0.235702
장점,바쁘다,1,4.572796,0.465351,0.424264
장점,바쁘,1,4.572796,0.465351,0.447214
바쁘다,와중,1,4.572796,0.465351,0.338062
바쁘다,인사,1,4.572796,0.465351,0.316228
자신,바쁘,1,4.572796,0.465351,0.353553
바쁘,와중,1,4.572796,0.465351,0.267261
먹거리,제공,1,4.572796,0.465351,0.239046
