term,freq
마그네슘,15
칼슘,12
함량,8
미세,7
지속,6
말씀,6
사무실,6
비타민d,5
구미,5
코피,4
비교,4
손톱,4
오메가,4
장기간,4
원래,4
과립,4
타입,4
미니,4
판매,4
일반,4
일상,4
최선,4
서비스,4
노력,4
감기,4
다니다,3
입자,3
독일,3
우선,3
들어가다,3
들어가,3
언제,3
지금,3
남기다,3
남기,3
심플,2
최저,2
성장기,2
일주일,2
다해,2
메이드,2
유산균,2
피로,2
새끼,2
예정,2
사서,2
약국,2
일등,2
신랑,2
사진,2
차이,2
플라스틱,2
여름철,2
한국,2
사람,2
햇빛,2
증도,2
걱정,2
사실,2
당장,2
임신,2
수치,2
당분,2
품목,2
딸기,2
오렌지,2
레몬,2
컴팩트,2
음료,2
상큼,2
도펠,2
헤르츠,2
사탕,2
입안,2
어디,2
의사,2
완전,2
조합,2
포만,2
칼디,2
포로,2
캔디,2
출근길,2
장점,2
바쁘다,2
자신,2
바쁘,2
전부,2
뚜껑,2
열다,2
독약,2
와중,2
인사,2
즐겁다,2
관리,2
자체,2
기준,2
수립,2
먹거리,2
제공,2
