term,log_odds,z,k_cat,k_other
써주다,1.0106556565465992,0.1005689259628486,0,1
물량확보할때,1.0106556565465992,0.1005689259628486,0,1
젛은듯,1.0106556565465992,0.1005689259628486,0,1
세다,1.0106556565465992,0.1005689259628486,0,1
허전하다,1.0106556565465992,0.1005689259628486,0,1
다소,1.0106556565465992,0.1005689259628486,0,1
양행,1.0106556565465992,0.1005689259628486,0,1
골다,1.0106556565465992,0.1005689259628486,0,1
서든,1.0106556565465992,0.1005689259628486,0,1
다가오다,1.0106556565465992,0.1005689259628486,0,1
지용성,1.0106556565465992,0.1005689259628486,0,1
갖추,1.0106556565465992,0.1005689259628486,0,1
아예,1.0106556565465992,0.1005689259628486,0,1
돌리,1.0106556565465992,0.1005689259628486,0,1
성은,1.0106556565465992,0.1005689259628486,0,1
원재료,1.0106556565465992,0.1005689259628486,0,1
제입,1.0106556565465992,0.1005689259628486,0,1
자극,1.0106556565465992,0.1005689259628486,0,1
라면,1.0106556565465992,0.1005689259628486,0,1
수용성,1.0106556565465992,0.1005689259628486,0,1
한동안,1.0106556565465992,0.1005689259628486,0,1
저속,1.0106556565465992,0.1005689259628486,0,1
소화,1.0106556565465992,0.1005689259628486,0,1
돌아오다,1.0106556565465992,0.1005689259628486,0,1
인생,1.0106556565465992,0.1005689259628486,0,1
게다가,1.0106556565465992,0.1005689259628486,0,1
5월 3일,1.0106556565465992,0.1005689259628486,0,1
도르다,1.0106556565465992,0.1005689259628486,0,1
활기차,1.0106556565465992,0.1005689259628486,0,1
르트벡쉔,1.0106556565465992,0.1005689259628486,0,1
목이,1.0106556565465992,0.1005689259628486,0,1
추하,1.0106556565465992,0.1005689259628486,0,1
사미,1.0106556565465992,0.1005689259628486,0,1
나뉘다,1.0106556565465992,0.1005689259628486,0,1
눈앞,1.0106556565465992,0.1005689259628486,0,1
끼치다,1.0106556565465992,0.1005689259628486,0,1
갖추다,1.0106556565465992,0.1005689259628486,0,1
두셋,1.0106556565465992,0.1005689259628486,0,1
부스터,1.0106556565465992,0.1005689259628486,0,1
진저,1.0106556565465992,0.1005689259628486,0,1
앞두다,1.0106556565465992,0.1005689259628486,0,1
장이,1.0106556565465992,0.1005689259628486,0,1
환승,1.0106556565465992,0.1005689259628486,0,1
찾아뵈,1.0106556565465992,0.1005689259628486,0,1
은근,1.0106556565465992,0.1005689259628486,0,1
책임지,1.0106556565465992,0.1005689259628486,0,1
만들,1.0106556565465992,0.1005689259628486,0,1
조심,1.0106556565465992,0.1005689259628486,0,1
덕인,1.0106556565465992,0.1005689259628486,0,1
동일하다,1.0106556565465992,0.1005689259628486,0,1
