term,log_odds,z,k_cat,k_other
마그네슘,4.206958981788404,11.111066410362042,54,8
칼슘,3.1948546096297306,6.678444848483288,16,6
사무실,2.5992099013353718,4.031038204841889,6,4
예정,2.8815566373491457,3.334257444469652,4,2
예전,2.8815566373491457,3.334257444469652,4,2
손톱,3.569971878951546,3.2066075425013794,4,1
과립,3.569971878951546,3.2066075425013794,4,1
독일,1.8559102080085728,3.1723609739432463,5,7
신경,2.1904382573952477,3.1016172584183823,4,4
일주일,2.1904382573952477,3.1016172584183823,4,4
최근,2.1904382573952477,3.1016172584183823,4,4
들어가다,2.592642810336204,2.8462438541752895,3,2
도펠,2.592642810336204,2.8462438541752895,3,2
헤르츠,2.592642810336204,2.8462438541752895,3,2
들어가,2.592642810336204,2.8462438541752895,3,2
우선,2.592642810336204,2.8462438541752895,3,2
정신,2.1886065499576155,2.684948405263805,3,3
다니다,2.1886065499576155,2.684948405263805,3,3
타입,1.6311986063949373,2.6052370138093774,4,7
언제,2.8751942766219942,2.3573411609775814,2,1
사탕,2.8751942766219942,2.3573411609775814,2,1
스트레스,2.8751942766219942,2.3573411609775814,2,1
요새,2.186779035019594,2.1922391659536675,2,2
애기,2.186779035019594,2.1922391659536675,2,2
일상,2.186779035019594,2.1922391659536675,2,2
포로,2.186779035019594,2.1922391659536675,2,2
근육통,2.186779035019594,2.1922391659536675,2,2
메이드,2.186779035019594,2.1922391659536675,2,2
자신,2.186779035019594,2.1922391659536675,2,2
예민하다,2.186779035019594,2.1922391659536675,2,2
성장기,2.186779035019594,2.1922391659536675,2,2
비교,2.186779035019594,2.1922391659536675,2,2
어디,2.186779035019594,2.1922391659536675,2,2
자고,2.186779035019594,2.1922391659536675,2,2
이후,2.186779035019594,2.1922391659536675,2,2
미니,2.186779035019594,2.1922391659536675,2,2
저녁,1.7827427746410054,1.9571229193887192,2,3
새벽,1.3422847793819956,1.9478390202205393,3,7
유지,1.495660655065696,1.730633230981991,2,4
포만,1.495660655065696,1.730633230981991,2,4
커서,1.495660655065696,1.730633230981991,2,4
컨디션,1.495660655065696,1.730633230981991,2,4
소비,1.495660655065696,1.730633230981991,2,4
동생,1.495660655065696,1.730633230981991,2,4
잠도,1.495660655065696,1.730633230981991,2,4
이틀,1.495660655065696,1.730633230981991,2,4
쭈욱,2.184955695162315,1.5527027570852794,1,1
가기,2.184955695162315,1.5527027570852794,1,1
다해,2.184955695162315,1.5527027570852794,1,1
쉬다,2.184955695162315,1.5527027570852794,1,1
