term_i,term_j,co_count,pmi,npmi,cosine
마그네슘,칼슘,13,0.496844,0.078284,0.800331
마그네슘,최근,9,1.96633,0.28592,0.78321
손톱,예정,6,5.136255,0.688307,0.532225
손톱,새끼,5,5.87322,0.760268,0.677182
마그네슘,독일,5,0.796405,0.103092,0.706627
마그네슘,호주,5,1.118333,0.144764,0.692894
마그네슘,신경,5,1.118333,0.144764,0.723327
구미,고맙다,4,5.381367,0.668732,0.5
마그네슘,근육통,4,1.796405,0.223236,0.73329
칼슘,예전,4,2.551292,0.317044,0.603881
코피,일주일,4,4.551292,0.56558,0.139374
입술,포진,4,6.551292,0.814116,0.8
마그네슘,며칠,4,1.796405,0.223236,0.696371
마그네슘,새벽,4,1.211442,0.150543,0.72247
미세,과립,4,3.743937,0.465252,0.589768
최근,며칠,4,5.551292,0.689848,0.851127
마그네슘,자지,3,1.381367,0.16324,0.520671
대비,유지,3,6.136255,0.72514,0.954545
대비,성능,3,6.136255,0.72514,0.954545
요새,자지,3,6.136255,0.72514,0.615457
잠도,자지,3,6.136255,0.72514,0.666667
성능,유지,3,6.136255,0.72514,0.954545
마그네슘,기한,3,1.381367,0.16324,0.599041
마그네슘,조합,3,1.381367,0.16324,0.678098
소비,기한,3,6.136255,0.72514,0.5
마그네슘,불면증,3,1.381367,0.16324,0.682151
칼슘,미세,3,1.3289,0.15704,0.375
마그네슘,컨디션,3,1.381367,0.16324,0.656176
마그네슘,소비,3,1.381367,0.16324,0.599041
마그네슘,어젯밤,3,1.381367,0.16324,0.681686
마그네슘,역시,3,1.381367,0.16324,0.779397
마그네슘,피로,3,0.059439,0.007024,0.669539
조합,포만,3,6.136255,0.72514,0.565217
이완,수면,3,5.136255,0.606967,0.213504
마그네슘,예전,3,0.381367,0.045067,0.682656
도펠,헤르츠,3,4.96633,0.586887,0.489116
칼슘,포만,3,3.136255,0.370621,0.565194
마그네슘,잠도,3,1.381367,0.16324,0.520671
마그네슘,들어가,3,0.796405,0.094114,0.620597
요새,잠도,3,6.136255,0.72514,0.615457
네이처,스웨,2,5.551292,0.613597,0.733333
마그네슘,사람,2,0.796405,0.088028,0.609741
나중,현재,2,5.551292,0.613597,0.630893
마그네슘,포로,2,0.796405,0.088028,0.606824
칼슘,컴팩트,2,2.551292,0.282,0.582695
칼슘,사실,2,2.551292,0.282,0.519701
칼슘,저녁,2,2.551292,0.282,0.528787
편차,나중,2,5.551292,0.613597,0.367884
마그네슘,칼디,2,0.796405,0.088028,0.657337
칼슘,다니다,2,1.96633,0.217343,0.598444
마그네슘,네이처,2,0.796405,0.088028,0.522151
마그네슘,스웨,2,0.796405,0.088028,0.522151
사탕,입안,2,5.551292,0.613597,0.518563
저녁,사실,2,5.551292,0.613597,0.713024
힘나다,구내염,2,5.551292,0.613597,0.632456
칼슘,코피,2,1.551292,0.171468,0.225668
칼슘,독일,2,1.229364,0.135885,0.723943
컴팩트,음료,2,5.551292,0.613597,0.084515
마그네슘,요새,2,0.796405,0.088028,0.431152
마그네슘,비타민D,2,0.796405,0.088028,0.683203
마그네슘,미니,2,0.796405,0.088028,0.495291
마그네슘,의사,2,0.796405,0.088028,0.599041
의사,완전,2,5.551292,0.613597,0.608581
마그네슘,포만,2,0.796405,0.088028,0.609719
마그네슘,컴팩트,2,0.796405,0.088028,0.628122
칼슘,포로,2,2.551292,0.282,0.654224
미세,사탕,2,3.743937,0.413826,0.604743
미세,입안,2,3.743937,0.413826,0.548795
메이드,유산균,2,5.551292,0.613597,0.526235
유산균,비교,2,5.551292,0.613597,0.667124
메이드,비교,2,5.551292,0.613597,0.507093
오른쪽,이틀,2,5.551292,0.613597,0.596285
오른쪽,이후,2,5.551292,0.613597,0.521749
개인,편차,2,5.551292,0.613597,0.507093
이틀,이후,2,5.551292,0.613597,0.666667
이틀,반복,2,5.551292,0.613597,0.521749
이후,반복,2,5.551292,0.613597,0.596285
칼슘,이완,2,1.551292,0.171468,0.374228
칼슘,일주일,2,1.551292,0.171468,0.15097
칼슘,성장기,2,2.551292,0.282,0.242241
칼슘,조합,2,2.551292,0.282,0.712636
들어가다,미니,2,4.96633,0.54894,0.635851
들어가,미니,2,4.96633,0.54894,0.706417
구미,고맙,2,4.381367,0.484283,0.272166
들어가다,어디,2,4.96633,0.54894,0.47194
입자,음료,2,4.96633,0.54894,0.119523
우선,일상,2,4.96633,0.54894,0.338062
예정,새끼,2,4.551292,0.503065,0.765216
칼슘,역시,2,2.551292,0.282,0.722222
독일,완전,2,4.229364,0.467482,0.33197
독일,의사,2,4.229364,0.467482,0.639763
독일,헤르츠,2,3.644402,0.402824,0.456859
독일,커서,2,4.229364,0.467482,0.0
미세,포로,2,3.743937,0.413826,0.620752
칼슘,완전,2,2.551292,0.282,0.289076
칼슘,의사,2,2.551292,0.282,0.625
칼슘,칼디,2,2.551292,0.282,0.598444
호주,스웨,2,4.551292,0.503065,0.698297
코피,성장기,2,4.551292,0.503065,0.440386
코피,유산균,2,4.551292,0.503065,0.386244
코피,비교,2,4.551292,0.503065,0.465242
일주일,편차,2,4.551292,0.503065,0.42796
일주일,개인,2,4.551292,0.503065,0.303822
일주일,나중,2,4.551292,0.503065,0.367359
일주일,현재,2,4.551292,0.503065,0.240192
우선,자신,2,4.96633,0.54894,0.377964
이완,잡다,2,4.551292,0.503065,0.427008
타입,들어가,2,3.96633,0.438408,0.432121
최근,어젯밤,2,4.551292,0.503065,0.847548
타입,일반,2,4.551292,0.503065,0.068041
타입,미니,2,4.551292,0.503065,0.421464
타입,입안,2,4.551292,0.503065,0.495074
호주,네이처,2,4.551292,0.503065,0.698297
예정,나중,2,4.551292,0.503065,0.220589
예정,현재,2,4.551292,0.503065,0.274721
예전,신경,2,3.551292,0.392533,0.579148
예전,저녁,2,4.551292,0.503065,0.582552
이완,사실,2,4.551292,0.503065,0.514345
이완,저녁,2,4.551292,0.503065,0.513436
며칠,어젯밤,2,5.551292,0.613597,0.73605
잡다,수면,2,5.551292,0.613597,0.461538
마그네슘,들어가다,2,0.211442,0.023371,0.512721
캔디,일반,2,5.551292,0.613597,0.0
언제,출근길,2,5.551292,0.613597,0.746203
장점,일상,2,5.551292,0.613597,0.33541
어젯밤,컨디션,2,5.551292,0.613597,0.517088
마그네슘,도펠,2,0.211442,0.023371,0.476482
마그네슘,다니다,2,0.211442,0.023371,0.650033
마그네슘,헤르츠,2,0.211442,0.023371,0.541853
마그네슘,이완,1,-1.203595,-0.119795,0.331336
마그네슘,구미,1,-0.788558,-0.078486,0.228711
마그네슘,고맙다,1,-0.788558,-0.078486,0.239868
마그네슘,이틀,1,-0.203595,-0.020264,0.225795
마그네슘,이후,1,-0.203595,-0.020264,0.239907
마그네슘,반복,1,-0.203595,-0.020264,0.284002
언제,장점,1,4.551292,0.452995,0.533002
출근길,장점,1,4.551292,0.452995,0.625
출근길,일상,1,4.551292,0.452995,0.223607
일상,자신,1,4.551292,0.452995,0.447214
자고,며칠,1,4.551292,0.452995,0.348743
자고,어젯밤,1,4.551292,0.452995,0.527645
자고,컨디션,1,4.551292,0.452995,0.514496
컨디션,사람,1,4.551292,0.452995,0.585018
사람,잡다,1,4.551292,0.452995,0.334497
예정,이후,1,3.551292,0.353464,0.141865
예정,사라지다,1,3.551292,0.353464,0.259587
예정,사라지,1,3.551292,0.353464,0.259587
예전,이완,1,2.551292,0.253933,0.585517
예전,들어가다,1,2.96633,0.295242,0.546231
예전,사실,1,3.551292,0.353464,0.727533
예전,자고,1,3.551292,0.353464,0.283069
예전,사람,1,3.551292,0.353464,0.386244
예전,잡다,1,3.551292,0.353464,0.399704
과립,타입,1,2.551292,0.253933,0.29794
과립,우선,1,2.96633,0.295242,0.278639
과립,상큼,1,3.551292,0.353464,0.340503
과립,사탕,1,3.551292,0.353464,0.668734
과립,입안,1,3.551292,0.353464,0.606866
과립,포로,1,3.551292,0.353464,0.538382
타입,다니다,1,2.96633,0.295242,0.109109
타입,들어가다,1,2.96633,0.295242,0.348155
타입,사탕,1,3.551292,0.353464,0.381881
타입,어디,1,3.551292,0.353464,0.516398
타입,언제,1,3.551292,0.353464,0.307729
타입,출근길,1,3.551292,0.353464,0.216506
신경,들어가다,1,2.96633,0.295242,0.59585
신경,예민하다,1,3.551292,0.353464,0.759326
신경,자고,1,3.551292,0.353464,0.581238
신경,잡다,1,3.551292,0.353464,0.455961
호주,구미,1,2.96633,0.295242,0.448543
호주,고맙다,1,2.96633,0.295242,0.517549
도펠,새벽,1,3.381367,0.336551,0.635851
도펠,이후,1,3.96633,0.394773,0.23694
도펠,반복,1,3.96633,0.394773,0.463586
도펠,판매,1,3.96633,0.394773,0.520266
코피,메이드,1,3.551292,0.353464,0.660578
일주일,메이드,1,3.551292,0.353464,0.202548
일주일,사라지다,1,3.551292,0.353464,0.544705
일주일,사라지,1,3.551292,0.353464,0.544705
예정,오른쪽,1,3.551292,0.353464,0.317221
예정,이틀,1,3.551292,0.353464,0.212798
도펠,칼디,1,3.96633,0.394773,0.490511
헤르츠,새벽,1,3.381367,0.336551,0.590909
헤르츠,반복,1,3.96633,0.394773,0.307729
헤르츠,판매,1,3.96633,0.394773,0.564076
헤르츠,칼디,1,3.96633,0.394773,0.569803
정신,힘나다,1,3.96633,0.394773,0.4
다니다,컴팩트,1,3.96633,0.394773,0.714286
다니다,음료,1,3.96633,0.394773,0.253546
다니다,상큼,1,3.96633,0.394773,0.109109
다니다,일반,1,3.96633,0.394773,0.178174
입자,상큼,1,3.96633,0.394773,0.46291
우선,사탕,1,3.96633,0.394773,0.214286
우선,판매,1,3.96633,0.394773,0.303046
우선,칼디,1,3.96633,0.394773,0.214286
우선,장점,1,3.96633,0.394773,0.377964
들어가다,사람,1,3.96633,0.394773,0.514259
들어가다,잡다,1,3.96633,0.394773,0.413919
들어가,입안,1,3.96633,0.394773,0.46676
들어가,사람,1,3.96633,0.394773,0.522233
구미,네이처,1,3.96633,0.394773,0.527046
구미,스웨,1,3.96633,0.394773,0.527046
고맙다,네이처,1,3.96633,0.394773,0.632456
고맙다,스웨,1,3.96633,0.394773,0.632456
고맙,비타민D,1,3.96633,0.394773,0.222222
미세,의사,1,2.743937,0.273107,0.466667
미세,완전,1,2.743937,0.273107,0.511208
미세,캔디,1,2.743937,0.273107,0.267261
피로,들어가,1,2.644402,0.2632,0.673575
