term,freq
마그네슘,54
칼슘,16
미세,7
사무실,6
피로,5
독일,5
코피,4
일주일,4
손톱,4
예정,4
예전,4
이완,4
과립,4
타입,4
신경,4
최근,4
호주,4
도펠,3
헤르츠,3
정신,3
새벽,3
다니다,3
입자,3
우선,3
들어가다,3
들어가,3
구미,3
고맙다,3
고맙,3
최저,2
성장기,2
메이드,2
유산균,2
비교,2
새끼,2
오른쪽,2
이틀,2
이후,2
반복,2
커서,2
개인,2
편차,2
사라지다,2
나중,2
현재,2
사라지,2
근육통,2
요새,2
잠도,2
자지,2
대비,2
성능,2
유지,2
불면증,2
눈꺼풀,2
힘나다,2
구내염,2
수포,2
입술,2
포진,2
저녁,2
사실,2
긴장,2
예민하다,2
컴팩트,2
음료,2
상큼,2
비타민D,2
사탕,2
입안,2
어디,2
미니,2
의사,2
완전,2
조합,2
역시,2
포만,2
판매,2
칼디,2
포로,2
캔디,2
일반,2
언제,2
출근길,2
장점,2
일상,2
자신,2
자고,2
며칠,2
어젯밤,2
컨디션,2
사람,2
잡다,2
동생,2
소비,2
기한,2
수면,2
네이처,2
스웨,2
아래,2
