term,log_odds,z,k_cat,k_other
친구,2.318130018440546,4.169927879330309,6,7
동생,3.158497485403803,3.654706493548016,4,2
치아,2.754466843107224,3.6118060984876257,4,3
구미,1.0932435469850796,3.3884905881595753,12,48
완전,2.0623060118187544,3.198369750532842,4,6
달콤하다,2.868992463906819,3.1496248289640367,3,2
허다,3.5574020899892416,3.0935978983460273,3,1
타입,1.9081675705150634,3.0475925885219586,4,7
모양,1.7745889708203162,2.9009082192757414,4,8
아들,2.1778853226807255,2.8557611829487284,3,4
봉투,1.955015261742684,2.6808040975347804,3,5
안되다,3.1509498986899525,2.5834302581760866,2,1
참고,3.1509498986899525,2.5834302581760866,2,1
대다,3.1509498986899525,2.5834302581760866,2,1
오후,3.1509498986899525,2.5834302581760866,2,1
내사,3.1509498986899525,2.5834302581760866,2,1
종이가방,3.1509498986899525,2.5834302581760866,2,1
전환,3.1509498986899525,2.5834302581760866,2,1
지게,3.1509498986899525,2.5834302581760866,2,1
베리,2.46254027260753,2.468688947029382,2,2
예상,2.46254027260753,2.468688947029382,2,2
수고,2.46254027260753,2.468688947029382,2,2
주시,2.46254027260753,2.468688947029382,2,2
백도,2.46254027260753,2.468688947029382,2,2
다양하다,2.46254027260753,2.468688947029382,2,2
어머님,2.46254027260753,2.468688947029382,2,2
발견,2.46254027260753,2.468688947029382,2,2
주니,2.46254027260753,2.468688947029382,2,2
정해진,2.46254027260753,2.468688947029382,2,2
국내,2.058509630310951,2.2598640895208453,2,3
생활,2.058509630310951,2.2598640895208453,2,3
오리진,2.058509630310951,2.2598640895208453,2,3
시간,1.4850839493233323,2.1966441737927616,3,8
종일,1.7714331313814364,2.0497303537723552,2,4
알다,1.7714331313814364,2.0497303537723552,2,4
전달,1.7714331313814364,2.0497303537723552,2,4
이틀,1.7714331313814364,2.0497303537723552,2,4
일단,1.7714331313814364,2.0497303537723552,2,4
명절,1.2617388850927123,1.9193946593377518,3,10
통째,1.5485630704433948,1.8547152109733953,2,5
미리,1.5485630704433948,1.8547152109733953,2,5
마치,2.4601256601060886,1.7482477579204188,1,1
젖다,2.4601256601060886,1.7482477579204188,1,1
고르,2.4601256601060886,1.7482477579204188,1,1
영양성분,2.4601256601060886,1.7482477579204188,1,1
무난,2.4601256601060886,1.7482477579204188,1,1
고르다,2.4601256601060886,1.7482477579204188,1,1
번거롭다,2.4601256601060886,1.7482477579204188,1,1
쫄깃,2.4601256601060886,1.7482477579204188,1,1
주기,2.4601256601060886,1.7482477579204188,1,1
