term_i,term_j,co_count,pmi,npmi,cosine
구미,랜드,6,2.480958,0.343509,0.364309
구미,모양,4,2.480958,0.317772,0.159957
감기,예방,4,6.065921,0.77695,0.8
구미,허다,4,2.895996,0.370932,0.375488
구미,평소,4,3.480958,0.445856,0.263916
아침,조깅,4,5.065921,0.648865,0.622799
아들,키즈,4,5.480958,0.702025,0.730297
소모,동생,4,4.065921,0.520781,0.472431
감귤,오리진,4,5.065921,0.648865,0.724165
마라톤,참가,3,5.650883,0.687255,0.954545
마라톤,대회,3,5.650883,0.687255,0.954545
구미,아침,3,2.065921,0.251255,0.15038
대회,참가,3,5.650883,0.687255,0.954545
감귤,별도,3,4.650883,0.565636,0.748845
감귤,엔젤,3,4.650883,0.565636,0.744208
봉투,안주,3,5.065921,0.616113,0.8
감귤,분도,3,4.650883,0.565636,0.595465
랜드,허다,3,3.480958,0.423351,0.703211
구미,통째,3,3.065921,0.372875,0.143756
구미,내사,3,3.065921,0.372875,0.32323
물놀이,종일,3,5.650883,0.687255,0.357143
랜드,이상,3,4.065921,0.494494,0.589165
베리,정이,2,5.065921,0.575192,0.666973
직장,의사,2,5.065921,0.575192,0.617213
분도,의사,2,5.065921,0.575192,0.566947
별도,분도,2,5.065921,0.575192,0.731925
구미,시간,2,1.895996,0.215274,0.138527
구미,동생,2,1.480958,0.16815,0.383452
정이,이전,2,5.065921,0.575192,0.626224
치아,시댁,2,4.065921,0.461651,0.362933
치아,설날,2,4.065921,0.461651,0.324918
치아,타입,2,3.065921,0.348109,0.219971
모양,라즈베리,2,4.065921,0.461651,0.290957
모양,평소,2,4.065921,0.461651,0.538748
모양,예상,2,4.065921,0.461651,0.283197
모양,샛별,2,4.065921,0.461651,0.460195
모양,발견,2,4.065921,0.461651,0.453632
엔젤,오리진,2,5.065921,0.575192,0.7298
당황,고지,2,5.065921,0.575192,0.447214
신경,고지,2,5.065921,0.575192,0.447214
종이가방,주니,2,5.065921,0.575192,0.632456
회사,직원,2,5.065921,0.575192,0.617213
한국인,함유,2,5.065921,0.575192,0.597614
사무실,함유,2,5.065921,0.575192,0.518563
사무실,한국인,2,5.065921,0.575192,0.759257
샴푸,한국인,2,5.065921,0.575192,0.447214
샴푸,사무실,2,5.065921,0.575192,0.485071
센스,타입,2,3.065921,0.348109,0.204124
완전,보이,2,4.065921,0.461651,0.314485
완전,최고,2,4.065921,0.461651,0.32686
모양,검색,2,4.065921,0.461651,0.385164
분도,직장,2,5.065921,0.575192,0.641533
별도,직장,2,5.065921,0.575192,0.537853
운동,생활,2,3.743993,0.425098,0.497468
운동,기전,2,3.743993,0.425098,0.666667
랜드,내사,2,3.480958,0.395233,0.696143
운동,개인,2,3.743993,0.425098,0.666667
랜드,동생,2,2.480958,0.281692,0.50978
친구,직원,2,3.480958,0.395233,0.396059
친구,회사,2,3.480958,0.395233,0.412514
치아,붙다,2,4.065921,0.461651,0.487377
후반,초반,2,5.065921,0.575192,0.4
어머님,초반,2,5.065921,0.575192,0.608581
어머님,아버님,2,5.065921,0.575192,0.377964
초반,아버님,2,5.065921,0.575192,0.552052
아버님,지방,2,5.065921,0.575192,0.370625
지방,나트륨,2,5.065921,0.575192,0.560449
고급,지게,2,5.065921,0.575192,0.46225
치아,회사,2,4.065921,0.461651,0.384012
완전,나트륨,2,4.065921,0.461651,0.283069
완전,제격,2,4.065921,0.461651,0.489535
완전,칭찬,2,4.065921,0.461651,0.413919
센스,고급,2,4.065921,0.461651,0.11094
타입,한국인,2,4.065921,0.461651,0.456435
대다,어머님,2,5.065921,0.575192,0.800327
대다,후반,2,5.065921,0.575192,0.751469
후반,어머님,2,5.065921,0.575192,0.608581
소모,오후,2,4.065921,0.461651,0.433224
동생,이전,2,4.065921,0.461651,0.551819
소모,생활,2,4.065921,0.461651,0.379071
설날,시댁,2,5.065921,0.575192,0.609272
주시,수고,2,5.065921,0.575192,0.46225
전달,수고,2,5.065921,0.575192,0.404226
전달,주시,2,5.065921,0.575192,0.605406
이틀,주시,2,5.065921,0.575192,0.302614
이틀,전달,2,5.065921,0.575192,0.476331
국내,전달,2,5.065921,0.575192,0.294118
센스,보이,2,4.065921,0.461651,0.587975
센스,칭찬,2,4.065921,0.461651,0.361814
센스,제격,2,4.065921,0.461651,0.27735
아침,시간,2,3.480958,0.395233,0.465242
감귤,달콤하다,2,3.480958,0.395233,0.541491
타입,함유,2,4.065921,0.461651,0.545545
참고,일주일,2,5.065921,0.575192,0.648204
참고,국내,2,5.065921,0.575192,0.470588
참고,이틀,2,5.065921,0.575192,0.423405
일주일,국내,2,5.065921,0.575192,0.583383
일주일,이틀,2,5.065921,0.575192,0.524891
국내,이틀,2,5.065921,0.575192,0.688033
제이니,정해진,2,5.065921,0.575192,0.666667
용법,참고,2,5.065921,0.575192,0.25049
샛별,예상,2,5.065921,0.575192,0.578947
예상,제이니,2,5.065921,0.575192,0.651584
검색,샛별,2,5.065921,0.575192,0.509028
발견,샛별,2,5.065921,0.575192,0.613139
검색,발견,2,5.065921,0.575192,0.667124
