term,freq
구미,12
친구,6
랜드,6
운동,5
모양,4
치아,4
완전,4
센스,4
타입,4
감귤,4
소모,4
동생,4
아침,4
시간,3
달콤하다,3
명절,3
봉투,3
아들,3
허다,3
검색,2
발견,2
샛별,2
예상,2
안되다,2
제이니,2
정해진,2
용법,2
참고,2
일주일,2
국내,2
이틀,2
전달,2
주시,2
수고,2
알다,2
초과,2
일단,2
설날,2
시댁,2
붙다,2
대다,2
후반,2
어머님,2
초반,2
아버님,2
지방,2
나트륨,2
백도,2
제격,2
미리,2
칭찬,2
최고,2
보이,2
고급,2
지게,2
샴푸,2
사무실,2
한국인,2
함유,2
회사,2
직원,2
고향,2
종이가방,2
신경,2
당황,2
고지,2
안주,2
전환,2
엔젤,2
오리진,2
별도,2
분도,2
직장,2
의사,2
감기,2
예방,2
키즈,2
다양하다,2
마라톤,2
대회,2
참가,2
개인,2
생활,2
오후,2
피곤하다,2
기력,2
피곤,2
조깅,2
물놀이,2
종일,2
기전,2
평소,2
라즈베리,2
베리,2
정이,2
이전,2
이상,2
내사,2
주니,2
통째,2
