term,log_odds,z,k_cat,k_other
유산균,4.154556941212703,7.201897795041584,6,6
공복,3.7233649748519007,5.7744572519853525,4,6
덴프스,4.51962887783,4.96171931798374,3,2
도전,3.4118929150351964,3.9479110714806924,2,4
기존,3.4118929150351964,3.9479110714806924,2,4
한결,4.090493589299233,2.9068418586275984,1,1
거슬리다,4.090493589299233,2.9068418586275984,1,1
만들다,4.090493589299233,2.9068418586275984,1,1
새롭다,4.090493589299233,2.9068418586275984,1,1
작고,3.402098219159539,2.7893440909098257,1,2
간단하다,3.402098219159539,2.7893440909098257,1,2
진심,3.402098219159539,2.7893440909098257,1,2
가볍다,3.402098219159539,2.7893440909098257,1,2
유명하다,3.402098219159539,2.7893440909098257,1,2
가요,3.402098219159539,2.7893440909098257,1,2
바쁘다,2.9980818390263613,2.607200266278978,1,3
속이다,2.9980818390263613,2.607200266278978,1,3
들어서다,2.9980818390263613,2.607200266278978,1,3
바꾸다,2.711019608484998,2.43508246540872,1,4
바꾸,2.711019608484998,2.43508246540872,1,4
다니다,2.4881638221639326,2.281183782196579,1,5
지다,2.4881638221639326,2.281183782196579,1,5
다르다,2.4881638221639326,2.281183782196579,1,5
사먹다,2.4881638221639326,2.281183782196579,1,5
원료,2.4881638221639326,2.281183782196579,1,5
아침,1.3366008123262083,2.249472013798611,3,48
기도,2.305963831592904,2.1442817931127744,1,6
며칠,2.305963831592904,2.1442817931127744,1,6
장점,1.9004197695018572,1.8110846980941944,1,9
상큼,1.324061025990626,1.2905789497490239,1,16
화장실,9.823355699230117,0.9807078379515604,3,0
덴마크,9.406698347109854,0.9383385552043774,2,0
허브,9.406698347109854,0.9383385552043774,2,0
냉장,9.406698347109854,0.9383385552043774,2,0
알도,8.705825040559656,0.8663044314630899,1,0
은근,8.705825040559656,0.8663044314630899,1,0
튼튼하다,8.705825040559656,0.8663044314630899,1,0
워낙,8.705825040559656,0.8663044314630899,1,0
장이,8.705825040559656,0.8663044314630899,1,0
정리,8.705825040559656,0.8663044314630899,1,0
이야기,8.705825040559656,0.8663044314630899,1,0
신뢰,8.705825040559656,0.8663044314630899,1,0
찾아보다,8.705825040559656,0.8663044314630899,1,0
시큼하다,8.705825040559656,0.8663044314630899,1,0
이신,-0.5371568496471681,-0.053451724227412206,0,1
미치다,-0.5371568496471681,-0.053451724227412206,0,1
물어보,-0.5371568496471681,-0.053451724227412206,0,1
위자,-0.5371568496471681,-0.053451724227412206,0,1
스며들,-0.5371568496471681,-0.053451724227412206,0,1
거르지않,-0.5371568496471681,-0.053451724227412206,0,1
