term_i,term_j,co_count,pmi,npmi,cosine
유산균,공복,3,0.815008,0.124342,0.651339
유산균,도전,3,1.815008,0.276907,0.86164
공복,아침,3,1.815008,0.276907,0.472456
공복,도전,3,2.399971,0.366151,0.724432
공복,튼튼하다,2,2.815008,0.394284,0.617213
덴프스,덴마크,2,2.230046,0.312351,0.560449
공복,지다,2,2.815008,0.394284,0.634335
아침,튼튼하다,2,3.230046,0.452416,0.544331
화장실,가요,2,3.230046,0.452416,0.46291
화장실,바꾸,2,3.230046,0.452416,0.356348
아침,지다,2,3.230046,0.452416,0.580948
화장실,허브,2,2.230046,0.312351,0.483046
냉장,기도,2,3.815008,0.534348,0.774597
냉장,다니다,2,3.815008,0.534348,0.774597
유산균,진심,1,1.230046,0.15112,0.452267
유산균,새롭다,1,1.230046,0.15112,0.753778
유산균,덴마크,1,0.230046,0.028263,0.418121
유산균,찾아보다,1,1.230046,0.15112,0.522233
유산균,이야기,1,1.230046,0.15112,0.492366
유산균,장점,1,1.230046,0.15112,0.40452
유산균,덴프스,1,-0.354917,-0.043604,0.348155
덴프스,찾아보다,1,2.230046,0.273977,0.5
공복,새롭다,1,1.815008,0.222986,0.694365
공복,다르다,1,1.815008,0.222986,0.534522
공복,장이,1,1.815008,0.222986,0.62361
유산균,신뢰,1,1.230046,0.15112,0.43082
덴프스,가볍다,1,2.230046,0.273977,0.235702
덴프스,원료,1,2.230046,0.273977,0.471405
덴프스,이야기,1,2.230046,0.273977,0.353553
아침,간단하다,1,2.230046,0.273977,0.25
아침,이야기,1,2.230046,0.273977,0.166667
덴프스,만들다,1,2.230046,0.273977,0.353553
아침,바쁘다,1,2.230046,0.273977,0.333333
아침,은근,1,2.230046,0.273977,0.166667
아침,거슬리다,1,2.230046,0.273977,0.25
덴프스,정리,1,2.230046,0.273977,0.471405
덴프스,들어서다,1,2.230046,0.273977,0.589256
아침,장이,1,2.230046,0.273977,0.589256
아침,시큼하다,1,2.230046,0.273977,0.333333
화장실,은근,1,2.230046,0.273977,0.178174
화장실,상큼,1,2.230046,0.273977,0.267261
화장실,속이다,1,2.230046,0.273977,0.267261
화장실,가볍다,1,2.230046,0.273977,0.178174
화장실,며칠,1,2.230046,0.273977,0.356348
화장실,한결,1,2.230046,0.273977,0.356348
화장실,작고,1,2.230046,0.273977,0.534522
화장실,알도,1,2.230046,0.273977,0.39036
화장실,바꾸다,1,2.230046,0.273977,0.534522
덴마크,찾아보다,1,2.815008,0.345843,0.480384
덴마크,이야기,1,2.815008,0.345843,0.452911
덴마크,간단하다,1,2.815008,0.345843,0.226455
유산균,바쁘다,1,1.230046,0.15112,0.369274
유산균,간단하다,1,1.230046,0.15112,0.43082
덴마크,들어서다,1,2.815008,0.345843,0.452911
덴마크,정리,1,2.815008,0.345843,0.339683
덴마크,원료,1,2.815008,0.345843,0.566139
덴마크,만들다,1,2.815008,0.345843,0.452911
허브,알도,1,2.815008,0.345843,0.707107
허브,작고,1,2.815008,0.345843,0.774597
덴마크,신뢰,1,2.815008,0.345843,0.339683
허브,사먹다,1,2.815008,0.345843,0.474342
허브,가요,1,2.815008,0.345843,0.782624
허브,바꾸다,1,2.815008,0.345843,0.774597
허브,바꾸,1,2.815008,0.345843,0.645497
도전,다르다,1,2.815008,0.345843,0.707107
