term,log_odds,z,k_cat,k_other
비타민 c,4.0137546044093115,3.7712326790633344,7,1
친구,1.919187689103481,3.4522974064430665,6,7
은단,2.2945880362174034,3.4244632142115403,5,4
완전,2.0717093791772028,3.2789341680164656,5,5
타입,1.8894865077039746,3.123266886651475,5,6
치아,2.3571725111929442,3.0908522541916303,4,3
상큼,1.466784519797793,2.8921275030137394,6,11
일반,1.6649858915952773,2.582177659486112,4,6
종류,1.6649858915952773,2.582177659486112,4,6
나이,1.6649858915952773,2.582177659486112,4,6
알다,2.068468844446775,2.5375653405326726,3,3
기한,1.7813837533625367,2.335846851902413,3,4
안되다,2.7552718498526465,2.2590180406770504,2,1
지키,2.7552718498526465,2.2590180406770504,2,1
전환,2.7552718498526465,2.2590180406770504,2,1
드니,2.7552718498526465,2.2590180406770504,2,1
지게,2.7552718498526465,2.2590180406770504,2,1
식후,2.7552718498526465,2.2590180406770504,2,1
가요,2.7552718498526465,2.2590180406770504,2,1
오랜만,2.7552718498526465,2.2590180406770504,2,1
봉투,1.5585050963223361,2.1370916790314367,3,5
레몬,2.0668536395022157,2.0720143307803576,2,2
발견,2.0668536395022157,2.0720143307803576,2,2
수고,2.0668536395022157,2.0720143307803576,2,2
어머님,2.0668536395022157,2.0720143307803576,2,2
내용물,2.0668536395022157,2.0720143307803576,2,2
다르,2.0668536395022157,2.0720143307803576,2,2
정해진,2.0668536395022157,2.0720143307803576,2,2
비타민 d,2.0668536395022157,2.0720143307803576,2,2
상자,2.0668536395022157,2.0720143307803576,2,2
속도,2.0668536395022157,2.0720143307803576,2,2
신랑,2.0668536395022157,2.0720143307803576,2,2
요건,2.0668536395022157,2.0720143307803576,2,2
예상,2.0668536395022157,2.0720143307803576,2,2
주변,2.0668536395022157,2.0720143307803576,2,2
구비,2.0668536395022157,2.0720143307803576,2,2
여행가,2.0668536395022157,2.0720143307803576,2,2
작년,2.0668536395022157,2.0720143307803576,2,2
체내,2.0668536395022157,2.0720143307803576,2,2
지키다,2.0668536395022157,2.0720143307803576,2,2
주시,2.0668536395022157,2.0720143307803576,2,2
국내,1.6628144089956276,1.8254636826058555,2,3
번창,1.6628144089956276,1.8254636826058555,2,3
달콤하다,1.6628144089956276,1.8254636826058555,2,3
오리진,1.6628144089956276,1.8254636826058555,2,3
고급,1.2221351795402216,1.7734854982030712,3,7
의사,1.0885479718846733,1.6101127221958769,3,8
소비,1.3757293179113894,1.5918603370020854,2,4
안심,1.3757293179113894,1.5918603370020854,2,4
등교,1.3757293179113894,1.5918603370020854,2,4
