term_i,term_j,co_count,pmi,npmi,cosine
상큼,피로,4,3.810831,0.494662,0.681005
피곤하다,피곤,4,3.225869,0.418732,0.197028
감귤,오리진,4,5.395794,0.700397,0.785868
은단,골드,3,3.658828,0.450653,0.82734
초등,복숭아,3,3.980756,0.490305,0.758947
봉투,안주,3,5.395794,0.664593,0.8
감귤,엔젤,3,4.980756,0.613474,0.875595
친구,치아,2,2.810831,0.322939,0.39412
어머님,초반,2,5.395794,0.619928,0.612056
엔젤,오리진,2,5.395794,0.619928,0.770675
아버님,지방,2,5.395794,0.619928,0.467707
초반,아버님,2,5.395794,0.619928,0.545705
어머님,아버님,2,5.395794,0.619928,0.344124
지방,나트륨,2,5.395794,0.619928,0.592999
순간,주변,2,5.395794,0.619928,0.322329
순간,구비,2,5.395794,0.619928,0.571429
레몬,구비,2,5.395794,0.619928,0.322329
레몬,순간,2,5.395794,0.619928,0.483494
증진,여행가,2,5.395794,0.619928,0.5547
확률,여행가,2,5.395794,0.619928,0.381771
확률,증진,2,5.395794,0.619928,0.573539
장기간,확률,2,5.395794,0.619928,0.378517
타입,함유,2,4.073865,0.46805,0.545545
타입,한국인,2,4.073865,0.46805,0.456435
타입,센스,2,3.073865,0.353159,0.204124
타입,치아,2,3.073865,0.353159,0.216506
친구,직원,2,3.810831,0.43783,0.396059
친구,회사,2,3.810831,0.43783,0.412514
친구,한국인,2,3.810831,0.43783,0.536875
친구,사무실,2,3.810831,0.43783,0.499134
친구,샴푸,2,3.810831,0.43783,0.342997
과일,장기간,2,5.395794,0.619928,0.669439
병원,장기간,2,5.395794,0.619928,0.444444
병원,과일,2,5.395794,0.619928,0.608581
입안,병원,2,5.395794,0.619928,0.555556
저하,병원,2,5.395794,0.619928,0.444444
저하,입안,2,5.395794,0.619928,0.722222
드니,입안,2,5.395794,0.619928,0.608581
드니,저하,2,5.395794,0.619928,0.669439
리포좀,일반,2,3.073865,0.353159,0.0
친구,타입,2,2.488903,0.285952,0.595119
피곤,골드,2,2.810831,0.322939,0.322329
후반,초반,2,5.395794,0.619928,0.424437
후반,어머님,2,5.395794,0.619928,0.630893
설날,시댁,2,5.395794,0.619928,0.640513
구비,주변,2,5.395794,0.619928,0.483494
주시,수고,2,5.395794,0.619928,0.46225
완전,나트륨,2,4.073865,0.46805,0.26688
완전,제격,2,4.073865,0.46805,0.444444
완전,칭찬,2,4.073865,0.46805,0.406181
완전,최고,2,4.073865,0.46805,0.32075
완전,보이,2,4.073865,0.46805,0.308607
이틀,주시,2,5.395794,0.619928,0.248069
전달,수고,2,5.395794,0.619928,0.333333
일주일,국내,2,5.395794,0.619928,0.563602
감기,증진,2,4.395794,0.505037,0.521286
감기,장기간,2,4.395794,0.505037,0.73721
전달,주시,2,5.395794,0.619928,0.5547
국내,전달,2,5.395794,0.619928,0.242536
국내,이틀,2,5.395794,0.619928,0.650791
일주일,이틀,2,5.395794,0.619928,0.46188
이틀,전달,2,5.395794,0.619928,0.447214
은단,일반,2,3.073865,0.353159,0.70014
정해진,용법,2,5.395794,0.619928,0.647059
제이니,용법,2,5.395794,0.619928,0.529412
제이니,정해진,2,5.395794,0.619928,0.705882
