term,freq
비타민 c,7
피곤하다,6
상큼,6
피곤,6
친구,6
타입,5
완전,5
리포좀,5
은단,5
나이,4
감기,4
치아,4
센스,4
감귤,4
피로,4
일반,4
초등,4
복숭아,4
종류,4
골드,4
함량,4
참고,3
기한,3
알다,3
대다,3
고급,3
명절,3
봉투,3
의사,3
검색,2
발견,2
모양,2
샛별,2
예상,2
안되다,2
제이니,2
정해진,2
용법,2
지키다,2
일주일,2
국내,2
이틀,2
전달,2
주시,2
수고,2
지키,2
초과,2
일단,2
사서,2
약국,2
일등,2
다르,2
신랑,2
드니,2
저하,2
입안,2
병원,2
과일,2
장기간,2
확률,2
줄어들다,2
증진,2
여행가,2
레몬,2
순간,2
구비,2
주변,2
줄어들,2
식후,2
설날,2
시댁,2
달콤하다,2
붙다,2
후반,2
어머님,2
초반,2
아버님,2
지방,2
나트륨,2
제격,2
미리,2
칭찬,2
최고,2
비타민 d,2
보이,2
지게,2
샴푸,2
사무실,2
한국인,2
함유,2
회사,2
직원,2
고향,2
신경,2
당황,2
고지,2
안주,2
전환,2
엔젤,2
오리진,2
