term,log_odds,z,k_cat,k_other
아침,1.344755236885058,3.8144764720187174,10,41
에너지,2.3373143550699087,3.6248721033155613,4,6
회사,2.3373143550699087,3.6248721033155613,4,6
피곤하다,1.2743949515603181,3.2537273115440595,8,35
피곤,1.1397853825808109,2.9445066456401636,8,40
싫다,3.4243956831068605,2.8076255440887703,2,1
안좋다,3.4243956831068605,2.8076255440887703,2,1
적다,3.4243956831068605,2.8076255440887703,2,1
비슷하다,3.4243956831068605,2.8076255440887703,2,1
보라색,3.4243956831068605,2.8076255440887703,2,1
증상,2.7359902881332907,2.742821735192334,2,2
요새,2.7359902881332907,2.742821735192334,2,2
딸아이,2.7359902881332907,2.742821735192334,2,2
근육통,2.7359902881332907,2.742821735192334,2,2
일어나다,2.7359902881332907,2.742821735192334,2,2
성장기,2.7359902881332907,2.742821735192334,2,2
뒷맛,2.7359902881332907,2.742821735192334,2,2
발견,2.7359902881332907,2.742821735192334,2,2
일어나,2.7359902881332907,2.742821735192334,2,2
달다,2.33196387883428,2.560066443333216,2,3
생활,2.33196387883428,2.560066443333216,2,3
씹다,2.33196387883428,2.560066443333216,2,3
잠도,2.0448916147923164,2.3661499487399174,2,4
바라다,2.0448916147923164,2.3661499487399174,2,4
종일,2.0448916147923164,2.3661499487399174,2,4
동생,2.0448916147923164,2.3661499487399174,2,4
정신,2.0448916147923164,2.3661499487399174,2,4
제라,2.0448916147923164,2.3661499487399174,2,4
바라,2.0448916147923164,2.3661499487399174,2,4
도전,2.0448916147923164,2.3661499487399174,2,4
기존,2.0448916147923164,2.3661499487399174,2,4
분이,2.0448916147923164,2.3661499487399174,2,4
기력,1.639815757883472,2.012533582526501,2,6
약국,1.639815757883472,2.012533582526501,2,6
아파서,2.732807728479516,1.942024776057935,1,1
영양성분,2.732807728479516,1.942024776057935,1,1
거슬리다,2.732807728479516,1.942024776057935,1,1
엔젯,2.732807728479516,1.942024776057935,1,1
대요,2.732807728479516,1.942024776057935,1,1
무언가,2.732807728479516,1.942024776057935,1,1
참다,2.732807728479516,1.942024776057935,1,1
무난,2.732807728479516,1.942024776057935,1,1
나아지,2.732807728479516,1.942024776057935,1,1
나아지다,2.732807728479516,1.942024776057935,1,1
남다,2.732807728479516,1.942024776057935,1,1
비리다,2.732807728479516,1.942024776057935,1,1
힘나다,2.732807728479516,1.942024776057935,1,1
기르다,2.732807728479516,1.942024776057935,1,1
지인,1.4856815571448756,1.8568614546872249,2,7
새벽,1.352107199910277,1.7139239650876652,2,8
