term_i,term_j,co_count,pmi,npmi,cosine
피곤하다,피곤,6,2.697241,0.408372,0.286351
아침,조깅,4,3.790351,0.527183,0.898933
박카스,대체,4,5.112279,0.711044,0.948683
소모,동생,4,5.112279,0.711044,0.642575
제라,오독,4,6.112279,0.850129,0.790912
닥터,브라이언,4,6.112279,0.850129,0.8
입술,포진,4,6.112279,0.850129,0.801784
두통,평소,3,5.112279,0.672238,0.936382
물놀이,종일,3,5.697241,0.749158,0.357143
대회,참가,3,5.697241,0.749158,0.954545
마라톤,참가,3,5.697241,0.749158,0.954545
마라톤,대회,3,5.697241,0.749158,0.954545
평소,대서,3,5.697241,0.749158,0.755742
두통,대서,3,5.112279,0.672238,0.73983
기존,이용,3,5.697241,0.749158,0.666667
칼슘,도전,3,5.697241,0.749158,0.666667
기존,도전,3,5.697241,0.749158,0.666667
이용,도전,3,5.697241,0.749158,0.666667
기존,칼슘,3,5.697241,0.749158,0.666667
성장기,잠도,3,5.697241,0.749158,0.276026
칼슘,이용,3,5.697241,0.749158,0.666667
운동,생활,2,3.790351,0.462812,0.438763
구내염,젛은듯,2,6.112279,0.746326,0.774597
안좋다,입술,2,5.112279,0.624223,0.544331
오후,기력,2,4.527316,0.552798,0.166667
대인,증상,2,5.112279,0.624223,0.353553
일어나,쑤시,2,5.112279,0.624223,0.456435
발견,대인,2,5.112279,0.624223,0.377964
일어나다,근육통,2,5.112279,0.624223,0.503953
근육통,지인,2,5.112279,0.624223,0.568535
근육통,일어나,2,5.112279,0.624223,0.486864
일어나다,쑤시다,2,5.112279,0.624223,0.472456
대서,분이,2,5.112279,0.624223,0.369274
운동,기전,2,3.790351,0.462812,0.685994
소모,오후,2,3.527316,0.430695,0.381
소모,생활,2,4.112279,0.502121,0.379071
운동,개인,2,3.790351,0.462812,0.641689
바라다,성장기,2,5.112279,0.624223,0.377964
아침,지인,2,2.790351,0.340709,0.757576
아침,일어나다,2,2.790351,0.340709,0.671519
피곤하다,요새,2,3.112279,0.380018,0.617213
피곤,요새,2,3.112279,0.380018,0.659829
피곤,에너지,2,2.112279,0.257915,0.487316
피곤하다,종일,2,3.112279,0.380018,0.428571
아침,일어나,2,2.790351,0.340709,0.622799
피곤하다,물놀이,2,3.112279,0.380018,0.428571
피곤하다,에너지,2,2.112279,0.257915,0.455842
아침,근육통,2,2.790351,0.340709,0.710669
분이,잠도,2,5.112279,0.624223,0.298142
구내염,힘나다,2,6.112279,0.746326,0.774597
두통,분이,1,3.527316,0.383828,0.648181
두통,시간,1,3.527316,0.383828,0.408248
오후,정신,1,3.527316,0.383828,0.316228
에너지,관여,1,4.112279,0.447482,0.522233
에너지,요소,1,4.112279,0.447482,0.348155
에너지,핵심,1,4.112279,0.447482,0.435194
에너지,피로,1,4.112279,0.447482,0.476731
에너지,틈틈이,1,4.112279,0.447482,0.426401
피곤,기력,1,2.112279,0.22985,0.404061
소모,정신,1,3.112279,0.338666,0.481932
에너지,성의,1,4.112279,0.447482,0.522233
에너지,에너지음료,1,4.112279,0.447482,0.533002
에너지,양이,1,4.112279,0.447482,0.533002
에너지,음료,1,4.112279,0.447482,0.492366
피곤,소모,1,1.112279,0.121034,0.256579
피곤,오후,1,1.527316,0.166196,0.336718
피곤,물놀이,1,2.112279,0.22985,0.572703
피곤,종일,1,2.112279,0.22985,0.572703
피곤하다,오후,1,1.527316,0.166196,0.31497
피곤하다,소모,1,1.112279,0.121034,0.240008
피곤하다,개인,1,2.112279,0.22985,0.050508
피곤하다,기력,1,2.112279,0.22985,0.42521
아침,안좋다,1,1.790351,0.194819,0.435516
아침,쑤시,1,1.790351,0.194819,0.497468
아침,쑤시다,1,1.790351,0.194819,0.533002
운동,기력,1,2.790351,0.303635,0.342997
에너지,적다,1,3.112279,0.338666,0.492366
분이,바라다,1,4.112279,0.447482,0.408248
평소,분이,1,4.112279,0.447482,0.662122
바라다,잠도,1,4.112279,0.447482,0.821584
적다,에너지음료,1,5.112279,0.556298,0.57735
정신,차리,1,5.112279,0.556298,0.316228
정신,정신차리다,1,5.112279,0.556298,0.316228
정신,생활,1,4.112279,0.447482,0.40452
안좋다,지인,1,4.112279,0.447482,0.301511
안좋다,쑤시다,1,4.112279,0.447482,0.353553
안좋다,일어나다,1,4.112279,0.447482,0.445435
안좋다,포진,1,4.112279,0.447482,0.727393
적다,양이,1,5.112279,0.556298,0.57735
달다,씹다,1,4.112279,0.447482,0.133631
달다,노란색,1,5.112279,0.556298,0.288675
달다,모양,1,5.112279,0.556298,0.433013
달다,별거,1,5.112279,0.556298,0.57735
달다,무언가,1,5.112279,0.556298,0.57735
달다,사실,1,5.112279,0.556298,0.57735
달다,전환,1,5.112279,0.556298,0.474342
싫다,뒷맛,1,4.112279,0.447482,0.516398
씹다,과일,1,5.112279,0.556298,0.338062
씹다,상큼,1,5.112279,0.556298,0.169031
씹다,오독,1,4.112279,0.447482,0.494872
바라다,기르다,1,5.112279,0.556298,0.25
바라,잠도,1,4.112279,0.447482,0.149071
바라,기르다,1,5.112279,0.556298,0.408248
바라다,바라,1,4.112279,0.447482,0.408248
분이,성장기,1,4.112279,0.447482,0.617213
오후,노란색,1,4.527316,0.492644,0.19245
오후,심심하다,1,4.527316,0.492644,0.3849
오후,요소,1,4.527316,0.492644,0.3849
오후,핵심,1,4.527316,0.492644,0.288675
오후,사탕,1,4.527316,0.492644,0.288675
오후,성의,1,4.527316,0.492644,0.19245
오후,생활,1,3.527316,0.383828,0.355335
지인,일어나,1,4.112279,0.447482,0.622799
근육통,쑤시,1,4.112279,0.447482,0.5
쑤시다,근육통,1,4.112279,0.447482,0.5
쑤시다,약국,1,4.112279,0.447482,0.0
일어나다,지인,1,4.112279,0.447482,0.725241
싫다,츄어블,1,4.112279,0.447482,0.333333
개인,기력,1,4.112279,0.447482,0.400892
개인,생활,1,4.112279,0.447482,0.455842
달다,과일,1,5.112279,0.556298,0.474342
씹다,싫다,1,4.112279,0.447482,0.218218
씹다,츄어블,1,4.112279,0.447482,0.436436
씹다,제라,1,4.112279,0.447482,0.564076
비슷하다,증상,1,4.112279,0.447482,0.707107
대인,비슷하다,1,4.112279,0.447482,0.666667
약국,쑤시,1,4.112279,0.447482,0.0
약국,발견,1,4.112279,0.447482,0.0
츄어블,제라,1,4.112279,0.447482,0.369274
비슷하다,일어나,1,4.112279,0.447482,0.129099
증상,일어나,1,4.112279,0.447482,0.273861
증상,쑤시,1,4.112279,0.447482,0.25
발견,비슷하다,1,4.112279,0.447482,0.566947
발견,증상,1,4.112279,0.447482,0.668153
먹어주다,야하다,1,6.112279,0.665114,0.0
힘나다,젛은듯,1,6.112279,0.665114,0.8
정신차리다,차리,1,6.112279,0.665114,0.5
에너지음료,양이,1,6.112279,0.665114,0.75
에너지음료,음료,1,6.112279,0.665114,0.57735
양이,음료,1,6.112279,0.665114,0.57735
친구,틈틈이,1,6.112279,0.665114,0.57735
친구,피로,1,6.112279,0.665114,0.516398
친구,관여,1,6.112279,0.665114,0.471405
틈틈이,피로,1,6.112279,0.665114,0.67082
틈틈이,관여,1,6.112279,0.665114,0.612372
피로,관여,1,6.112279,0.665114,0.730297
피로,성의,1,6.112279,0.665114,0.365148
관여,성의,1,6.112279,0.665114,0.5
관여,핵심,1,6.112279,0.665114,0.333333
성의,핵심,1,6.112279,0.665114,0.666667
성의,요소,1,6.112279,0.665114,0.5
핵심,요소,1,6.112279,0.665114,0.666667
핵심,심심하다,1,6.112279,0.665114,0.333333
요소,심심하다,1,6.112279,0.665114,0.5
요소,사탕,1,6.112279,0.665114,0.333333
심심하다,사탕,1,6.112279,0.665114,0.666667
심심하다,노란색,1,6.112279,0.665114,0.5
심심하다,모양,1,6.112279,0.665114,0.333333
사탕,노란색,1,6.112279,0.665114,0.666667
사탕,모양,1,6.112279,0.665114,0.5
사탕,별거,1,6.112279,0.665114,0.333333
노란색,모양,1,6.112279,0.665114,0.666667
노란색,별거,1,6.112279,0.665114,0.5
모양,별거,1,6.112279,0.665114,0.666667
모양,무언가,1,6.112279,0.665114,0.333333
별거,무언가,1,6.112279,0.665114,0.5
별거,사실,1,6.112279,0.665114,0.333333
무언가,사실,1,6.112279,0.665114,0.666667
무언가,전환,1,6.112279,0.665114,0.547723
무언가,상큼,1,6.112279,0.665114,0.365148
사실,전환,1,6.112279,0.665114,0.730297
사실,상큼,1,6.112279,0.665114,0.547723
사실,과일,1,6.112279,0.665114,0.547723
전환,상큼,1,6.112279,0.665114,0.6
전환,과일,1,6.112279,0.665114,0.6
상큼,과일,1,6.112279,0.665114,0.6
