term,freq
아침,10
피곤하다,8
피곤,8
운동,5
에너지,4
박카스,4
회사,4
소모,4
두통,3
오후,3
평소,2
대서,2
분이,2
권유,2
구내염,2
바라다,2
바라,2
수포,2
안좋다,2
입술,2
포진,2
정신,2
적다,2
대체,2
달다,2
씹다,2
요새,2
시간,2
싫다,2
뒷맛,2
마라톤,2
대회,2
참가,2
동생,2
개인,2
생활,2
기력,2
조깅,2
물놀이,2
종일,2
기전,2
일어나다,2
쑤시다,2
근육통,2
지인,2
약국,2
발견,2
대인,2
비슷하다,2
증상,2
일어나,2
쑤시,2
비만,2
보라색,2
새벽,2
성장기,2
잠도,2
딸아이,2
츄어블,2
제라,2
오독,2
구미,2
기존,2
칼슘,2
이용,2
도전,2
닥터,2
브라이언,2
두번째,1
먹어주다,1
야하다,1
송이,1
활력,1
기울다,1
힘나다,1
젛은듯,1
기르다,1
정신차리다,1
차리,1
에너지음료,1
양이,1
음료,1
시원하다,1
친구,1
틈틈이,1
피로,1
관여,1
성의,1
핵심,1
요소,1
심심하다,1
사탕,1
노란색,1
모양,1
별거,1
무언가,1
사실,1
전환,1
상큼,1
과일,1
